signal_date,spx_close_t0,fwd_ret_1,max_dd_1,fwd_ret_5,max_dd_5,fwd_ret_10,max_dd_10,fwd_ret_15,max_dd_15,fwd_ret_20,max_dd_20
2024-01-31,4845.65,0.012493679898465615,0.1624137112668178,0.030833840661211864,0.1624137112668178,0.03198126154385905,0.1624137112668178,0.049813750477232244,0.1624137112668178,0.05172061539731532,0.1624137112668178
2024-02-13,4953.17,0.00957972369210025,0.06622021856710347,0.005780136760902721,-0.14475578266039957,0.023538461227860186,-0.14475578266039957,0.03060464308715427,-0.14475578266039957,0.04282913770373331,-0.14475578266039957
2024-03-05,5078.65,0.005141130024711504,0.26719699132644603,0.019024740826794728,0.24593149754366106,0.0196627056402785,0.24593149754366106,0.02459905683597019,0.24593149754366106,0.02615655735283995,0.24593149754366106
2024-04-02,5205.81,0.0010910886106099138,-0.21975446664400655,0.0007875815675177922,-1.1477560648583074,-0.0296591692743301,-3.1883606969904887,-0.025982508005478522,-4.845547570887144,-0.03267887226003274,-4.845547570887144
2024-04-04,5147.21,0.011099216857287653,0.19428000800434386,0.010073418415024848,-0.16533228681169243,-0.026439566289310212,-2.8232770763190085,-0.0191929219907484,-3.7622323550039694,-0.016127183464439976,-3.7622323550039694
2024-04-05,5204.34,-0.00037468728023148934,-0.1343109789137431,-0.015550482866223292,-1.8523001956059826,-0.045560051802918444,-4.81867057110027,-0.02005633759516101,-4.81867057110027,-0.014708877590626335,-4.81867057110027
2024-04-10,5160.64,0.007444813046443954,-0.4237846468654993,-0.026824192348235965,-2.9723057605258285,-0.017247860730452036,-4.012680597755313,-0.027564410615737556,-4.012680597755313,0.005237722453029114,-4.012680597755313
2024-04-12,5123.41,-0.012021290507689297,-1.3846246933194806,-0.030483603693633787,-3.315174854247449,-0.004577029751669293,-3.315174854247449,0.0008548993736594568,-3.315174854247449,0.01937576731122448,-3.315174854247449
2024-04-15,5061.82,-0.002056572537150636,-0.43442872326554527,-0.010118890043501971,-2.138756415676557,0.010737244706449545,-2.138756415676557,0.02349352604399213,-2.138756415676557,0.03153016108830431,-2.138756415676557
2024-04-19,4967.23,0.008731224445012842,0.04368632014222218,0.026721130287907124,0.04368632014222218,0.032323850516283725,0.04368632014222218,0.05142705290473781,0.04368632014222218,0.0676513871916542,0.04368632014222218
