,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2021-01-04,F (Jan 2021),23.4,27.35,23.15,26.45,26.275,2.6,132333,0,119409
1,2021-01-05,F (Jan 2021),26.5,27.45,24.95,25.4,25.325,-0.95,87182,0,111463
2,2021-01-06,F (Jan 2021),25.5,26.45,23.2,24.7,25.125,-0.2,143351,139,104005
3,2021-01-07,F (Jan 2021),24.6,24.63,22.95,23.2,23.225,-1.9,90569,309,97478
4,2021-01-08,F (Jan 2021),23.2,23.77,22.55,22.8,22.775,-0.45,87598,0,86283
5,2021-01-11,F (Jan 2021),22.8,24.81,22.8,24.35,24.475,1.7,89976,110,76470
6,2021-01-12,F (Jan 2021),24.3,24.8,23.3,23.54,23.325,-1.15,76341,0,66181
7,2021-01-13,F (Jan 2021),23.5,23.96,22.5,22.75,22.675,-0.65,68196,0,57587
8,2021-01-14,F (Jan 2021),22.75,23.3,22.27,23.2,23.175,0.5,61207,0,49860
9,2021-01-15,F (Jan 2021),23.1,25.2,23.0,24.6,23.775,0.6,97472,0,40776
10,2021-01-19,F (Jan 2021),24.3,24.55,22.55,23.2,23.225,-0.55,88801,0,18074
11,2021-01-20,F (Jan 2021),22.9,23.0,22.2,22.5,22.59,-0.635,908,0,16066
12,2021-01-21,G (Feb 2021),24.81,25.2,24.5,24.6,24.525,-0.25,76586,0,213879
13,2021-01-22,G (Feb 2021),24.6,25.88,24.6,24.85,24.875,0.35,67721,409,204641
14,2021-01-25,G (Feb 2021),25.0,27.1,24.35,25.85,25.9535,1.0785,127359,384,195131
15,2021-01-26,G (Feb 2021),25.9,26.47,24.95,25.3,25.4095,-0.544,99024,0,188249
16,2021-01-27,G (Feb 2021),25.35,36.15,25.25,33.05,31.5342,6.1247,287653,0,179190
17,2021-01-28,G (Feb 2021),32.7,34.35,28.85,30.49,30.3946,-1.1396,209415,102,156932
18,2021-01-29,G (Feb 2021),30.4,34.1,29.6,32.85,32.3859,1.9913,189447,1097,154737
19,2021-02-01,G (Feb 2021),33.05,34.55,30.07,30.6,30.3302,-2.0557,123261,0,135918
20,2021-02-02,G (Feb 2021),30.6,30.8,27.15,27.35,27.5781,-2.7521,118548,0,120354
21,2021-02-03,G (Feb 2021),27.45,27.54,25.25,25.5,25.7794,-1.7987,91707,0,111756
22,2021-02-04,G (Feb 2021),25.53,26.4,24.1,24.3,24.2274,-1.552,88608,0,106565
23,2021-02-05,G (Feb 2021),24.35,24.9,24.05,24.2,24.0993,-0.1281,73362,0,98018
24,2021-02-08,G (Feb 2021),24.05,24.45,23.74,23.85,23.8379,-0.2614,70831,150,88467
25,2021-02-09,G (Feb 2021),23.85,24.5,23.45,23.7,23.7021,-0.1358,71579,0,78401
26,2021-02-10,G (Feb 2021),23.8,25.15,23.4,23.75,23.7413,0.0392,95580,0,69886
27,2021-02-11,G (Feb 2021),23.75,24.35,22.65,23.0,22.71,-1.0313,86236,73,56795
28,2021-02-12,G (Feb 2021),23.0,23.75,21.3,21.4,21.3594,-1.3506,83230,0,48842
29,2021-02-16,G (Feb 2021),21.4,22.5,21.13,21.6,21.2418,-0.1176,111226,555,28089
30,2021-02-17,G (Feb 2021),21.5,22.1,20.8,21.7,22.81,1.5682,2564,0,25046
31,2021-02-18,H (Mar 2021),25.75,26.75,25.5,25.85,25.8017,0.2017,106783,354,252403
32,2021-02-19,H (Mar 2021),25.85,26.55,24.54,24.9,24.7988,-1.0029,117406,3025,241118
33,2021-02-22,H (Mar 2021),24.8,26.33,24.6,25.6,25.9031,1.1043,107045,850,230852
34,2021-02-23,H (Mar 2021),25.55,27.55,24.7,25.05,24.748,-1.1551,147783,522,217889
35,2021-02-24,H (Mar 2021),25.0,26.0,23.7,24.0,23.7595,-0.9885,110416,353,203429
36,2021-02-25,H (Mar 2021),24.0,29.0,23.78,28.3,28.215,4.4555,209128,455,204080
37,2021-02-26,H (Mar 2021),28.3,29.35,26.13,27.1,26.7444,-1.4706,196456,0,175182
38,2021-03-01,H (Mar 2021),26.75,27.0,24.2,24.55,24.6158,-2.1286,113262,244,162956
39,2021-03-02,H (Mar 2021),24.5,25.15,24.11,24.85,24.765,0.1492,95795,150,147401
40,2021-03-03,H (Mar 2021),24.75,26.4,23.65,26.35,26.1275,1.3625,130079,967,145366
41,2021-03-04,H (Mar 2021),26.2,29.25,25.19,27.45,27.521,1.3935,165809,0,136244
42,2021-03-05,H (Mar 2021),27.3,28.55,24.9,25.1,25.0507,-2.4703,142788,190,121277
43,2021-03-08,H (Mar 2021),24.9,26.65,24.35,25.45,25.3667,0.316,109828,160,106909
44,2021-03-09,H (Mar 2021),25.4,25.55,23.6,23.94,23.9726,-1.3941,94573,0,91327
