horizon_days,n,ret_mean,ret_p10,ret_p50,ret_p90,mdd_mean,mdd_p10,mdd_p50,mdd_p90,hit_ret_neg,hit_mdd_le_thresh
1,28,0.002633470702927921,-0.009020669131608393,0.006402168156839139,0.011243479334945206,-0.4148743805835652,-1.015702309548533,-0.277590268486827,0.45029359243697004,0.35714285714285715,0.5714285714285714
5,28,0.006081009345591669,-0.02423492630592352,0.00679695165548555,0.03271339573551664,-1.2455260653645357,-3.0751664886423145,-0.757845819059727,0.18746904714987084,0.39285714285714285,0.75
10,28,0.010659796507212401,-0.03071675948699214,0.017756188360957936,0.05851257106332498,-2.1463542639150965,-4.9286274248182504,-2.1332234126998086,0.14630756834723926,0.42857142857142855,0.8214285714285714
15,28,0.019013274216592487,-0.026457078788556233,0.02404629143998116,0.06476476527645726,-2.6007278136199403,-5.774367543134908,-2.2116426242805245,0.14630756834723926,0.2857142857142857,0.8214285714285714
20,28,0.02711393528678782,-0.015134369352770427,0.03171204271224137,0.059921370751887464,-2.774479175159374,-6.310083215855573,-2.2116426242805245,0.14630756834723926,0.17857142857142858,0.8214285714285714
