date,ticker,fetch_error,sector,role,weight,close,price_lookback_high,price_new_high,option_expiration,option_dte,atm_iv,call_10otm_iv,put_10otm_iv,call_skew,put_skew,option_premium_volume,total_option_volume,calls_contracts,puts_contracts
2026-07-05,ADI,,SMH,component,0.03370786516853931,377.1600036621094,445.4800109863281,False,2026-08-07,33.0,0.0312596875,0.062509375,0.062509375,0.031249687500000005,0.031249687500000005,194839.0,84.0,27.0,32.0
2026-07-05,AMAT,,SMH,component,0.05617977528089886,603.0399780273438,723.0,False,2026-08-07,33.0,0.0273534765625,0.062509375,0.062509375,0.035155898437500006,0.035155898437500006,8139842.0,1240.0,74.0,93.0
2026-07-05,AMD,,SMH,component,0.05617977528089886,517.8200073242188,580.9099731445312,False,2026-08-07,33.0,0.0273534765625,0.062509375,0.062509375,0.035155898437500006,0.035155898437500006,13680700.0,4668.0,122.0,104.0
2026-07-05,ASML,,SMH,component,0.06741573033707862,1769.3199462890625,1989.43994140625,False,2026-08-07,33.0,0.015634843750000002,0.062509375,0.062509375,0.046874531250000004,0.046874531250000004,2713587.0,540.0,56.0,97.0
2026-07-05,AVGO,,SMH,component,0.08988764044943817,360.45001220703125,481.57000732421875,False,2026-08-07,33.0,0.0273534765625,0.062509375,0.062509375,0.035155898437500006,0.035155898437500006,3420912.0,1967.0,47.0,52.0
2026-07-05,INTC,,SMH,component,0.044943820224719086,120.3499984741211,140.94000244140625,False,2026-08-07,33.0,0.0312596875,0.062509375,0.0937590625,0.031249687500000005,0.062499375,3535384.0,3618.0,52.0,44.0
2026-07-05,KLAC,,SMH,component,0.044943820224719086,235.5500030517578,301.7099914550781,False,2026-08-21,47.0,0.023447265625,0.04688453125,0.062509375,0.023437265625,0.039062109375,37532527.0,4693.0,155.0,160.0
2026-07-05,LRCX,,SMH,component,0.044943820224719086,351.4100036621094,433.3299865722656,False,2026-08-07,33.0,0.023447265625,0.062509375,0.062509375,0.039062109375,0.039062109375,1548680.0,684.0,53.0,54.0
2026-07-05,MCHP,,SMH,component,0.022471910112359543,84.63999938964844,102.91999816894531,False,2026-08-07,33.0,0.0273534765625,0.062509375,0.0937590625,0.035155898437500006,0.06640558593750001,434579.0,588.0,22.0,14.0
2026-07-05,MRVL,,SMH,component,0.03370786516853931,245.2899932861328,316.42999267578125,False,2026-08-07,33.0,0.0273534765625,0.062509375,0.062509375,0.035155898437500006,0.035155898437500006,5657158.0,2956.0,60.0,45.0
2026-07-05,MU,,SMH,component,0.05617977528089886,975.5599975585938,1213.56005859375,False,2026-08-07,33.0,0.0273534765625,0.062509375,0.062509375,0.035155898437500006,0.035155898437500006,70161167.0,12908.0,208.0,228.0
2026-07-05,NVDA,,SMH,component,0.22471910112359544,194.8300018310547,235.74000549316406,False,2026-08-07,33.0,0.015634843750000002,0.062509375,0.062509375,0.046874531250000004,0.046874531250000004,15189411.0,34144.0,49.0,38.0
2026-07-05,QCOM,,SMH,component,0.044943820224719086,176.25,251.02000427246094,False,2026-08-07,33.0,0.0273534765625,0.062509375,0.0937590625,0.035155898437500006,0.06640558593750001,1267995.0,1485.0,50.0,40.0
2026-07-05,TSM,,SMH,component,0.13483146067415724,434.1600036621094,477.57000732421875,False,2026-08-07,33.0,0.0312596875,0.062509375,0.062509375,0.031249687500000005,0.031249687500000005,2981013.0,2666.0,49.0,59.0
2026-07-05,TXN,,SMH,component,0.044943820224719086,293.0799865722656,332.2799987792969,False,2026-08-07,33.0,0.023447265625,0.062509375,0.062509375,0.039062109375,0.039062109375,612020.0,402.0,22.0,28.0
2026-07-05,SMH,,SMH,sector_etf,1.0,592.2899780273438,668.9099731445312,False,2026-08-07,33.0,0.023447265625,0.062509375,0.062509375,0.039062109375,0.039062109375,4581230.0,3552.0,89.0,82.0
