sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-03-04,NA,NA,102.89,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-03-04,NA,NA,1349.15,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-03-04,NA,NA,8.99,77.0%,1252.0%,629.0%,2912.0%
crypto,DJT,2026-03-04,NA,NA,824.59,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-03-04,NA,NA,7.23,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-03-04,25.34,33.19,8.84,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-03-04,16.53,25.45,9.89,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-03-04,23.44,28.05,9.10,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-03-04,15.83,30.30,3.25,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-03-04,16.62,28.46,8.41,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-03-04,136.60,379.23,16.15,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-03-04,45.47,54.67,16.34,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-03-04,23.53,16.25,3.04,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-03-04,47.07,83.60,5.63,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-03-04,11.26,23.01,2.35,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-03-04,85.16,138.58,14.65,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-03-04,16.21,20.92,3.64,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-03-04,14.65,41.05,1.86,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-03-04,20.94,37.79,2.30,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-03-04,32.85,171.36,1.02,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-03-04,14.12,39.19,9.24,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-03-04,12.14,15.21,1.91,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-03-04,38.93,55.55,5.68,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-03-04,NA,NA,9.74,43.0%,45.0%,53.0%,44.0%
TMT - cons disc - social,RDDT,2026-03-04,56.16,55.40,12.79,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-03-04,31.17,31.90,3.07,14.0%,18.0%,15.0%,-85.0%
TMT - cons disc - social,SNAP,2026-03-04,NA,NA,1.53,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-03-04,10.46,12.91,2.06,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-03-04,37.15,50.93,27.96,21.0%,143.0%,75.0%,84.0%
TMT - cons disc - adtech,TTD,2026-03-04,15.98,27.76,4.19,14.0%,22.0%,32.0%,3.0%
TMT - cons disc - adtech,ROKU,2026-03-04,39.33,171.74,3.07,16.0%,-455.0%,229.0%,-326.0%
TMT - cons disc - adtech,U,2026-03-04,978.20,NA,4.80,10.0%,-19.0%,-34140.0%,-27.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-03-04,22.47,11.49,4.37,35.0%,144.0%,170.0%,202.0%
TMT - cons disc - edu,COUR,2026-03-04,NA,NA,1.47,10.0%,4.0%,-15.0%,24.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-03-04,71.45,NA,6.80,133.0%,-75.0%,N/A,101.0%
TMT - cons disc - realestate,Z,2026-03-04,39.16,511.16,4.28,18.0%,-106.0%,,-106.0%
,,,,,,,,,
TMT - cons disc - misc,IOT,2026-03-04,211.67,NA,10.92,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,,
TMT - cybersecurity,PANW,2026-03-04,58.98,88.45,13.18,15.0%,69.0%,36.0%,62.0%
TMT - cybersecurity,CRWD,2026-03-04,51403.02,NA,22.48,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-03-04,26.48,34.23,9.04,15.0%,5.0%,9.0%,-4.0%
TMT - cybersecurity,ZS,2026-03-04,1362.58,NA,8.37,26.0%,29.0%,-10.0%,344.0%
TMT - cybersecurity,NET,2026-03-04,1139.18,NA,30.07,34.0%,-3.0%,-76.0%,-6.0%
TMT - cybersecurity,OKTA,2026-03-04,48.76,65.64,4.46,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-03-04,NA,NA,9.12,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-03-04,34.25,45.49,3.37,19.0%,79.0%,56.0%,61.0%
TMT - cybersecurity,NTNX,2026-03-04,35.28,44.40,4.00,10.0%,50.0%,15.0%,83.0%
,,,,,,,,,
TMT - Data/Infra/Observability,SNOW,2026-03-04,NA,NA,12.31,30.0%,-9.0%,-24.0%,-5.0%
TMT - Data/Infra/Observability,MDB,2026-03-04,NA,NA,8.23,27.0%,367.0%,-174.0%,-2.0%
TMT - Data/Infra/Observability,DDOG,2026-03-04,495.19,400.98,12.22,29.0%,-1.0%,14.0%,2.0%
TMT - Data/Infra/Observability,DT,2026-03-04,36.48,61.61,5.77,18.0%,48.0%,29.0%,-89.0%
,,,,,,,,,
TMT - devops,GTLB,2026-03-04,NA,NA,4.59,25.0%,-37.0%,-72.0%,-128.0%
TMT - devops,FROG,2026-03-04,NA,NA,8.86,25.0%,-27.0%,6.0%,-34.0%
TMT - devops,DBX,2026-03-04,10.15,14.04,2.41,-1.0%,55.0%,58.0%,6.0%
,,,,,,,,,
data center,NOK,2026-03-04,14.62,62.23,2.02,12.0%,-31.0%,-2.0%,-27.0%
,,,,,,,,,
data center - hyper scaler,ORCL,2026-03-04,20.71,28.69,7.19,14.0%,86.0%,25.0%,95.0%
data center - hyper scaler,CRWV,2026-03-04,27.93,NA,8.07,110.0%,1492.0%,53.0%,460.0%
data center - hyper scaler,NBIS,2026-03-04,NA,NA,46.22,501.0%,72.0%,-53.0%,83.0%
data center - hyper scaler,IREN,2026-03-04,120.73,50.37,29.93,60.0%,-1655.0%,-66.0%,-929.0%
data center - hyper scaler,WULF,2026-03-04,NA,NA,38.98,2.0%,136.0%,198.0%,333.0%
