sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-02-24	NA	NA	87.17	2.0%	1601.0%	-31.0%	1781.0%
crypto	BMNR	2026-02-24	NA	NA	1228.89	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-02-24	NA	NA	6.04	66.0%	78.0%	30.0%	
crypto	DJT	2026-02-24	NA	NA	799.82	-4.0%	184.0%	72.0%	185.0%
									
misc	TEM	2026-02-24	NA	NA	9.32	85.0%	10.0%	-26.0%	5.0%
									
TMT - mag7	AAPL	2026-02-24	26.28	34.42	9.17	16.0%	20.0%	18.0%	16.0%
TMT - mag7	MSFT	2026-02-24	15.80	24.32	9.45	17.0%	64.0%	23.0%	60.0%
TMT - mag7	GOOG	2026-02-24	24.06	28.80	9.34	18.0%	21.0%	20.0%	30.0%
TMT - mag7	AMZN	2026-02-24	15.19	29.07	3.12	14.0%	19.0%	23.0%	6.0%
TMT - mag7	META	2026-02-24	15.87	27.17	8.03	24.0%	8.0%	8.0%	9.0%
									
TMT - tsla	TSLA	2026-02-24	137.35	381.28	16.23	-3.0%	-57.0%	4.0%	-64.0%
									
TMT - e-commerce	UI	2026-02-24	43.30	52.07	15.56	36.0%	74.0%	62.0%	71.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-02-24	21.83	15.04	2.81	20.0%	-68.0%	44.0%	-96.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-02-24	43.48	77.40	5.21	38.0%	26.0%	81.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-02-24	12.92	22.68	2.54	12.0%	-34.0%	-6.0%	-47.0%
									
TMT - cons disc - E-comm	SHOP	2026-02-24	76.59	125.10	13.22	31.0%	-37.0%	36.0%	-43.0%
TMT - cons disc - E-comm	EBAY	2026-02-24	15.25	19.57	3.41	15.0%	1.0%	12.0%	-22.0%
TMT - cons disc - E-comm	ETSY	2026-02-24	14.33	39.92	1.81	3.0%	-23.0%	-25.0%	-15.0%
TMT - cons disc - E-comm	SE	2026-02-24	26.23	45.85	2.79	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-02-24	27.02	88.05	1.01	18.0%	25.0%	29.0%	36.0%
									
TMT - cons disc - entertain	NFLX	2026-02-24	11.14	30.77	7.25	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-02-24	12.39	15.60	1.96	6.0%	1.0%	0.0%	-6.0%
TMT - cons disc - entertain	SPOT	2026-02-24	33.35	48.22	4.93	17.0%	123.0%	56.0%	249.0%
									
TMT - cons disc - social	RBLX	2026-02-24	NA	NA	9.62	43.0%	45.0%	53.0%	44.0%
TMT - cons disc - social	RDDT	2026-02-24	54.01	53.47	12.34	70.0%	264.0%	314.0%	254.0%
TMT - cons disc - social	PINS	2026-02-24	26.14	27.63	2.66	14.0%	18.0%	15.0%	-85.0%
TMT - cons disc - social	SNAP	2026-02-24	NA	NA	1.41	10.0%	166.0%	633.0%	397.0%
TMT - cons disc - social	MTCH	2026-02-24	10.56	13.12	2.12	2.0%	29.0%	20.0%	32.0%
									
TMT - cons disc - adtech	APP	2026-02-24	30.28	41.44	22.75	21.0%	143.0%	75.0%	84.0%
TMT - cons disc - adtech	TTD	2026-02-24	17.28	28.44	4.32	18.0%	41.0%	50.0%	23.0%
TMT - cons disc - adtech	ROKU	2026-02-24	34.28	152.40	2.73	16.0%	-455.0%	229.0%	-326.0%
TMT - cons disc - adtech	U	2026-02-24	868.83	NA	4.23	10.0%	-19.0%	-34140.0%	-27.0%
									
TMT - cons disc - edu	DUOL	2026-02-24	32.14	13.95	5.25	41.0%	83.0%	155.0%	1151.0%
TMT - cons disc - edu	COUR	2026-02-24	NA	NA	1.39	10.0%	4.0%	-15.0%	24.0%
									
TMT - cons disc - realestate	RKT	2026-02-24	62.40	222.54	9.13	39.0%	-63.0%	N/A	463.0%
TMT - cons disc - realestate	Z	2026-02-24	36.80	483.35	4.04	18.0%	-106.0%		-106.0%
									
TMT - cons disc - misc	IOT	2026-02-24	192.06	NA	9.95	29.0%	-124.0%	-653.0%	-121.0%
									
TMT - cybersecurity	PANW	2026-02-24	52.18	78.57	11.71	15.0%	69.0%	36.0%	62.0%
TMT - cybersecurity	CRWD	2026-02-24	43786.23	NA	19.28	22.0%	121.0%	2.0%	102.0%
TMT - cybersecurity	FTNT	2026-02-24	20.77	30.93	8.21	15.0%	5.0%	64.0%	-4.0%
TMT - cybersecurity	ZS	2026-02-24	1358.88	NA	8.40	26.0%	90.0%	-240.0%	-4.0%
