sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
data center,NOK,2026-03-30,14.24,60.67,1.97,12.0%,-31.0%,-2.0%,-27.0%
,,,,,,,,,
data center - hyper scaler,ORCL,2026-03-30,18.31,24.92,6.23,22.0%,28.0%,37.0%,26.0%
data center - hyper scaler,CRWV,2026-03-30,25.82,NA,7.08,110.0%,1492.0%,53.0%,460.0%
data center - hyper scaler,NBIS,2026-03-30,NA,181.01,43.47,501.0%,72.0%,-53.0%,83.0%
data center - hyper scaler,IREN,2026-03-30,87.71,36.23,21.53,60.0%,-1655.0%,-66.0%,-929.0%
data center - hyper scaler,WULF,2026-03-30,NA,NA,34.49,2.0%,136.0%,198.0%,333.0%
data center - hyper scaler,CIFR,2026-03-30,179.07,NA,21.74,41.0%,-4851.0%,410.0%,-4293.0%
,,,,,,,,,
data center - semi chip,NVDA,2026-03-30,29.74,33.70,18.59,73.0%,100.0%,84.0%,94.0%
data center - semi chip,MU,2026-03-30,9.70,15.19,6.24,196.0%,819.0%,374.0%,771.0%
data center - semi chip,AVGO,2026-03-30,38.80,57.24,20.35,29.0%,49.0%,26.0%,34.0%
data center - semi chip,AMD,2026-03-30,46.71,74.12,9.23,34.0%,133.0%,33.0%,213.0%
,,,,,,,,,
data center - semi equip,ASML,2026-03-30,33.94,44.87,13.08,14.0%,12.0%,12.0%,15.0%
data center - semi equip,LRCX,2026-03-30,33.77,40.98,12.14,22.0%,36.0%,34.0%,34.0%
data center - semi equip,AMAT,2026-03-30,28.83,33.10,9.09,-2.0%,10.0%,-2.0%,71.0%
data center - semi equip,KLAC,2026-03-30,31.35,40.17,14.23,7.0%,37.0%,4.0%,39.0%
,,,,,,,,,
data center - semi equip for test,TER,2026-03-30,52.74,79.34,13.57,44.0%,84.0%,81.0%,76.0%
data center - semi equip for test,COHU,2026-03-30,NA,NA,2.96,30.0%,-29.0%,-65.0%,5.0%
data center - semi equip for test,KLIC,2026-03-30,NA,NA,4.70,20.0%,-76.0%,52.0%,-79.0%
,,,,,,,,,
data center - package,TSM,2026-03-30,18.72,29.68,13.40,25.0%,38.0%,27.0%,41.0%
data center - package,ASX,2026-03-30,13.64,36.69,2.20,14.0%,61.0%,39.0%,63.0%
data center - package,AMKR,2026-03-30,8.93,27.42,1.52,16.0%,34.0%,24.0%,63.0%
,,,,,,,,,
data center - PCB,TTMI,2026-03-30,23.52,52.53,3.14,19.0%,333.0%,36.0%,880.0%
,,,,,,,,,
data center - rack manufacture,CLS,2026-03-30,25.31,35.85,2.39,44.0%,59.0%,24.0%,76.0%
data center - rack manufacture,FLEX,2026-03-30,12.43,27.11,0.83,8.0%,11.0%,-1.0%,-9.0%
,,,,,,,,,
data center - router,ANET,2026-03-30,34.41,42.18,16.20,29.0%,28.0%,30.0%,19.0%
data center - router,MRVL,2026-03-30,30.11,28.41,9.37,22.0%,91.0%,33.0%,98.0%
,,,,,,,,,
