sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-01-21,NA,7.62,99.11,11.0%,-909.0%,-152.0%,-878.0%
crypto,BMNR,2026-01-21,NA,NA,1856.77,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-01-21,NA,NA,NA,72.0%,193.0%,51.0%,
crypto,DJT,2026-01-21,NA,NA,1061.66,-4.0%,184.0%,72.0%,185.0%
,,,,,,,,,
misc,TEM,2026-01-21,NA,NA,10.51,85.0%,10.0%,-26.0%,5.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-01-21,25.55,33.20,8.75,8.0%,11.0%,9.0%,86.0%
TMT - mag7,MSFT,2026-01-21,18.88,31.60,11.23,18.0%,13.0%,34.0%,12.0%
TMT - mag7,GOOG,2026-01-21,26.57,32.39,10.28,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-21,17.84,32.68,3.58,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-21,15.57,27.08,8.15,26.0%,22.0%,19.0%,-83.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-01-21,129.47,288.28,15.00,12.0%,-30.0%,-15.0%,-37.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-01-21,34.72,41.68,11.96,33.0%,63.0%,52.0%,62.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-01-21,28.52,10.81,3.53,20.0%,-5.0%,43.0%,154.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-01-21,61.00,104.75,7.04,27.0%,60.0%,82.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-01-21,12.36,21.42,2.82,10.0%,18.0%,24.0%,20.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-01-21,101.58,101.46,16.86,32.0%,-64.0%,43.0%,-68.0%
TMT - cons disc - E-comm,EBAY,2026-01-21,16.98,20.20,3.89,11.0%,-28.0%,-9.0%,0.0%
TMT - cons disc - E-comm,ETSY,2026-01-21,14.62,42.64,2.11,2.0%,25.0%,-6.0%,32.0%
TMT - cons disc - E-comm,SE,2026-01-21,30.14,51.80,3.15,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-01-21,29.57,95.79,1.10,18.0%,25.0%,29.0%,36.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-01-21,13.14,33.78,8.63,18.0%,30.0%,21.0%,29.0%
TMT - cons disc - entertain,DIS,2026-01-21,13.04,16.52,2.15,0.0%,116.0%,3.0%,185.0%
TMT - cons disc - entertain,SPOT,2026-01-21,41.42,78.36,5.53,14.0%,121.0%,33.0%,219.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-01-21,NA,NA,11.90,48.0%,7.0%,15.0%,7.0%
TMT - cons disc - social,RDDT,2026-01-21,134.84,115.74,20.91,68.0%,438.0%,1216.0%,445.0%
TMT - cons disc - social,PINS,2026-01-21,47.19,8.66,4.16,17.0%,193.0%,-13512.0%,201.0%
TMT - cons disc - social,SNAP,2026-01-21,NA,NA,2.20,10.0%,-29.0%,-36.0%,-32.0%
TMT - cons disc - social,MTCH,2026-01-21,11.12,14.44,2.11,2.0%,9.0%,-12.0%,18.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-01-21,47.47,67.12,32.60,17.0%,118.0%,76.0%,92.0%
TMT - cons disc - adtech,TTD,2026-01-21,25.19,40.31,6.12,18.0%,41.0%,50.0%,23.0%
TMT - cons disc - adtech,ROKU,2026-01-21,62.86,NA,3.39,14.0%,-879.0%,50.0%,-375.0%
TMT - cons disc - adtech,U,2026-01-21,NA,NA,9.96,5.0%,0.0%,-232.0%,1.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-01-21,45.75,18.67,7.02,41.0%,83.0%,155.0%,1151.0%
TMT - cons disc - edu,COUR,2026-01-21,NA,NA,1.44,10.0%,-36.0%,-47.0%,-37.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-01-21,71.82,267.25,10.96,39.0%,-63.0%,N/A,463.0%
TMT - cons disc - realestate,Z,2026-01-21,73.23,NA,6.31,16.0%,-160.0%,185.0%,-150.0%
,,,,,,,,,
TMT - cons disc - misc,IOT,2026-01-21,234.97,NA,12.07,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,,
TMT - cybersecurity,PANW,2026-01-21,62.09,115.10,13.24,16.0%,12.0%,-5.0%,-5.0%
TMT - cybersecurity,CRWD,2026-01-21,56492.26,NA,24.62,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-01-21,24.97,31.19,8.59,14.0%,-5.0%,17.0%,-12.0%
TMT - cybersecurity,ZS,2026-01-21,1630.99,NA,11.74,26.0%,90.0%,-289.0%,-4.0%
TMT - cybersecurity,NET,2026-01-21,794.17,NA,29.57,31.0%,-114.0%,88.0%,-92.0%
TMT - cybersecurity,CYBR,2026-01-21,800.99,NA,17.06,43.0%,-338.0%,-163.0%,-554.0%
TMT - cybersecurity,OKTA,2026-01-21,62.95,81.66,5.55,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-01-21,NA,NA,10.76,48.0%,-53.0%,-44.0%,-51.0%
