sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
data center - optics,CSCO,2026-01-15,28.37,5.15,8.0%,50.0%,7.0%,5.0%
data center - optics,GLW,2026-01-15,59.29,5.37,21.0%,-698.0%,20.0%,-468.0%
,,,,,,,,
data center - NAND/SSD,STX,2026-01-15,41.12,7.16,21.0%,94.0%,66.0%,80.0%
data center - NAND/SSD,WDC,2026-01-15,32.38,6.33,-31.0%,113.0%,-11.0%,140.0%
data center - NAND/SSD,SNDK,2026-01-15,NA,7.71,23.0%,-54.0%,-38.0%,-47.0%
,,,,,,,,
data center - server,DELL,2026-01-15,15.96,0.76,11.0%,39.0%,15.0%,37.0%
data center - server,SMCI,2026-01-15,23.58,0.83,-15.0%,-58.0%,-61.0%,-60.0%
,,,,,,,,
data center - 板级 DC-DC(最贴近 GPU/CPU),MPWR,2026-01-15,25.78,18.18,19.0%,18.0%,20.0%,23.0%
,,,,,,,,
data center - 服务器电源(PowerShelf/Front-End PSU/48V架构),AEIS,2026-01-15,67.69,5.63,24.0%,-459.0%,97.0%,-410.0%
,,,,,,,,
data center - IT 侧配电(PDU / RPP / 机柜侧高功率连接）,HUBB,2026-01-15,30.02,4.52,4.0%,11.0%,9.0%,16.0%
data center - IT 侧配电(PDU / RPP / 机柜侧高功率连接）,NVT,2026-01-15,29.75,4.87,35.0%,42.0%,32.0%,15.0%
,,,,,,,,
data center - UPS battery,ENS,2026-01-15,19.54,1.66,8.0%,-9.0%,15.0%,-17.0%
,,,,,,,,
data center - 设施侧关键电力(Switchgear/Busway/PowerPods/模块化电力房）,ETN,2026-01-15,33.35,4.86,10.0%,6.0%,16.0%,0.0%
data center - 设施侧关键电力(Switchgear/Busway/PowerPods/模块化电力房）,VRT,2026-01-15,65.04,6.80,29.0%,83.0%,39.0%,126.0%
data center - 设施侧关键电力(Switchgear/Busway/PowerPods/模块化电力房）,FLEX,2026-01-15,29.39,0.94,4.0%,-1.0%,6.0%,-7.0%
data center - 设施侧关键电力(Switchgear/Busway/PowerPods/模块化电力房）,POWL,2026-01-15,27.31,4.46,8.0%,12.0%,15.0%,12.0%
,,,,,,,,
data center - onsite power generator,CAT,2026-01-15,33.21,4.68,10.0%,1.0%,-3.0%,-7.0%
data center - onsite power generator,CMI,2026-01-15,29.84,2.36,-2.0%,-20.0%,0.0%,-34.0%
data center - onsite power generator,BE,2026-01-15,NA,18.10,57.0%,56.0%,144.0%,57.0%
,,,,,,,,
data center - construction builder,EME,2026-01-15,27.43,1.88,16.0%,10.0%,14.0%,9.0%
data center - construction builder,FIX,2026-01-15,46.20,4.62,35.0%,97.0%,74.0%,99.0%
,,,,,,,,
data center - medium volt transformer,POWL,2026-01-15,27.31,4.46,8.0%,12.0%,15.0%,12.0%
data center - medium volt transformer,GEV,2026-01-15,104.08,4.63,12.0%,-711.0%,180.0%,-571.0%
data center - medium volt transformer,PWR,2026-01-15,66.41,2.45,18.0%,21.0%,24.0%,16.0%
,,,,,,,,
data center - new IPP,TLN,2026-01-15,91.03,4.72,35.0%,70.0%,43.0%,23.0%
data center - new IPP,OKLO,2026-01-15,NA,NA,,200.0%,196.0%,198.0%
data center - new IPP,SMR,2026-01-15,NA,89.54,1653.0%,1070.0%,1226.0%,1465.0%
,,,,,,,,
data center - IPP,CEG,2026-01-15,39.07,3.97,23.0%,-15.0%,23.0%,-22.0%
data center - IPP,VST,2026-01-15,64.36,2.78,-3.0%,-64.0%,-20.0%,-67.0%
data center - IPP,NRG,2026-01-15,23.16,1.02,5.0%,-123.0%,-68.0%,-117.0%
,,,,,,,,
data center - uranium,URI,2026-01-15,23.84,3.69,6.0%,-1.0%,2.0%,-1.0%
data center - uranium,CCJ,2026-01-15,130.26,19.84,-16.0%,-58.0%,-20.0%,-102.0%
data center - uranium,UEC,2026-01-15,NA,169.74,-100.0%,-49.0%,120.0%,-49.0%
data center - uranium,LEU,2026-01-15,46.52,12.28,30.0%,36.0%,208.0%,-178.0%
,,,,,,,,
data center - HVAC,TT,2026-01-15,29.80,4.08,6.0%,13.0%,14.0%,10.0%
data center - HVAC,CARR,2026-01-15,22.29,2.12,-7.0%,-44.0%,-17.0%,-28.0%
data center - HVAC,JCI,2026-01-15,22.18,2.93,3.0%,-45.0%,1.0%,167.0%
data center - HVAC,SPXC,2026-01-15,45.57,4.92,23.0%,23.0%,32.0%,24.0%
,,,,,,,,
chips,QCOM,2026-01-15,33.00,3.90,10.0%,14.0%,6.0%,-207.0%
chips,INTC,2026-01-15,4558.49,4.51,3.0%,-150.0%,2075.0%,-124.0%
chips,ARM,2026-01-15,134.98,25.28,34.0%,372.0%,102.0%,122.0%
,,,,,,,,
robotic,PH,2026-01-15,33.64,5.95,4.0%,19.0%,8.0%,16.0%
robotic,ALNT,2026-01-15,55.32,1.96,11.0%,207.0%,46.0%,209.0%
robotic,ROK,2026-01-15,54.98,5.68,14.0%,-77.0%,38.0%,-42.0%
robotic,SNPS,2026-01-15,63.34,13.79,38.0%,60.0%,38.0%,-60.0%
robotic,SYM,2026-01-15,NA,17.90,7.0%,-142.0%,-115.0%,-173.0%
robotic,ATI,2026-01-15,40.44,3.72,7.0%,26.0%,15.0%,33.0%
,,,,,,,,
material - rare earth,MP,2026-01-15,NA,50.79,-15.0%,68.0%,82.0%,64.0%
material - rare earth,CRML,2026-01-15,NA,NA,N/A,N/A,N/A,N/A
,,,,,,,,
material - aluminum/copper/lithium,AA,2026-01-15,14.49,1.26,3.0%,-9.0%,-51.0%,158.0%
material - aluminum/copper/lithium,SCCO,2026-01-15,39.34,12.15,15.0%,21.0%,20.0%,24.0%
material - aluminum/copper/lithium,ALB,2026-01-15,NA,4.14,-3.0%,-80.0%,-215.0%,-82.0%
material - aluminum/copper/lithium,LAC,2026-01-15,NA,NA,,2371.0%,69.0%,2353.0%
material - aluminum/copper/lithium,FLNC,2026-01-15,NA,2.06,-15.0%,-39.0%,-5.0%,-62.0%
,,,,,,,,
quatum,IBM,2026-01-15,35.64,4.26,9.0%,-403.0%,26.0%,-628.0%
quatum,IONQ,2026-01-15,NA,211.04,222.0%,1920.0%,166.0%,1909.0%
quatum,RGTI,2026-01-15,NA,1088.34,-18.0%,1255.0%,19.0%,1255.0%
,,,,,,,,
TMT - SAAS,SAP,2026-01-15,35.32,6.66,14.0%,36.0%,19.0%,46.0%
TMT - SAAS,CRM,2026-01-15,31.16,5.43,9.0%,44.0%,17.0%,37.0%
TMT - SAAS,NOW,2026-01-15,79.31,10.75,22.0%,34.0%,37.0%,16.0%
TMT - SAAS,ADBE,2026-01-15,18.20,5.36,10.0%,14.0%,8.0%,10.0%
TMT - SAAS,INTU,2026-01-15,37.98,7.94,18.0%,163.0%,54.0%,126.0%
TMT - SAAS,ADP,2026-01-15,25.66,5.03,7.0%,6.0%,5.0%,6.0%
TMT - SAAS,WDAY,2026-01-15,80.92,5.51,13.0%,49.0%,48.0%,31.0%
TMT - SAAS,ADSK,2026-01-15,50.91,8.09,18.0%,33.0%,3.0%,25.0%
TMT - SAAS,TEAM,2026-01-15,NA,6.19,21.0%,87.0%,55.0%,-58.0%
TMT - SAAS,HUBS,2026-01-15,NA,5.77,21.0%,117.0%,192.0%,103.0%
TMT - SAAS,TWLO,2026-01-15,287.31,3.71,15.0%,-995.0%,78.0%,-483.0%
TMT - SAAS,ZM,2026-01-15,15.84,5.02,4.0%,183.0%,59.0%,196.0%
TMT - SAAS,DOCU,2026-01-15,41.77,3.78,8.0%,33.0%,34.0%,34.0%
TMT - SAAS,BILL,2026-01-15,NA,3.22,10.0%,-128.0%,-29.0%,-133.0%
TMT - SAAS,GDDY,2026-01-15,18.50,2.98,10.0%,21.0%,15.0%,10.0%
TMT - SAAS,WIX,2026-01-15,36.30,2.38,14.0%,-61.0%,7.0%,-102.0%
TMT - SAAS,PATH,2026-01-15,34.88,5.09,16.0%,-196.0%,-149.0%,-1967.0%
,,,,,,,,
CN,BABA,2026-01-15,23.54,2.74,5.0%,-52.0%,-67.0%,-52.0%
CN,NIO,2026-01-15,NA,0.97,17.0%,-32.0%,,-29.0%
,,,,,,,,
Fin - bank,JPM,2026-01-15,15.46,3.01,N/A,-1.0%,N/A,-7.0%
Fin - bank,BAC,2026-01-15,13.72,1.97,N/A,35.0%,N/A,14.0%
Fin - bank,C,2026-01-15,16.86,1.23,N/A,0.0%,N/A,-16.0%
Fin - bank,BK,2026-01-15,16.73,2.10,N/A,25.0%,N/A,26.0%
Fin - bank,MS,2026-01-15,18.74,2.54,N/A,43.0%,N/A,47.0%
Fin - bank,GS,2026-01-15,19.02,2.41,N/A,35.0%,N/A,39.0%
,,,,,,,,
Fin - credit,AXP,2026-01-15,24.00,3.13,10.0%,19.0%,N/A,16.0%
Fin - credit,COF,2026-01-15,100.50,2.40,N/A,98.0%,N/A,82.0%
Fin - credit,AFRM,2026-01-15,104.74,7.41,34.0%,-184.0%,N/A,-181.0%
Fin - credit,KLAR,2026-01-15,NA,6.31,28.0%,-680.0%,-216.0%,-628.0%
Fin - credit,SOFI,2026-01-15,47.94,7.50,28.0%,133.0%,N/A,129.0%
Fin - credit,UPST,2026-01-15,210.32,4.82,71.0%,-576.0%,-175.0%,-570.0%
Fin - credit,FICO,2026-01-15,59.57,18.83,14.0%,18.0%,25.0%,14.0%
,,,,,,,,
Fin - payment,V,2026-01-15,32.44,15.67,12.0%,-2.0%,11.0%,-4.0%
Fin - payment,MA,2026-01-15,34.71,15.47,17.0%,29.0%,21.0%,20.0%
Fin - payment,FISV,2026-01-15,10.33,1.70,1.0%,-24.0%,-15.0%,40.0%
Fin - payment,PYPL,2026-01-15,11.38,1.61,8.0%,17.0%,9.0%,24.0%
Fin - payment,XYZ,2026-01-15,13.06,1.65,2.0%,86.0%,28.0%,63.0%
Fin - payment,TOST,2026-01-15,77.43,3.39,25.0%,82.0%,115.0%,88.0%
,,,,,,,,
Fin - broker,SCHW,2026-01-15,24.10,6.72,7.0%,64.0%,N/A,75.0%
Fin - broker,IBKR,2026-01-15,35.50,3.24,15.0%,44.0%,N/A,43.0%
Fin - broker,HOOD,2026-01-15,45.81,23.48,99.0%,314.0%,N/A,271.0%
Fin - broker,COIN,2026-01-15,20.71,7.38,22.0%,632.0%,N/A,473.0%
,,,,,,,,
Fin - asset manage,BLK,2026-01-15,33.04,7.57,26.0%,-24.0%,N/A,-33.0%
Fin - asset manage,BX,2026-01-15,46.12,14.01,41.0%,-20.0%,N/A,-20.0%
Fin - asset manage,KKR,2026-01-15,55.95,6.61,-2.0%,34.0%,N/A,43.0%
Fin - asset manage,BN,2026-01-15,133.59,1.54,-7.0%,-83.0%,N/A,743.0%
Fin - asset manage,APO,2026-01-15,21.36,3.00,26.0%,39.0%,N/A,120.0%
Fin - asset manage,SSNC,2026-01-15,25.62,3.42,7.0%,13.0%,9.0%,28.0%
Fin - asset manage,CWAN,2026-01-15,15.81,11.06,77.0%,-334.0%,236.0%,-385.0%
,,,,,,,,
Fin - mm,VIRT,2026-01-15,7.77,1.77,26.0%,22.0%,N/A,29.0%
,,,,,,,,
Fin - data & stock exchange,ICE,2026-01-15,31.55,8.32,7.0%,20.0%,N/A,24.0%
Fin - data & stock exchange,NDAQ,2026-01-15,35.77,7.01,3.0%,49.0%,N/A,38.0%
Fin - data & stock exchange,CME,2026-01-15,26.42,15.37,-3.0%,0.0%,N/A,-1.0%
Fin - data & stock exchange,CBOE,2026-01-15,29.07,6.14,8.0%,39.0%,N/A,38.0%
Fin - data & stock exchange,MRX,2026-01-15,14.69,0.98,,,N/A,
Fin - data & stock exchange,SPGI,2026-01-15,39.65,11.00,9.0%,18.0%,25.0%,21.0%
Fin - data & stock exchange,MSCI,2026-01-15,37.86,14.69,9.0%,11.0%,9.0%,16.0%
Fin - data & stock exchange,MCO,2026-01-15,43.39,12.83,11.0%,23.0%,22.0%,21.0%
Fin - data & stock exchange,TW,2026-01-15,35.56,12.34,13.0%,55.0%,17.0%,63.0%
Fin - data & stock exchange,MKTX,2026-01-15,29.71,7.70,1.0%,1.0%,N/A,-5.0%
,,,,,,,,
Industry - farm machinery,DE,2026-01-15,27.83,3.05,11.0%,-6.0%,-6.0%,-14.0%
Industry - farm machinery,PCAR,2026-01-15,23.87,2.17,-19.0%,-41.0%,-41.0%,-39.0%
,,,,,,,,
Industry - aerospace & defense,PLTR,2026-01-15,414.10,108.32,63.0%,206.0%,229.0%,231.0%
Industry - aerospace & defense,KTOS,2026-01-15,1014.33,16.37,26.0%,105.0%,12.0%,172.0%
Industry - aerospace & defense,AVAV,2026-01-15,NA,13.80,151.0%,-425.0%,126.0%,-327.0%
Industry - aerospace & defense,ONDS,2026-01-15,NA,209.66,582.0%,-25.0%,100.0%,-18.0%
Industry - aerospace & defense,RTX,2026-01-15,41.03,3.12,12.0%,28.0%,19.0%,30.0%
Industry - aerospace & defense,LMT,2026-01-15,32.26,1.82,9.0%,1.0%,6.0%,0.0%
Industry - aerospace & defense,NOC,2026-01-15,23.50,2.28,4.0%,11.0%,12.0%,7.0%
Industry - aerospace & defense,GD,2026-01-15,23.89,1.93,11.0%,14.0%,11.0%,14.0%
Industry - aerospace & defense,HII,2026-01-15,28.94,1.37,16.0%,82.0%,51.0%,44.0%
Industry - aerospace & defense,CW,2026-01-15,53.82,7.22,9.0%,12.0%,13.0%,12.0%
Industry - aerospace & defense,BWXT,2026-01-15,63.78,6.37,29.0%,19.0%,19.0%,18.0%
Industry - aerospace & defense,LDOS,2026-01-15,18.04,1.43,7.0%,3.0%,4.0%,1.0%
Industry - aerospace & defense,BAH,2026-01-15,14.83,1.01,-8.0%,-55.0%,-32.0%,-55.0%
Industry - aerospace & defense,CACI,2026-01-15,27.71,1.56,11.0%,7.0%,24.0%,4.0%
,,,,,,,,
Industry - aerospace aftermarket,BA,2026-01-15,NA,2.40,30.0%,-16.0%,-19.0%,-12.0%
Industry - aerospace aftermarket,GE,2026-01-15,42.66,7.68,24.0%,33.0%,36.0%,17.0%
Industry - aerospace aftermarket,HWM,2026-01-15,62.94,11.31,14.0%,40.0%,26.0%,16.0%
Industry - aerospace aftermarket,TDG,2026-01-15,44.67,9.14,12.0%,24.0%,18.0%,34.0%
Industry - aerospace aftermarket,HEI,2026-01-15,73.01,9.58,19.0%,35.0%,9.0%,35.0%
Industry - aerospace aftermarket,CRS,2026-01-15,41.61,5.86,2.0%,43.0%,25.0%,45.0%
Industry - aerospace aftermarket,FTAI,2026-01-15,61.02,11.64,42.0%,54.0%,20.0%,46.0%
,,,,,,,,
Industry - police equipment,MSI,2026-01-15,31.65,5.81,8.0%,4.0%,11.0%,0.0%
Industry - police equipment,AXON,2026-01-15,201.71,19.66,31.0%,-80.0%,-41.0%,-103.0%
,,,,,,,,
Industry - auto manufactueres,RACE,2026-01-15,35.81,8.06,14.0%,12.0%,11.0%,8.0%
Industry - auto manufactueres,GM,2026-01-15,16.26,0.40,0.0%,-62.0%,-20.0%,-57.0%
Industry - auto manufactueres,F,2026-01-15,11.84,0.29,9.0%,109.0%,48.0%,174.0%
Industry - auto manufactueres,CPRT,2026-01-15,25.30,8.58,1.0%,8.0%,5.0%,11.0%
,,,,,,,,
home building - residential construction,DHI,2026-01-15,13.88,1.37,-3.0%,-30.0%,-24.0%,-29.0%
home building - residential construction,TOL,2026-01-15,10.99,1.29,3.0%,-5.0%,-8.0%,-6.0%
home building - residential construction,KBH,2026-01-15,10.11,0.65,-15.0%,-48.0%,-45.0%,-46.0%
home building - residential construction,BLD,2026-01-15,25.42,2.68,1.0%,-16.0%,-3.0%,-16.0%
home building - residential construction,IBP,2026-01-15,33.85,2.87,2.0%,7.0%,6.0%,8.0%
,,,,,,,,
home building - material,CRH,2026-01-15,24.39,2.22,5.0%,1.0%,9.0%,11.0%
home building - material,MLM,2026-01-15,33.76,5.82,-2.0%,-2.0%,2.0%,14.0%
home building - material,VMC,2026-01-15,35.86,5.06,14.0%,66.0%,24.0%,81.0%
,,,,,,,,
home building - home improvement retial,HD,2026-01-15,25.85,2.27,3.0%,-1.0%,0.0%,-1.0%
home building - home improvement retial,LOW,2026-01-15,22.96,1.84,3.0%,-4.0%,1.0%,-5.0%
home building - home improvement retial,BLDR,2026-01-15,24.54,0.91,-7.0%,-57.0%,-34.0%,-57.0%
home building - home improvement retial,W,2026-01-15,NA,1.26,8.0%,37.0%,452.0%,34.0%
home building - home improvement retial,WSM,2026-01-15,23.09,3.17,5.0%,-1.0%,-1.0%,-3.0%
,,,,,,,,
cons disc - loging,MAR,2026-01-15,34.41,3.37,4.0%,26.0%,N/A,25.0%
cons disc - loging,HLT,2026-01-15,43.74,5.98,9.0%,23.0%,N/A,22.0%
cons disc - loging,H,2026-01-15,NA,2.32,10.0%,-103.0%,N/A,-110.0%
,,,,,,,,
cons disc - airline,DAL,2026-01-15,9.31,0.74,3.0%,26.0%,-11.0%,45.0%
cons disc - airline,UAL,2026-01-15,11.62,0.64,3.0%,-2.0%,-11.0%,-2.0%
cons disc - airline,LUV,2026-01-15,65.68,0.81,1.0%,-24.0%,-5.0%,-19.0%
cons disc - airline,AAL,2026-01-15,18.89,0.19,0.0%,-45.0%,-44.0%,-23.0%
,,,,,,,,
cons disc - resort & casinos,LVS,2026-01-15,27.35,3.34,24.0%,44.0%,36.0%,52.0%
cons disc - resort & casinos,WYNN,2026-01-15,25.88,1.72,8.0%,1519.0%,61.0%,-376.0%
cons disc - resort & casinos,MGM,2026-01-15,222.28,0.56,2.0%,-174.0%,-15.0%,-255.0%
cons disc - resort & casinos,CZR,2026-01-15,NA,0.46,0.0%,-223.0%,-11.0%,511.0%
,,,,,,,,
cons disc - travel service,BKNG,2026-01-15,33.75,6.43,13.0%,21.0%,26.0%,9.0%
cons disc - travel service,ABNB,2026-01-15,31.37,6.81,11.0%,3.0%,10.0%,0.0%
cons disc - travel service,RCL,2026-01-15,18.78,4.35,5.0%,42.0%,5.0%,42.0%
cons disc - travel service,EXPE,2026-01-15,28.15,2.51,9.0%,29.0%,25.0%,40.0%
cons disc - travel service,MMYT,2026-01-15,114.09,6.99,9.0%,-106.0%,26.0%,-131.0%
cons disc - travel service,YOU,2026-01-15,17.89,5.25,16.0%,42.0%,43.0%,21.0%
,,,,,,,,
cons disc - gambling,FLUT,2026-01-15,NA,2.28,17.0%,542.0%,-8.0%,570.0%
