sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-01-15,7.95,103.41,11.0%,-909.0%,-152.0%,-878.0%
crypto,BMNR,2026-01-15,NA,1952.94,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-01-15,NA,NA,72.0%,193.0%,51.0%,
crypto,DJT,2026-01-15,NA,1026.35,-4.0%,184.0%,72.0%,185.0%
,,,,,,,,
space,RKLB,2026-01-15,NA,87.43,48.0%,16.0%,7.0%,-65.0%
space,LUNR,2026-01-15,NA,15.98,-10.0%,-88.0%,32.0%,-87.0%
space,DXYZ,2026-01-15,17.30,NA,-5512.0%,-297.0%,N/A,-297.0%
,,,,,,,,
misc,TEM,2026-01-15,NA,11.09,85.0%,10.0%,-26.0%,5.0%
,,,,,,,,
TMT - mag7,AAPL,2026-01-15,34.62,9.17,8.0%,11.0%,9.0%,86.0%
TMT - mag7,MSFT,2026-01-15,32.49,11.55,18.0%,13.0%,34.0%,12.0%
TMT - mag7,GOOG,2026-01-15,32.87,10.42,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-15,33.65,3.68,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-15,27.43,8.26,26.0%,22.0%,19.0%,-83.0%
,,,,,,,,
TMT - tsla,TSLA,2026-01-15,293.04,15.25,12.0%,-30.0%,-15.0%,-37.0%
,,,,,,,,
TMT - e-commerce,UI,2026-01-15,42.32,12.15,33.0%,63.0%,52.0%,62.0%
TMT - e-commerce,SE,2026-01-15,53.03,3.22,38.0%,118.0%,112.0%,150.0%
TMT - e-commerce,CPNG,2026-01-15,100.57,1.15,18.0%,25.0%,29.0%,36.0%
,,,,,,,,
,,,,,,,,
TMT - cons disc,UBER,2026-01-15,10.83,3.53,20.0%,-5.0%,43.0%,154.0%
TMT - cons disc,DASH,2026-01-15,106.60,7.17,27.0%,60.0%,82.0%,51.0%
TMT - cons disc,CART,2026-01-15,21.86,2.88,10.0%,18.0%,24.0%,20.0%
TMT - cons disc,SHOP,2026-01-15,115.70,19.23,32.0%,-64.0%,43.0%,-68.0%
TMT - cons disc,EBAY,2026-01-15,20.91,4.02,11.0%,-28.0%,-9.0%,0.0%
TMT - cons disc,ETSY,2026-01-15,44.48,2.20,2.0%,25.0%,-6.0%,32.0%
TMT - cons disc,NFLX,2026-01-15,36.78,9.29,19.0%,15.0%,12.0%,8.0%
TMT - cons disc,DIS,2026-01-15,16.55,2.15,0.0%,116.0%,3.0%,185.0%
TMT - cons disc,SPOT,2026-01-15,79.27,5.60,14.0%,121.0%,33.0%,219.0%
TMT - cons disc,RBLX,2026-01-15,NA,13.31,48.0%,7.0%,15.0%,7.0%
TMT - cons disc,RDDT,2026-01-15,125.99,22.76,68.0%,438.0%,1216.0%,445.0%
TMT - cons disc,PINS,2026-01-15,9.28,4.46,17.0%,193.0%,-13512.0%,201.0%
TMT - cons disc,SNAP,2026-01-15,NA,2.31,10.0%,-29.0%,-36.0%,-32.0%
TMT - cons disc,MTCH,2026-01-15,14.71,2.15,2.0%,9.0%,-12.0%,18.0%
TMT - cons disc,APP,2026-01-15,76.50,37.16,17.0%,118.0%,76.0%,92.0%
TMT - cons disc,TTD,2026-01-15,41.33,6.28,18.0%,41.0%,50.0%,23.0%
TMT - cons disc,ROKU,2026-01-15,NA,3.41,14.0%,-879.0%,50.0%,-375.0%
TMT - cons disc,U,2026-01-15,NA,10.43,5.0%,0.0%,-232.0%,1.0%
TMT - cons disc,DUOL,2026-01-15,19.63,7.39,41.0%,83.0%,155.0%,1151.0%
TMT - cons disc,COUR,2026-01-15,NA,1.47,10.0%,-36.0%,-47.0%,-37.0%
TMT - cons disc,RKT,2026-01-15,295.21,12.10,39.0%,-63.0%,N/A,463.0%
TMT - cons disc,Z,2026-01-15,NA,6.60,16.0%,-160.0%,185.0%,-150.0%
TMT - cons disc,IOT,2026-01-15,NA,13.00,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,
TMT - cybersecurity,PANW,2026-01-15,119.07,13.69,16.0%,12.0%,-5.0%,-5.0%
TMT - cybersecurity,CRWD,2026-01-15,NA,25.13,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-01-15,31.42,8.66,14.0%,-5.0%,17.0%,-12.0%
TMT - cybersecurity,ZS,2026-01-15,NA,11.85,26.0%,90.0%,-289.0%,-4.0%
TMT - cybersecurity,NET,2026-01-15,NA,32.04,31.0%,-114.0%,88.0%,-92.0%
TMT - cybersecurity,CYBR,2026-01-15,NA,17.58,43.0%,-338.0%,-163.0%,-554.0%
TMT - cybersecurity,OKTA,2026-01-15,84.41,5.74,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-01-15,NA,11.55,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-01-15,70.53,5.04,18.0%,-9.0%,-18.0%,-5.0%
TMT - cybersecurity,NTNX,2026-01-15,64.99,5.03,13.0%,78.0%,29.0%,107.0%
TMT - cybersecurity,SNOW,2026-01-15,NA,16.21,29.0%,-12.0%,-15.0%,-9.0%
TMT - cybersecurity,MDB,2026-01-15,NA,13.67,19.0%,-119.0%,-58.0%,-79.0%
TMT - cybersecurity,DDOG,2026-01-15,409.42,13.20,28.0%,-36.0%,-22.0%,-34.0%
TMT - cybersecurity,DT,2026-01-15,23.62,6.41,18.0%,51.0%,29.0%,30.0%
,,,,,,,,
TMT - devops,GTLB,2026-01-15,NA,6.46,25.0%,-37.0%,-72.0%,-128.0%
TMT - devops,FROG,2026-01-15,NA,13.66,26.0%,-38.0%,-17.0%,-28.0%
TMT - devops,DBX,2026-01-15,15.03,2.63,-1.0%,18.0%,31.0%,16.0%
,,,,,,,,
data center - TPU,WULF,2026-01-15,NA,34.55,87.0%,2170.0%,-3378.0%,1876.0%
data center - TPU,CIFR,2026-01-15,NA,33.53,198.0%,-96.0%,-260.0%,-96.0%
data center - TPU,TTMI,2026-01-15,80.42,3.75,22.0%,147.0%,22.0%,271.0%
data center - TPU,FLEX,2026-01-15,29.39,0.94,4.0%,-1.0%,6.0%,-7.0%
data center - TPU,CLS,2026-01-15,50.88,3.20,28.0%,151.0%,45.0%,199.0%
data center - TPU,MRVL,2026-01-15,28.15,8.75,37.0%,-395.0%,-22877.0%,-381.0%
data center - TPU,APH,2026-01-15,51.41,9.00,53.0%,112.0%,81.0%,106.0%
data center - TPU,LITE,2026-01-15,229.47,13.21,58.0%,-107.0%,1279.0%,-105.0%
data center - TPU,ADI,2026-01-15,66.12,13.42,26.0%,72.0%,32.0%,65.0%
data center - TPU,FN,2026-01-15,51.29,4.96,22.0%,26.0%,18.0%,24.0%
data center - TPU,VICR,2026-01-15,79.69,16.38,19.0%,156.0%,158.0%,145.0%
,,,,,,,,
data center,NOK,2026-01-15,37.77,1.69,19.0%,10.0%,24.0%,-51.0%
,,,,,,,,
data center - hyper scaler,ORCL,2026-01-15,35.68,8.94,14.0%,86.0%,25.0%,95.0%
data center - hyper scaler,CRWV,2026-01-15,NA,10.99,134.0%,-26.0%,84.0%,-72.0%
data center - hyper scaler,NBIS,2026-01-15,NA,75.96,237.0%,118.0%,-51.0%,27.0%
data center - hyper scaler,IREN,2026-01-15,26.46,24.80,355.0%,-1241.0%,-444.0%,-844.0%
data center - hyper scaler,CIFR,2026-01-15,NA,33.53,198.0%,-96.0%,-260.0%,-96.0%
,,,,,,,,
data center - semi chip,NVDA,2026-01-15,46.33,24.29,62.0%,70.0%,65.0%,65.0%
data center - semi chip,MU,2026-01-15,32.00,8.95,57.0%,182.0%,97.0%,180.0%
data center - semi chip,AVGO,2026-01-15,72.05,25.46,28.0%,83.0%,30.0%,97.0%
data center - semi chip,AMD,2026-01-15,112.64,11.59,36.0%,78.0%,30.0%,61.0%
,,,,,,,,
data center - semi equip,ASML,2026-01-15,49.86,14.52,7.0%,8.0%,9.0%,9.0%
data center - semi equip,LRCX,2026-01-15,47.92,13.94,28.0%,44.0%,42.0%,41.0%
data center - semi equip,AMAT,2026-01-15,36.79,8.92,-3.0%,20.0%,-7.0%,10.0%
data center - semi equip,KLAC,2026-01-15,48.50,16.21,13.0%,21.0%,13.0%,19.0%
,,,,,,,,
data center - package,TSM,2026-01-15,32.03,14.46,25.0%,38.0%,27.0%,41.0%
data center - package,ASX,2026-01-15,38.20,2.09,14.0%,25.0%,23.0%,21.0%
data center - package,AMKR,2026-01-15,39.65,1.89,7.0%,9.0%,8.0%,3.0%
,,,,,,,,
data center - test,TER,2026-01-15,82.87,12.48,4.0%,-7.0%,-3.0%,-18.0%
,,,,,,,,
data center - router,ANET,2026-01-15,49.70,19.47,27.0%,22.0%,25.0%,14.0%
data center - router,MRVL,2026-01-15,28.15,8.75,37.0%,-395.0%,-22877.0%,-381.0%
,,,,,,,,
data center - optics,CRDO,2026-01-15,130.17,33.83,272.0%,-2230.0%,-2601.0%,-2058.0%
data center - optics,MTSI,2026-01-15,NA,16.96,30.0%,72.0%,25.0%,53.0%
data center - optics,SMTC,2026-01-15,253.98,6.96,13.0%,-225.0%,45.0%,-62.0%
data center - optics,COHR,2026-01-15,282.40,5.10,17.0%,1024.0%,20.0%,-3342.0%
data center - optics,CIEN,2026-01-15,287.01,7.20,26.0%,-96.0%,35.0%,-56.0%
