sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-02-19	NA	NA	77.95	2.0%	1601.0%		1781.0%
crypto	BMNR	2026-02-19	NA	NA	1262.73	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-02-19	NA	NA	6.05	66.0%	78.0%	30.0%	
crypto	DJT	2026-02-19	NA	NA	794.18	-4.0%	184.0%	72.0%	185.0%
									
misc	TEM	2026-02-19	NA	NA	9.65	85.0%	10.0%	-26.0%	5.0%
									
TMT - mag7	AAPL	2026-02-19	25.17	32.97	8.78	16.0%	20.0%	18.0%	16.0%
TMT - mag7	MSFT	2026-02-19	16.20	24.93	9.69	17.0%	64.0%	23.0%	60.0%
TMT - mag7	GOOG	2026-02-19	23.45	28.09	9.10	18.0%	21.0%	20.0%	30.0%
TMT - mag7	AMZN	2026-02-19	14.93	28.56	3.07	14.0%	19.0%	23.0%	6.0%
TMT - mag7	META	2026-02-19	16.03	27.45	8.12	24.0%	8.0%	8.0%	9.0%
									
TMT - tsla	TSLA	2026-02-19	137.85	382.63	16.29	-3.0%	-57.0%	4.0%	-64.0%
									
TMT - e-commerce	UI	2026-02-19	40.72	48.98	14.64	36.0%	74.0%	62.0%	71.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-02-19	22.40	15.45	2.89	20.0%	-68.0%	44.0%	-96.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-02-19	48.11	82.89	5.54	38.0%	26.0%	57.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-02-19	12.68	22.28	2.50	12.0%	-34.0%	-6.0%	-47.0%
									
TMT - cons disc - E-comm	SHOP	2026-02-19	81.09	132.18	13.97	31.0%	-37.0%	36.0%	-43.0%
TMT - cons disc - E-comm	EBAY	2026-02-19	15.51	19.50	3.43	14.0%	1.0%	11.0%	-22.0%
TMT - cons disc - E-comm	ETSY	2026-02-19	13.26	36.55	1.65	2.0%	25.0%	-6.0%	32.0%
TMT - cons disc - E-comm	SE	2026-02-19	28.30	49.01	2.98	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-02-19	26.77	87.32	1.00	18.0%	25.0%	29.0%	36.0%
									
TMT - cons disc - entertain	NFLX	2026-02-19	11.04	30.47	7.18	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-02-19	12.40	15.62	1.96	6.0%	1.0%	0.0%	-6.0%
TMT - cons disc - entertain	SPOT	2026-02-19	34.93	50.29	5.14	17.0%	123.0%	56.0%	249.0%
									
TMT - cons disc - social	RBLX	2026-02-19	NA	NA	9.34	43.0%	45.0%	53.0%	44.0%
TMT - cons disc - social	RDDT	2026-02-19	55.60	54.91	12.67	70.0%	264.0%	314.0%	254.0%
TMT - cons disc - social	PINS	2026-02-19	25.94	27.46	2.64	14.0%	18.0%	15.0%	-85.0%
TMT - cons disc - social	SNAP	2026-02-19	NA	NA	1.42	10.0%	166.0%	633.0%	397.0%
TMT - cons disc - social	MTCH	2026-02-19	10.41	12.86	2.08	2.0%	29.0%	20.0%	32.0%
									
TMT - cons disc - adtech	APP	2026-02-19	31.99	43.62	23.98	21.0%	143.0%	74.0%	84.0%
TMT - cons disc - adtech	TTD	2026-02-19	17.52	28.80	4.37	18.0%	41.0%	50.0%	23.0%
TMT - cons disc - adtech	ROKU	2026-02-19	35.20	155.92	2.79	16.0%	-455.0%	229.0%	-326.0%
TMT - cons disc - adtech	U	2026-02-19	887.06	NA	4.33	10.0%	-19.0%	-34140.0%	-27.0%
									
TMT - cons disc - edu	DUOL	2026-02-19	32.64	14.13	5.32	41.0%	83.0%	155.0%	1151.0%
TMT - cons disc - edu	COUR	2026-02-19	NA	NA	1.35	10.0%	4.0%	61.0%	24.0%
									
TMT - cons disc - realestate	RKT	2026-02-19	64.20	231.11	9.48	39.0%	-63.0%	N/A	463.0%
TMT - cons disc - realestate	Z	2026-02-19	38.63	505.55	4.23	18.0%	-106.0%		-106.0%
									
TMT - cons disc - misc	IOT	2026-02-19	196.59	NA	10.17	29.0%	-124.0%	-653.0%	-121.0%
									
TMT - cybersecurity	PANW	2026-02-19	55.05	83.55	12.33	15.0%	69.0%	36.0%	62.0%
TMT - cybersecurity	CRWD	2026-02-19	53375.17	NA	23.31	22.0%	121.0%	2.0%	102.0%
TMT - cybersecurity	FTNT	2026-02-19	22.69	33.66	8.93	15.0%	5.0%	64.0%	-4.0%
TMT - cybersecurity	ZS	2026-02-19	1551.60	NA	9.51	26.0%	90.0%	-240.0%	-4.0%
TMT - cybersecurity	NET	2026-02-19	726.76	NA	31.08	34.0%	-3.0%	52.0%	-6.0%
TMT - cybersecurity	CYBR	2026-02-19	846.62	NA	15.16	19.0%	-78.0%	-25.0%	-82.0%
TMT - cybersecurity	OKTA	2026-02-19	57.14	75.10	5.10	12.0%	100.0%	683.0%	169.0%
TMT - cybersecurity	RBRK	2026-02-19	NA	NA	9.06	48.0%	-53.0%	-44.0%	-51.0%
TMT - cybersecurity	CVLT	2026-02-19	36.08	47.85	3.54	19.0%	79.0%	56.0%	61.0%
TMT - cybersecurity	NTNX	2026-02-19	37.58	55.17	4.27	13.0%	78.0%	29.0%	107.0%
									
TMT - Data/Infra/Observability	SNOW	2026-02-19	NA	NA	13.98	29.0%	-12.0%	-15.0%	-9.0%
TMT - Data/Infra/Observability	MDB	2026-02-19	NA	NA	12.50	19.0%	-119.0%	-58.0%	-79.0%
TMT - Data/Infra/Observability	DDOG	2026-02-19	504.88	407.16	12.44	29.0%	-1.0%	14.0%	2.0%
TMT - Data/Infra/Observability	DT	2026-02-19	35.27	59.77	5.60	18.0%	48.0%	29.0%	-89.0%
									
TMT - devops	GTLB	2026-02-19	NA	NA	5.34	25.0%	-37.0%	-72.0%	-128.0%
