sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
TMT - mag7,AAPL,2026-01-14,34.85,9.23,8.0%,11.0%,9.0%,86.0%
TMT - mag7,MSFT,2026-01-14,32.68,11.62,18.0%,13.0%,34.0%,12.0%
TMT - mag7,GOOG,2026-01-14,33.18,10.52,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-14,33.43,3.66,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-14,27.20,8.19,26.0%,22.0%,19.0%,-83.0%
TMT - mag7,TSLA,2026-01-14,293.47,15.27,12.0%,-30.0%,-15.0%,-37.0%
,,,,,,,,
TMT - e-commerce,UI,2026-01-14,42.67,12.25,33.0%,63.0%,52.0%,62.0%
TMT - e-commerce,SE,2026-01-14,53.57,3.25,38.0%,118.0%,112.0%,150.0%
TMT - e-commerce,CPNG,2026-01-14,98.39,1.13,18.0%,25.0%,29.0%,36.0%
,,,,,,,,
,,,,,,,,
TMT - consumer discretionary,UBER,2026-01-14,10.86,3.55,20.0%,-5.0%,43.0%,154.0%
TMT - consumer discretionary,DASH,2026-01-14,108.13,7.27,27.0%,60.0%,82.0%,51.0%
TMT - consumer discretionary,CART,2026-01-14,22.44,2.95,10.0%,18.0%,24.0%,20.0%
TMT - consumer discretionary,SHOP,2026-01-14,115.35,19.17,32.0%,-64.0%,43.0%,-68.0%
TMT - consumer discretionary,EBAY,2026-01-14,20.55,3.96,11.0%,-28.0%,-9.0%,0.0%
TMT - consumer discretionary,ETSY,2026-01-14,43.05,2.13,2.0%,25.0%,-6.0%,32.0%
TMT - consumer discretionary,NFLX,2026-01-14,36.99,9.34,19.0%,15.0%,12.0%,8.0%
TMT - consumer discretionary,DIS,2026-01-14,16.57,2.15,0.0%,116.0%,3.0%,185.0%
TMT - consumer discretionary,SPOT,2026-01-14,82.53,5.83,14.0%,121.0%,33.0%,219.0%
TMT - consumer discretionary,RBLX,2026-01-14,NA,13.03,48.0%,7.0%,15.0%,7.0%
TMT - consumer discretionary,RDDT,2026-01-14,139.01,25.11,68.0%,438.0%,1216.0%,445.0%
TMT - consumer discretionary,PINS,2026-01-14,9.38,4.51,17.0%,193.0%,-13512.0%,201.0%
TMT - consumer discretionary,SNAP,2026-01-14,NA,2.35,10.0%,-29.0%,-36.0%,-32.0%
TMT - consumer discretionary,MTCH,2026-01-14,14.89,2.18,2.0%,9.0%,-12.0%,18.0%
TMT - consumer discretionary,APP,2026-01-14,77.86,37.82,17.0%,118.0%,76.0%,92.0%
TMT - consumer discretionary,TTD,2026-01-14,42.36,6.43,18.0%,41.0%,50.0%,23.0%
TMT - consumer discretionary,ROKU,2026-01-14,NA,3.50,14.0%,-879.0%,50.0%,-375.0%
TMT - consumer discretionary,U,2026-01-14,NA,9.97,5.0%,0.0%,-232.0%,1.0%
TMT - consumer discretionary,DUOL,2026-01-14,19.87,7.48,41.0%,83.0%,155.0%,1151.0%
TMT - consumer discretionary,COUR,2026-01-14,NA,1.50,10.0%,-36.0%,-47.0%,-37.0%
TMT - consumer discretionary,RKT,2026-01-14,285.52,11.71,39.0%,-63.0%,N/A,463.0%
TMT - consumer discretionary,Z,2026-01-14,NA,6.56,16.0%,-160.0%,185.0%,-150.0%
TMT - consumer discretionary,IOT,2026-01-14,NA,12.84,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,
TMT - cybersecurity,PANW,2026-01-14,121.10,13.93,16.0%,12.0%,-5.0%,-5.0%
TMT - cybersecurity,CRWD,2026-01-14,NA,25.44,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-01-14,31.45,8.67,14.0%,-5.0%,17.0%,-12.0%
