sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-04-09,NA,NA,93.32,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-04-09,NA,NA,1333.59,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-04-09,NA,NA,7.65,77.0%,1252.0%,655.0%,2912.0%
crypto,DJT,2026-04-09,NA,NA,696.34,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-04-09,NA,NA,6.21,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-04-09,25.17,32.96,8.78,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-04-09,15.18,23.34,9.07,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-04-09,24.59,29.28,9.54,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-04-09,16.99,32.58,3.50,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-04-09,15.63,26.75,7.91,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-04-09,115.30,321.21,13.68,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-04-09,51.44,61.82,18.47,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-04-09,22.06,15.21,2.84,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-04-09,40.72,72.68,4.89,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-04-09,12.51,25.37,2.59,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-04-09,73.34,119.99,12.68,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-04-09,16.98,22.01,3.83,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-04-09,14.18,39.36,1.78,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-04-09,19.19,33.13,2.04,38.0%,90.0%,,67.0%
TMT - cons disc - E-comm,CPNG,2026-04-09,33.66,175.38,1.04,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-04-09,14.54,40.38,9.52,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-04-09,11.82,14.70,1.85,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-04-09,35.04,50.43,5.16,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-04-09,NA,NA,7.99,43.0%,45.0%,53.0%,44.0%
TMT - cons disc - social,RDDT,2026-04-09,52.37,51.99,12.00,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-04-09,26.93,29.38,2.72,14.0%,18.0%,15.0%,-85.0%
TMT - cons disc - social,SNAP,2026-04-09,NA,NA,1.41,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-04-09,10.86,13.60,2.17,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-04-09,29.32,40.13,22.03,21.0%,143.0%,75.0%,84.0%
TMT - cons disc - adtech,TTD,2026-04-09,12.68,22.79,3.39,14.0%,22.0%,32.0%,3.0%
TMT - cons disc - adtech,ROKU,2026-04-09,39.94,174.07,3.11,16.0%,-455.0%,229.0%,-326.0%
TMT - cons disc - adtech,U,2026-04-09,1025.69,NA,5.05,10.0%,-19.0%,-34140.0%,-27.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-04-09,20.63,10.74,4.10,35.0%,144.0%,170.0%,202.0%
TMT - cons disc - edu,COUR,2026-04-09,NA,NA,1.25,10.0%,4.0%,-15.0%,24.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-04-09,67.39,NA,6.16,133.0%,-75.0%,N/A,101.0%
TMT - cons disc - realestate,Z,2026-04-09,34.14,450.94,3.78,18.0%,-106.0%,,-106.0%
,,,,,,,,,
TMT - cons disc - misc,IOT,2026-04-09,133.81,NA,9.63,28.0%,-419.0%,196.0%,-297.0%
,,,,,,,,,
TMT - cybersecurity,PANW,2026-04-09,61.70,92.40,13.77,15.0%,69.0%,36.0%,62.0%
TMT - cybersecurity,CRWD,2026-04-09,971.39,NA,20.80,23.0%,-180.0%,-2446.0%,-142.0%
TMT - cybersecurity,FTNT,2026-04-09,25.68,33.24,8.78,15.0%,5.0%,9.0%,-4.0%
TMT - cybersecurity,ZS,2026-04-09,1045.59,NA,6.55,26.0%,29.0%,-10.0%,344.0%
TMT - cybersecurity,NET,2026-04-09,796.00,NA,31.34,34.0%,-3.0%,45.0%,-6.0%
TMT - cybersecurity,OKTA,2026-04-09,40.55,51.84,4.11,12.0%,126.0%,58.0%,174.0%
TMT - cybersecurity,RBRK,2026-04-09,NA,NA,7.10,46.0%,-38.0%,-34.0%,-24.0%
TMT - cybersecurity,CVLT,2026-04-09,31.37,41.77,3.09,19.0%,79.0%,56.0%,61.0%
TMT - cybersecurity,NTNX,2026-04-09,32.04,40.45,3.65,10.0%,50.0%,15.0%,83.0%
,,,,,,,,,
TMT - Data/Infra/Observability,SNOW,2026-04-09,NA,NA,9.76,30.0%,-9.0%,-24.0%,-5.0%
TMT - Data/Infra/Observability,MDB,2026-04-09,NA,NA,7.49,27.0%,367.0%,-172.0%,-2.0%
TMT - Data/Infra/Observability,DDOG,2026-04-09,451.30,367.93,11.22,29.0%,-1.0%,14.0%,2.0%
TMT - Data/Infra/Observability,DT,2026-04-09,32.61,55.72,5.22,18.0%,48.0%,29.0%,-89.0%
,,,,,,,,,
TMT - devops,GTLB,2026-04-09,NA,NA,3.50,23.0%,-134.0%,-98.0%,-124.0%
TMT - devops,FROG,2026-04-09,NA,NA,10.00,25.0%,-27.0%,6.0%,-34.0%
TMT - devops,DBX,2026-04-09,9.10,11.97,2.05,-1.0%,55.0%,58.0%,6.0%
,,,,,,,,,
data center,NOK,2026-04-09,17.23,72.79,2.36,12.0%,-31.0%,-2.0%,-27.0%
,,,,,,,,,
data center - hyper scaler,ORCL,2026-04-09,18.22,24.75,6.19,22.0%,28.0%,37.0%,26.0%
data center - hyper scaler,CRWV,2026-04-09,30.80,NA,9.43,110.0%,1492.0%,53.0%,460.0%
