sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-02-06,NA,NA,80.41,2.0%,1601.0%,,1781.0%
crypto,BMNR,2026-02-06,NA,NA,1287.73,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-02-06,NA,NA,NA,72.0%,193.0%,51.0%,
crypto,DJT,2026-02-06,NA,NA,858.42,-4.0%,184.0%,72.0%,185.0%
,,,,,,,,,
misc,TEM,2026-02-06,NA,NA,8.81,85.0%,10.0%,-26.0%,5.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-02-06,26.76,35.06,9.34,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-02-06,16.23,24.98,9.71,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-02-06,25.01,29.99,9.70,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-02-06,14.94,28.91,3.09,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-02-06,16.43,28.11,8.31,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-02-06,138.64,384.78,16.38,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-02-06,39.20,47.05,13.50,33.0%,63.0%,52.0%,62.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-02-06,23.08,15.61,2.94,20.0%,-68.0%,38.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-02-06,53.34,92.35,6.21,27.0%,60.0%,82.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-02-06,10.60,18.86,2.48,10.0%,18.0%,24.0%,20.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-02-06,81.05,81.35,13.55,32.0%,-64.0%,43.0%,-68.0%
TMT - cons disc - E-comm,EBAY,2026-02-06,15.83,18.72,3.60,11.0%,-28.0%,-9.0%,0.0%
TMT - cons disc - E-comm,ETSY,2026-02-06,14.02,40.43,2.00,2.0%,25.0%,-6.0%,32.0%
TMT - cons disc - E-comm,SE,2026-02-06,26.43,46.15,2.80,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-02-06,25.29,82.82,0.95,18.0%,25.0%,29.0%,36.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-02-06,11.69,32.32,7.62,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-02-06,12.63,15.97,2.01,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-02-06,34.13,65.62,4.64,14.0%,121.0%,33.0%,219.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-02-06,NA,NA,10.71,48.0%,7.0%,15.0%,7.0%
TMT - cons disc - social,RDDT,2026-02-06,54.01,53.90,12.34,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-02-06,34.95,6.74,3.24,17.0%,193.0%,-13512.0%,201.0%
TMT - cons disc - social,SNAP,2026-02-06,NA,NA,1.51,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-02-06,10.64,13.25,2.14,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-02-06,36.47,51.40,24.96,17.0%,118.0%,76.0%,92.0%
TMT - cons disc - adtech,TTD,2026-02-06,18.82,30.75,4.67,18.0%,41.0%,50.0%,23.0%
TMT - cons disc - adtech,ROKU,2026-02-06,50.57,NA,2.80,14.0%,-879.0%,50.0%,-375.0%
TMT - cons disc - adtech,U,2026-02-06,NA,NA,5.94,5.0%,0.0%,-232.0%,1.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-02-06,35.17,15.00,5.64,41.0%,83.0%,155.0%,1151.0%
TMT - cons disc - edu,COUR,2026-02-06,NA,NA,1.33,10.0%,4.0%,61.0%,24.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-02-06,66.57,242.35,9.94,39.0%,-63.0%,N/A,463.0%
TMT - cons disc - realestate,Z,2026-02-06,61.84,NA,5.39,16.0%,-160.0%,185.0%,-150.0%
,,,,,,,,,
TMT - cons disc - misc,IOT,2026-02-06,183.92,NA,9.54,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,,
TMT - cybersecurity,PANW,2026-02-06,54.23,100.99,11.61,16.0%,12.0%,-5.0%,-5.0%
TMT - cybersecurity,CRWD,2026-02-06,49810.34,NA,21.81,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-02-06,22.91,33.96,9.01,15.0%,5.0%,64.0%,-4.0%
TMT - cybersecurity,ZS,2026-02-06,1283.33,NA,9.35,26.0%,90.0%,-289.0%,-4.0%
TMT - cybersecurity,NET,2026-02-06,800.59,NA,29.81,31.0%,-114.0%,88.0%,-92.0%
TMT - cybersecurity,CYBR,2026-02-06,809.55,NA,14.51,19.0%,-78.0%,-25.0%,-82.0%
TMT - cybersecurity,OKTA,2026-02-06,60.73,79.15,5.38,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-02-06,NA,NA,8.51,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-02-06,33.48,44.50,3.29,19.0%,79.0%,56.0%,61.0%
TMT - cybersecurity,NTNX,2026-02-06,36.53,53.70,4.15,13.0%,78.0%,29.0%,107.0%
,,,,,,,,,
TMT - Data/Infra/Observability,SNOW,2026-02-06,NA,NA,13.19,29.0%,-12.0%,-15.0%,-9.0%
TMT - Data/Infra/Observability,MDB,2026-02-06,NA,NA,11.97,19.0%,-119.0%,-58.0%,-79.0%
TMT - Data/Infra/Observability,DDOG,2026-02-06,498.94,378.47,12.20,28.0%,-36.0%,-22.0%,-34.0%
TMT - Data/Infra/Observability,DT,2026-02-06,34.42,20.11,5.46,18.0%,51.0%,29.0%,30.0%
,,,,,,,,,
TMT - devops,GTLB,2026-02-06,NA,NA,5.99,25.0%,-37.0%,-72.0%,-128.0%
TMT - devops,FROG,2026-02-06,NA,NA,11.08,26.0%,-38.0%,-17.0%,-28.0%
TMT - devops,DBX,2026-02-06,11.04,14.12,2.47,-1.0%,18.0%,31.0%,16.0%
,,,,,,,,,
data center,NOK,2026-02-06,12.46,53.47,1.74,12.0%,-31.0%,-2.0%,-27.0%
,,,,,,,,,
data center - hyper scaler,ORCL,2026-02-06,19.48,26.56,6.66,14.0%,86.0%,25.0%,95.0%
data center - hyper scaler,CRWV,2026-02-06,28.05,NA,10.26,134.0%,-26.0%,84.0%,-72.0%
data center - hyper scaler,NBIS,2026-02-06,NA,NA,62.98,237.0%,118.0%,-51.0%,27.0%
data center - hyper scaler,IREN,2026-02-06,77.60,28.26,20.56,60.0%,-1655.0%,-66.0%,-929.0%
data center - hyper scaler,WULF,2026-02-06,NA,NA,35.47,87.0%,2170.0%,-3378.0%,1876.0%
