sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-04-17,NA,NA,120.19,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-04-17,NA,NA,736.63,626.0%,329073.0%,8265.0%,329073.0%
crypto,CRCL,2026-04-17,NA,NA,9.44,77.0%,1252.0%,655.0%,2912.0%
crypto,DJT,2026-04-17,NA,NA,767.83,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-04-17,NA,NA,7.90,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-04-17,26.13,34.22,9.12,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-04-17,17.18,26.46,10.28,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-04-17,26.46,31.44,10.25,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-04-17,18.23,35.00,3.76,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-04-17,17.12,29.31,8.67,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-04-17,134.21,372.72,15.87,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-04-17,61.48,73.84,22.07,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-04-17,23.41,16.34,3.02,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-04-17,49.01,86.92,5.85,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-04-17,12.91,26.13,2.67,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-04-17,86.05,139.99,14.80,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-04-17,18.53,24.19,4.21,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-04-17,15.94,45.67,2.07,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-04-17,20.97,35.60,2.19,38.0%,90.0%,,67.0%
TMT - cons disc - E-comm,CPNG,2026-04-17,37.57,194.72,1.16,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-04-17,13.15,31.40,8.70,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-04-17,12.41,15.64,1.97,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-04-17,38.68,55.21,5.64,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
