sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-01-27	NA	7.42	96.58	11.0%	-909.0%	-152.0%	-878.0%
crypto	BMNR	2026-01-27	NA	NA	1831.79	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-01-27	NA	NA	NA	72.0%	193.0%	51.0%	
crypto	DJT	2026-01-27	NA	NA	1050.69	-4.0%	184.0%	72.0%	185.0%
									
misc	TEM	2026-01-27	NA	NA	10.72	85.0%	10.0%	-26.0%	5.0%
									
TMT - mag7	AAPL	2026-01-27	26.75	34.79	9.17	8.0%	11.0%	9.0%	86.0%
TMT - mag7	MSFT	2026-01-27	20.45	34.22	12.17	18.0%	13.0%	34.0%	12.0%
TMT - mag7	GOOG	2026-01-27	27.18	33.13	10.51	16.0%	39.0%	25.0%	33.0%
TMT - mag7	AMZN	2026-01-27	18.82	34.50	3.78	13.0%	56.0%	19.0%	38.0%
TMT - mag7	META	2026-01-27	17.04	29.65	8.93	26.0%	22.0%	19.0%	-83.0%
									
TMT - tsla	TSLA	2026-01-27	129.60	288.56	15.02	12.0%	-30.0%	-15.0%	-37.0%
									
TMT - e-commerce	UI	2026-01-27	34.99	42.00	12.05	33.0%	63.0%	52.0%	62.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-01-27	27.61	10.46	3.41	20.0%	-5.0%	43.0%	154.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-01-27	61.36	105.33	7.08	27.0%	60.0%	82.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-01-27	11.90	20.76	2.73	10.0%	18.0%	24.0%	20.0%
									
TMT - cons disc - E-comm	SHOP	2026-01-27	100.76	100.66	16.73	32.0%	-64.0%	43.0%	-68.0%
TMT - cons disc - E-comm	EBAY	2026-01-27	17.48	20.85	4.01	11.0%	-28.0%	-9.0%	0.0%
TMT - cons disc - E-comm	ETSY	2026-01-27	14.24	41.23	2.04	2.0%	25.0%	-6.0%	32.0%
TMT - cons disc - E-comm	SE	2026-01-27	31.80	54.34	3.30	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-01-27	29.55	95.72	1.10	18.0%	25.0%	29.0%	36.0%
									
TMT - cons disc - entertain	NFLX	2026-01-27	12.17	33.67	7.93	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-01-27	12.78	16.12	2.09	0.0%	116.0%	3.0%	185.0%
TMT - cons disc - entertain	SPOT	2026-01-27	42.39	80.06	5.65	14.0%	121.0%	33.0%	219.0%
									
TMT - cons disc - social	RBLX	2026-01-27	NA	NA	11.45	48.0%	7.0%	15.0%	7.0%
TMT - cons disc - social	RDDT	2026-01-27	125.08	107.82	19.48	68.0%	438.0%	1216.0%	445.0%
TMT - cons disc - social	PINS	2026-01-27	44.94	8.31	3.99	17.0%	193.0%	-13512.0%	201.0%
TMT - cons disc - social	SNAP	2026-01-27	NA	NA	2.24	10.0%	-29.0%	-36.0%	-32.0%
TMT - cons disc - social	MTCH	2026-01-27	11.32	14.81	2.16	2.0%	9.0%	-12.0%	18.0%
									
TMT - cons disc - adtech	APP	2026-01-27	48.17	68.12	33.09	17.0%	118.0%	76.0%	92.0%
TMT - cons disc - adtech	TTD	2026-01-27	22.76	36.65	5.57	18.0%	41.0%	50.0%	23.0%
TMT - cons disc - adtech	ROKU	2026-01-27	63.11	NA	3.40	14.0%	-879.0%	50.0%	-375.0%
TMT - cons disc - adtech	U	2026-01-27	NA	NA	9.77	5.0%	0.0%	-232.0%	1.0%
									
TMT - cons disc - edu	DUOL	2026-01-27	45.32	18.52	6.97	41.0%	83.0%	155.0%	1151.0%
TMT - cons disc - edu	COUR	2026-01-27	NA	NA	1.41	10.0%	-36.0%	-47.0%	-37.0%
									
TMT - cons disc - realestate	RKT	2026-01-27	71.12	263.91	10.82	39.0%	-63.0%	N/A	463.0%
TMT - cons disc - realestate	Z	2026-01-27	75.96	NA	6.53	16.0%	-160.0%	185.0%	-150.0%
									
TMT - cons disc - misc	IOT	2026-01-27	226.95	NA	11.67	29.0%	-124.0%	-653.0%	-121.0%
									
TMT - cybersecurity	PANW	2026-01-27	62.85	116.46	13.39	16.0%	12.0%	-5.0%	-5.0%
TMT - cybersecurity	CRWD	2026-01-27	60263.24	NA	26.21	22.0%	121.0%	2.0%	102.0%
TMT - cybersecurity	FTNT	2026-01-27	27.06	33.70	9.29	14.0%	-5.0%	17.0%	-12.0%
TMT - cybersecurity	ZS	2026-01-27	1728.28	NA	12.41	26.0%	90.0%	-289.0%	-4.0%
TMT - cybersecurity	NET	2026-01-27	986.29	NA	36.66	31.0%	-114.0%	88.0%	-92.0%
TMT - cybersecurity	CYBR	2026-01-27	810.25	NA	17.25	43.0%	-338.0%	-163.0%	-554.0%
TMT - cybersecurity	OKTA	2026-01-27	65.08	84.06	5.71	12.0%	100.0%	683.0%	169.0%
TMT - cybersecurity	RBRK	2026-01-27	NA	NA	10.52	48.0%	-53.0%	-44.0%	-51.0%
TMT - cybersecurity	CVLT	2026-01-27	38.67	49.78	3.56	18.0%	-9.0%	-18.0%	-5.0%
TMT - cybersecurity	NTNX	2026-01-27	37.47	55.02	4.26	13.0%	78.0%	29.0%	107.0%
									
TMT - Data/Infra/Observability	SNOW	2026-01-27	NA	NA	16.54	29.0%	-12.0%	-15.0%	-9.0%
TMT - Data/Infra/Observability	MDB	2026-01-27	NA	NA	14.47	19.0%	-119.0%	-58.0%	-79.0%
TMT - Data/Infra/Observability	DDOG	2026-01-27	622.73	465.51	15.00	28.0%	-36.0%	-22.0%	-34.0%
TMT - Data/Infra/Observability	DT	2026-01-27	42.61	24.31	6.60	18.0%	51.0%	29.0%	30.0%
									
TMT - devops	GTLB	2026-01-27	NA	NA	6.92	25.0%	-37.0%	-72.0%	-128.0%
TMT - devops	FROG	2026-01-27	NA	NA	13.89	26.0%	-38.0%	-17.0%	-28.0%
TMT - devops	DBX	2026-01-27	11.49	14.91	2.61	-1.0%	18.0%	31.0%	16.0%
									
data center	NOK	2026-01-27	12.48	40.03	1.79	19.0%	10.0%	24.0%	-51.0%
									
data center - hyper scaler	ORCL	2026-01-27	23.00	32.69	8.19	14.0%	86.0%	25.0%	95.0%
data center - hyper scaler	CRWV	2026-01-27	33.32	NA	12.90	134.0%	-26.0%	84.0%	-72.0%
data center - hyper scaler	NBIS	2026-01-27	NA	NA	71.95	237.0%	118.0%	-51.0%	27.0%
data center - hyper scaler	IREN	2026-01-27	82.44	29.62	27.76	355.0%	-1241.0%	-444.0%	-844.0%
data center - hyper scaler	WULF	2026-01-27	NA	NA	37.58	87.0%	2170.0%	-3378.0%	1876.0%
data center - hyper scaler	CIFR	2026-01-27	187.42	NA	34.51	198.0%	-96.0%	-260.0%	-96.0%
									
data center - semi chip	NVDA	2026-01-27	40.31	46.82	24.54	62.0%	70.0%	65.0%	65.0%
