sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-02-10	NA	NA	80.20	2.0%	1601.0%		1781.0%
crypto	BMNR	2026-02-10	NA	NA	1272.98	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-02-10	NA	NA	NA	72.0%	193.0%	51.0%	
crypto	DJT	2026-02-10	NA	NA	840.76	-4.0%	184.0%	72.0%	185.0%
									
misc	TEM	2026-02-10	NA	NA	9.00	85.0%	10.0%	-26.0%	5.0%
									
TMT - mag7	AAPL	2026-02-10	26.48	34.68	9.24	16.0%	20.0%	18.0%	16.0%
TMT - mag7	MSFT	2026-02-10	16.81	25.88	10.06	17.0%	64.0%	23.0%	60.0%
TMT - mag7	GOOG	2026-02-10	24.72	29.57	9.59	18.0%	21.0%	20.0%	30.0%
TMT - mag7	AMZN	2026-02-10	15.08	28.88	3.10	14.0%	19.0%	23.0%	6.0%
TMT - mag7	META	2026-02-10	16.75	28.68	8.48	24.0%	8.0%	8.0%	9.0%
									
TMT - tsla	TSLA	2026-02-10	142.11	394.25	16.79	-3.0%	-57.0%	4.0%	-64.0%
									
TMT - e-commerce	UI	2026-02-10	40.83	49.11	14.68	36.0%	74.0%	62.0%	71.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-02-10	23.08	15.61	2.94	20.0%	-68.0%	38.0%	-96.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-02-10	54.46	94.15	6.33	27.0%	60.0%	82.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-02-10	10.71	19.02	2.50	10.0%	18.0%	24.0%	20.0%
									
TMT - cons disc - E-comm	SHOP	2026-02-10	93.35	93.24	15.54	32.0%	-64.0%	43.0%	-68.0%
TMT - cons disc - E-comm	EBAY	2026-02-10	16.10	19.08	3.67	11.0%	-28.0%	-9.0%	0.0%
TMT - cons disc - E-comm	ETSY	2026-02-10	13.31	37.83	1.87	2.0%	25.0%	-6.0%	32.0%
TMT - cons disc - E-comm	SE	2026-02-10	27.96	48.49	2.95	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-02-10	26.55	86.63	0.99	18.0%	25.0%	29.0%	36.0%
									
TMT - cons disc - entertain	NFLX	2026-02-10	11.79	32.60	7.68	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-02-10	12.79	16.24	2.04	6.0%	1.0%	0.0%	-6.0%
TMT - cons disc - entertain	SPOT	2026-02-10	39.42	74.85	5.29	14.0%	121.0%	33.0%	219.0%
									
TMT - cons disc - social	RBLX	2026-02-10	NA	NA	11.24	48.0%	7.0%	15.0%	7.0%
TMT - cons disc - social	RDDT	2026-02-10	56.56	56.22	12.87	70.0%	264.0%	314.0%	254.0%
TMT - cons disc - social	PINS	2026-02-10	36.92	7.05	3.39	17.0%	193.0%	-13512.0%	201.0%
TMT - cons disc - social	SNAP	2026-02-10	NA	NA	1.50	10.0%	166.0%	633.0%	397.0%
TMT - cons disc - social	MTCH	2026-02-10	10.86	13.64	2.20	2.0%	29.0%	20.0%	32.0%
									
TMT - cons disc - adtech	APP	2026-02-10	42.17	59.54	28.92	17.0%	118.0%	76.0%	92.0%
TMT - cons disc - adtech	TTD	2026-02-10	19.63	31.96	4.85	18.0%	41.0%	50.0%	23.0%
TMT - cons disc - adtech	ROKU	2026-02-10	53.50	NA	2.94	14.0%	-879.0%	50.0%	-375.0%
TMT - cons disc - adtech	U	2026-02-10	NA	NA	6.81	5.0%	0.0%	-232.0%	1.0%
									
TMT - cons disc - edu	DUOL	2026-02-10	36.30	15.39	5.79	41.0%	83.0%	155.0%	1151.0%
TMT - cons disc - edu	COUR	2026-02-10	NA	NA	1.31	10.0%	4.0%	61.0%	24.0%
									
TMT - cons disc - realestate	RKT	2026-02-10	69.02	253.97	10.41	39.0%	-63.0%	N/A	463.0%
TMT - cons disc - realestate	Z	2026-02-10	61.40	NA	5.36	16.0%	-160.0%	185.0%	-150.0%
									
TMT - cons disc - misc	IOT	2026-02-10	203.15	NA	10.49	29.0%	-124.0%	-653.0%	-121.0%
									
TMT - cybersecurity	PANW	2026-02-10	56.44	104.95	12.07	16.0%	12.0%	-5.0%	-5.0%
TMT - cybersecurity	CRWD	2026-02-10	52525.65	NA	22.95	22.0%	121.0%	2.0%	102.0%
TMT - cybersecurity	FTNT	2026-02-10	23.80	35.23	9.35	15.0%	5.0%	64.0%	-4.0%
TMT - cybersecurity	ZS	2026-02-10	1602.48	NA	9.81	26.0%	90.0%	-240.0%	-4.0%
TMT - cybersecurity	NET	2026-02-10	849.06	NA	31.60	31.0%	-114.0%	88.0%	-92.0%
TMT - cybersecurity	CYBR	2026-02-10	843.83	NA	15.11	19.0%	-78.0%	-25.0%	-82.0%
TMT - cybersecurity	OKTA	2026-02-10	62.55	81.21	5.52	12.0%	100.0%	683.0%	169.0%
TMT - cybersecurity	RBRK	2026-02-10	NA	NA	9.29	48.0%	-53.0%	-44.0%	-51.0%
TMT - cybersecurity	CVLT	2026-02-10	33.98	45.15	3.34	19.0%	79.0%	56.0%	61.0%
TMT - cybersecurity	NTNX	2026-02-10	38.10	55.90	4.32	13.0%	78.0%	29.0%	107.0%
									
TMT - Data/Infra/Observability	SNOW	2026-02-10	NA	NA	14.25	29.0%	-12.0%	-15.0%	-9.0%
TMT - Data/Infra/Observability	MDB	2026-02-10	NA	NA	13.34	19.0%	-119.0%	-58.0%	-79.0%
TMT - Data/Infra/Observability	DDOG	2026-02-10	591.46	443.53	14.30	28.0%	-36.0%	-22.0%	-34.0%
TMT - Data/Infra/Observability	DT	2026-02-10	35.89	60.06	5.69	18.0%	48.0%	29.0%	-89.0%
									
