sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-03-06,NA,NA,93.45,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-03-06,NA,NA,1200.42,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-03-06,NA,NA,8.74,77.0%,1252.0%,629.0%,2912.0%
crypto,DJT,2026-03-06,NA,NA,770.64,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-03-06,NA,NA,7.32,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-03-06,24.80,32.48,8.65,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-03-06,16.64,25.61,9.95,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-03-06,23.06,27.61,8.95,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-03-06,15.58,29.82,3.20,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-03-06,15.99,27.38,8.09,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-03-06,133.12,369.74,15.74,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-03-06,42.29,50.86,15.20,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-03-06,23.03,15.90,2.97,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-03-06,47.55,84.41,5.68,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-03-06,11.74,23.92,2.45,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-03-06,85.51,139.13,14.71,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-03-06,16.47,21.29,3.71,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-03-06,14.71,41.25,1.87,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-03-06,21.07,35.74,2.20,38.0%,90.0%,,67.0%
TMT - cons disc - E-comm,CPNG,2026-03-06,32.62,170.23,1.01,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-03-06,14.16,39.30,9.26,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-03-06,11.96,14.94,1.88,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-03-06,41.26,58.59,5.99,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-03-06,NA,NA,9.18,43.0%,45.0%,53.0%,44.0%
TMT - cons disc - social,RDDT,2026-03-06,52.73,52.32,12.08,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-03-06,31.92,32.54,3.13,14.0%,18.0%,15.0%,-85.0%
TMT - cons disc - social,SNAP,2026-03-06,NA,NA,1.47,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-03-06,10.36,12.73,2.03,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-03-06,38.75,53.14,29.17,21.0%,143.0%,75.0%,84.0%
TMT - cons disc - adtech,TTD,2026-03-06,18.50,32.32,4.80,14.0%,22.0%,32.0%,3.0%
TMT - cons disc - adtech,ROKU,2026-03-06,40.04,174.46,3.12,16.0%,-455.0%,229.0%,-326.0%
TMT - cons disc - adtech,U,2026-03-06,944.22,NA,4.63,10.0%,-19.0%,-34140.0%,-27.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-03-06,23.99,12.06,4.60,35.0%,144.0%,170.0%,202.0%
TMT - cons disc - edu,COUR,2026-03-06,NA,NA,1.36,10.0%,4.0%,-15.0%,24.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-03-06,67.07,NA,6.11,133.0%,-75.0%,N/A,101.0%
TMT - cons disc - realestate,Z,2026-03-06,38.93,508.23,4.26,18.0%,-106.0%,,-106.0%
,,,,,,,,,
TMT - cons disc - misc,IOT,2026-03-06,265.27,NA,12.51,28.0%,-419.0%,-9.0%,-297.0%
,,,,,,,,,
TMT - cybersecurity,PANW,2026-03-06,60.90,91.24,13.60,15.0%,69.0%,36.0%,62.0%
TMT - cybersecurity,CRWD,2026-03-06,1044.79,NA,22.45,23.0%,-180.0%,-2464.0%,-142.0%
TMT - cybersecurity,FTNT,2026-03-06,26.62,34.42,9.09,15.0%,5.0%,9.0%,-4.0%
TMT - cybersecurity,ZS,2026-03-06,1435.61,NA,8.79,26.0%,29.0%,-10.0%,344.0%
TMT - cybersecurity,NET,2026-03-06,1196.44,NA,31.56,34.0%,-3.0%,-76.0%,-6.0%
TMT - cybersecurity,OKTA,2026-03-06,49.73,61.64,4.87,12.0%,126.0%,58.0%,174.0%
TMT - cybersecurity,RBRK,2026-03-06,NA,NA,9.54,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-03-06,33.82,44.94,3.32,19.0%,79.0%,56.0%,61.0%
TMT - cybersecurity,NTNX,2026-03-06,34.58,43.55,3.93,10.0%,50.0%,15.0%,83.0%
,,,,,,,,,
TMT - Data/Infra/Observability,SNOW,2026-03-06,NA,NA,13.17,30.0%,-9.0%,-24.0%,-5.0%
TMT - Data/Infra/Observability,MDB,2026-03-06,NA,NA,8.89,27.0%,367.0%,-174.0%,-2.0%
TMT - Data/Infra/Observability,DDOG,2026-03-06,523.27,421.98,12.86,29.0%,-1.0%,14.0%,2.0%
TMT - Data/Infra/Observability,DT,2026-03-06,38.41,64.55,6.05,18.0%,48.0%,29.0%,-89.0%
,,,,,,,,,
TMT - devops,GTLB,2026-03-06,NA,NA,4.35,23.0%,-134.0%,-98.0%,-124.0%
TMT - devops,FROG,2026-03-06,NA,NA,9.17,25.0%,-27.0%,6.0%,-34.0%
TMT - devops,DBX,2026-03-06,10.30,14.32,2.46,-1.0%,55.0%,58.0%,6.0%
,,,,,,,,,
data center,NOK,2026-03-06,13.87,59.18,1.92,12.0%,-31.0%,-2.0%,-27.0%
,,,,,,,,,
data center - hyper scaler,ORCL,2026-03-06,20.87,28.97,7.26,14.0%,86.0%,25.0%,95.0%
data center - hyper scaler,CRWV,2026-03-06,26.70,NA,7.50,110.0%,1492.0%,53.0%,460.0%
data center - hyper scaler,NBIS,2026-03-06,NA,175.55,42.16,501.0%,72.0%,-53.0%,83.0%
data center - hyper scaler,IREN,2026-03-06,102.97,42.76,25.41,60.0%,-1655.0%,-66.0%,-929.0%
data center - hyper scaler,WULF,2026-03-06,NA,NA,35.02,2.0%,136.0%,198.0%,333.0%
