sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-01-30,NA,6.89,89.61,11.0%,-909.0%,-152.0%,-878.0%
crypto,BMNR,2026-01-30,NA,NA,1590.75,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-01-30,NA,NA,NA,72.0%,193.0%,51.0%,
crypto,DJT,2026-01-30,NA,NA,969.24,-4.0%,184.0%,72.0%,185.0%
,,,,,,,,,
misc,TEM,2026-01-30,NA,NA,9.75,85.0%,10.0%,-26.0%,5.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-01-30,24.98,32.69,8.71,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-01-30,17.46,26.89,10.45,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-01-30,27.33,33.31,10.56,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-30,18.48,33.87,3.71,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-30,17.75,30.50,8.99,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-01-30,128.46,402.86,15.20,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-01-30,34.84,41.81,12.00,33.0%,63.0%,52.0%,62.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-01-30,27.02,10.23,3.34,20.0%,-5.0%,43.0%,154.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-01-30,60.29,103.60,6.97,27.0%,60.0%,82.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-01-30,11.73,20.50,2.70,10.0%,18.0%,24.0%,20.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-01-30,96.34,96.37,16.02,32.0%,-64.0%,43.0%,-68.0%
TMT - cons disc - E-comm,EBAY,2026-01-30,16.71,19.86,3.82,11.0%,-28.0%,-9.0%,0.0%
TMT - cons disc - E-comm,ETSY,2026-01-30,13.13,37.14,1.84,2.0%,25.0%,-6.0%,32.0%
TMT - cons disc - E-comm,SE,2026-01-30,28.81,49.78,3.02,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-01-30,29.41,95.31,1.09,18.0%,25.0%,29.0%,36.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-01-30,11.95,33.07,7.79,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-01-30,12.94,16.37,2.13,0.0%,116.0%,3.0%,185.0%
TMT - cons disc - entertain,SPOT,2026-01-30,41.67,78.78,5.57,14.0%,121.0%,33.0%,219.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-01-30,NA,NA,10.23,48.0%,7.0%,15.0%,7.0%
TMT - cons disc - social,RDDT,2026-01-30,115.72,100.24,18.11,68.0%,438.0%,1216.0%,445.0%
TMT - cons disc - social,PINS,2026-01-30,40.79,7.66,3.68,17.0%,193.0%,-13512.0%,201.0%
TMT - cons disc - social,SNAP,2026-01-30,NA,NA,2.09,10.0%,-29.0%,-36.0%,-32.0%
TMT - cons disc - social,MTCH,2026-01-30,11.12,14.43,2.11,2.0%,9.0%,-12.0%,18.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-01-30,42.89,60.58,29.42,17.0%,118.0%,76.0%,92.0%
