sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-01-22	NA	7.49	97.40	11.0%	-909.0%	-152.0%	-878.0%
crypto	BMNR	2026-01-22	NA	NA	1828.31	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-01-22	NA	NA	NA	72.0%	193.0%	51.0%	
crypto	DJT	2026-01-22	NA	NA	1111.25	-4.0%	184.0%	72.0%	185.0%
									
misc	TEM	2026-01-22	NA	NA	11.00	85.0%	10.0%	-26.0%	5.0%
									
TMT - mag7	AAPL	2026-01-22	25.62	33.29	8.77	8.0%	11.0%	9.0%	86.0%
TMT - mag7	MSFT	2026-01-22	19.18	32.10	11.41	18.0%	13.0%	34.0%	12.0%
TMT - mag7	GOOG	2026-01-22	26.78	32.64	10.35	16.0%	39.0%	25.0%	33.0%
TMT - mag7	AMZN	2026-01-22	18.07	33.11	3.62	13.0%	56.0%	19.0%	38.0%
TMT - mag7	META	2026-01-22	16.44	28.62	8.62	26.0%	22.0%	19.0%	-83.0%
									
TMT - tsla	TSLA	2026-01-22	134.95	300.25	15.63	12.0%	-30.0%	-15.0%	-37.0%
									
TMT - e-commerce	UI	2026-01-22	35.83	43.01	12.34	33.0%	63.0%	52.0%	62.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-01-22	27.96	10.59	3.46	20.0%	-5.0%	43.0%	154.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-01-22	61.37	105.35	7.08	27.0%	60.0%	82.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-01-22	12.14	21.10	2.78	10.0%	18.0%	24.0%	20.0%
									
TMT - cons disc - E-comm	SHOP	2026-01-22	100.90	100.80	16.75	32.0%	-64.0%	43.0%	-68.0%
TMT - cons disc - E-comm	EBAY	2026-01-22	17.16	20.43	3.93	11.0%	-28.0%	-9.0%	0.0%
TMT - cons disc - E-comm	ETSY	2026-01-22	14.91	43.69	2.16	2.0%	25.0%	-6.0%	32.0%
TMT - cons disc - E-comm	SE	2026-01-22	30.61	52.53	3.19	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-01-22	29.12	94.42	1.08	18.0%	25.0%	29.0%	36.0%
									
TMT - cons disc - entertain	NFLX	2026-01-22	12.87	33.06	8.45	18.0%	30.0%	21.0%	29.0%
TMT - cons disc - entertain	DIS	2026-01-22	13.04	16.52	2.15	0.0%	116.0%	3.0%	185.0%
TMT - cons disc - entertain	SPOT	2026-01-22	41.10	77.80	5.50	14.0%	121.0%	33.0%	219.0%
									
TMT - cons disc - social	RBLX	2026-01-22	NA	NA	11.75	48.0%	7.0%	15.0%	7.0%
TMT - cons disc - social	RDDT	2026-01-22	137.83	118.16	21.35	68.0%	438.0%	1216.0%	445.0%
TMT - cons disc - social	PINS	2026-01-22	48.65	8.89	4.27	17.0%	193.0%	-13512.0%	201.0%
TMT - cons disc - social	SNAP	2026-01-22	NA	NA	2.28	10.0%	-29.0%	-36.0%	-32.0%
TMT - cons disc - social	MTCH	2026-01-22	11.25	14.67	2.14	2.0%	9.0%	-12.0%	18.0%
									
TMT - cons disc - adtech	APP	2026-01-22	46.54	65.78	31.95	17.0%	118.0%	76.0%	92.0%
TMT - cons disc - adtech	TTD	2026-01-22	26.33	42.01	6.38	18.0%	41.0%	50.0%	23.0%
TMT - cons disc - adtech	ROKU	2026-01-22	64.89	NA	3.49	14.0%	-879.0%	50.0%	-375.0%
TMT - cons disc - adtech	U	2026-01-22	NA	NA	10.00	5.0%	0.0%	-232.0%	1.0%
									
TMT - cons disc - edu	DUOL	2026-01-22	48.28	19.54	7.35	41.0%	83.0%	155.0%	1151.0%
TMT - cons disc - edu	COUR	2026-01-22	NA	NA	1.47	10.0%	-36.0%	-47.0%	-37.0%
									
TMT - cons disc - realestate	RKT	2026-01-22	72.57	270.78	11.10	39.0%	-63.0%	N/A	463.0%
TMT - cons disc - realestate	Z	2026-01-22	77.66	NA	6.67	16.0%	-160.0%	185.0%	-150.0%
									
TMT - cons disc - misc	IOT	2026-01-22	237.12	NA	12.17	29.0%	-124.0%	-653.0%	-121.0%
									
