sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-03-01	NA	NA	90.57	2.0%	1601.0%	-31.0%	1781.0%
crypto	BMNR	2026-03-01	NA	NA	1200.74	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-03-01	NA	NA	7.14	77.0%	1252.0%	629.0%	2912.0%
crypto	DJT	2026-03-01	NA	NA	804.70	1.0%	1508.0%	0.0%	1508.0%
									
misc	TEM	2026-03-01	NA	NA	7.45	83.0%	450.0%	-17.0%	316.0%
									
TMT - mag7	AAPL	2026-03-01	25.52	33.42	8.90	16.0%	20.0%	18.0%	16.0%
TMT - mag7	MSFT	2026-03-01	15.97	24.57	9.55	17.0%	64.0%	23.0%	60.0%
TMT - mag7	GOOG	2026-03-01	24.10	28.82	9.35	18.0%	21.0%	20.0%	30.0%
TMT - mag7	AMZN	2026-03-01	15.30	29.28	3.14	14.0%	19.0%	23.0%	6.0%
TMT - mag7	META	2026-03-01	16.12	27.59	8.16	24.0%	8.0%	8.0%	9.0%
									
TMT - tsla	TSLA	2026-03-01	134.71	374.08	15.93	-3.0%	-57.0%	4.0%	-64.0%
									
TMT - e-commerce	UI	2026-03-01	43.46	52.27	15.62	36.0%	74.0%	62.0%	71.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-03-01	23.13	15.97	2.98	20.0%	-68.0%	44.0%	-96.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-03-01	46.73	82.99	5.59	38.0%	26.0%	81.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-03-01	12.70	23.59	2.63	12.0%	-34.0%	16.0%	-47.0%
									
TMT - cons disc - E-comm	SHOP	2026-03-01	79.01	128.90	13.62	31.0%	-37.0%	36.0%	-43.0%
TMT - cons disc - E-comm	EBAY	2026-03-01	16.21	20.92	3.64	15.0%	1.0%	12.0%	-22.0%
TMT - cons disc - E-comm	ETSY	2026-03-01	14.48	40.44	1.83	3.0%	-23.0%	-25.0%	-15.0%
TMT - cons disc - E-comm	SE	2026-03-01	26.58	46.38	2.82	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-03-01	32.59	170.21	1.01	11.0%	-92.0%	-52.0%	-117.0%
									
TMT - cons disc - entertain	NFLX	2026-03-01	13.73	38.08	8.98	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-03-01	12.40	15.62	1.96	6.0%	1.0%	0.0%	-6.0%
TMT - cons disc - entertain	SPOT	2026-03-01	37.27	53.37	5.46	17.0%	123.0%	56.0%	249.0%
									
TMT - cons disc - social	RBLX	2026-03-01	NA	NA	9.95	43.0%	45.0%	53.0%	44.0%
TMT - cons disc - social	RDDT	2026-03-01	55.47	54.78	12.65	70.0%	264.0%	314.0%	254.0%
TMT - cons disc - social	PINS	2026-03-01	26.63	28.05	2.70	14.0%	18.0%	15.0%	-85.0%
TMT - cons disc - social	SNAP	2026-03-01	NA	NA	1.48	10.0%	166.0%	633.0%	397.0%
TMT - cons disc - social	MTCH	2026-03-01	10.64	13.23	2.11	2.0%	29.0%	20.0%	32.0%
									
TMT - cons disc - adtech	APP	2026-03-01	33.60	46.02	25.27	21.0%	143.0%	75.0%	84.0%
TMT - cons disc - adtech	TTD	2026-03-01	15.11	26.34	3.98	14.0%	22.0%	32.0%	3.0%
TMT - cons disc - adtech	ROKU	2026-03-01	39.20	171.24	3.06	16.0%	-455.0%	229.0%	-326.0%
TMT - cons disc - adtech	U	2026-03-01	875.36	NA	4.27	10.0%	-19.0%	-34140.0%	-27.0%
									
TMT - cons disc - edu	DUOL	2026-03-01	23.26	11.99	4.49	35.0%	144.0%	170.0%	202.0%
TMT - cons disc - edu	COUR	2026-03-01	NA	NA	1.42	10.0%	4.0%	-15.0%	24.0%
									
TMT - cons disc - realestate	RKT	2026-03-01	91.36	NA	7.45	133.0%	-75.0%	N/A	101.0%
TMT - cons disc - realestate	Z	2026-03-01	37.82	495.23	4.15	18.0%	-106.0%		-106.0%
									
TMT - cons disc - misc	IOT	2026-03-01	212.71	NA	10.97	29.0%	-124.0%	-653.0%	-121.0%
									
TMT - cybersecurity	PANW	2026-03-01	54.82	82.40	12.28	15.0%	69.0%	36.0%	62.0%
TMT - cybersecurity	CRWD	2026-03-01	46789.10	NA	20.54	22.0%	121.0%	2.0%	102.0%
TMT - cybersecurity	FTNT	2026-03-01	25.13	32.57	8.60	15.0%	5.0%	9.0%	-4.0%
TMT - cybersecurity	ZS	2026-03-01	1276.79	NA	7.88	26.0%	29.0%	-10.0%	344.0%
TMT - cybersecurity	NET	2026-03-01	1058.97	NA	27.97	34.0%	-3.0%	-76.0%	-6.0%
TMT - cybersecurity	OKTA	2026-03-01	49.58	66.56	4.52	12.0%	100.0%	683.0%	169.0%
TMT - cybersecurity	RBRK	2026-03-01	NA	NA	8.69	48.0%	-53.0%	-44.0%	-51.0%
TMT - cybersecurity	CVLT	2026-03-01	33.16	44.09	3.26	19.0%	79.0%	56.0%	61.0%
TMT - cybersecurity	NTNX	2026-03-01	36.54	41.77	3.85	10.0%	50.0%	15.0%	83.0%
									
TMT - Data/Infra/Observability	SNOW	2026-03-01	NA	NA	12.30	30.0%	-9.0%	-24.0%	-5.0%
TMT - Data/Infra/Observability	MDB	2026-03-01	NA	NA	11.54	19.0%	-119.0%	-58.0%	-79.0%
TMT - Data/Infra/Observability	DDOG	2026-03-01	464.61	377.99	11.52	29.0%	-1.0%	14.0%	2.0%
TMT - Data/Infra/Observability	DT	2026-03-01	34.88	59.18	5.55	18.0%	48.0%	29.0%	-89.0%
									
TMT - devops	GTLB	2026-03-01	NA	NA	4.89	25.0%	-37.0%	-72.0%	-128.0%
TMT - devops	FROG	2026-03-01	NA	NA	9.03	25.0%	-27.0%	6.0%	-34.0%
TMT - devops	DBX	2026-03-01	9.87	13.46	2.31	-1.0%	55.0%	58.0%	6.0%
									
data center	NOK	2026-03-01	13.78	58.84	1.91	12.0%	-31.0%	-2.0%	-27.0%
									
data center - hyper scaler	ORCL	2026-03-01	19.92	27.33	6.85	14.0%	86.0%	25.0%	95.0%
data center - hyper scaler	CRWV	2026-03-01	27.94	NA	8.08	110.0%	1492.0%	53.0%	460.0%
data center - hyper scaler	NBIS	2026-03-01	NA	NA	42.97	501.0%	72.0%	-53.0%	83.0%
data center - hyper scaler	IREN	2026-03-01	112.66	46.92	27.88	60.0%	-1655.0%	-66.0%	-929.0%
data center - hyper scaler	WULF	2026-03-01	NA	NA	40.31	2.0%	136.0%	198.0%	333.0%
data center - hyper scaler	CIFR	2026-03-01	228.37	NA	28.22	41.0%	-4851.0%	410.0%	-4293.0%
									
data center - semi chip	NVDA	2026-03-01	31.93	36.15	19.94	73.0%	100.0%	84.0%	94.0%
data center - semi chip	MU	2026-03-01	20.76	39.20	10.97	57.0%	182.0%	97.0%	180.0%
data center - semi chip	AVGO	2026-03-01	44.82	67.12	23.71	28.0%	83.0%	30.0%	97.0%
data center - semi chip	AMD	2026-03-01	47.72	75.70	9.42	34.0%	133.0%	33.0%	213.0%
									
data center - semi equip	ASML	2026-03-01	39.60	51.91	15.21	14.0%	12.0%	12.0%	15.0%
data center - semi equip	LRCX	2026-03-01	39.54	47.94	14.21	22.0%	36.0%	34.0%	34.0%
data center - semi equip	AMAT	2026-03-01	33.24	38.13	10.47	-2.0%	10.0%	-2.0%	71.0%
data center - semi equip	KLAC	2026-03-01	34.56	44.29	15.69	7.0%	37.0%	4.0%	39.0%
									
data center - semi equip for test	TER	2026-03-01	61.09	91.88	15.71	44.0%	84.0%	81.0%	76.0%
data center - semi equip for test	COHU	2026-03-01	NA	NA	3.13	30.0%	-29.0%	-65.0%	5.0%
