sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-02-23,NA,NA,74.49,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-02-23,NA,NA,1215.92,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-02-23,NA,NA,5.97,66.0%,78.0%,30.0%,
crypto,DJT,2026-02-23,NA,NA,748.35,-4.0%,184.0%,72.0%,185.0%
,,,,,,,,,
misc,TEM,2026-02-23,NA,NA,9.22,85.0%,10.0%,-26.0%,5.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-02-23,25.71,33.68,8.97,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-02-23,15.64,24.06,9.35,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-02-23,24.11,28.84,9.36,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-02-23,14.96,28.62,3.07,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-02-23,15.85,27.13,8.02,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-02-23,133.79,371.59,15.82,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-02-23,41.15,49.49,14.79,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-02-23,21.74,14.98,2.80,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-02-23,43.50,77.43,5.22,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-02-23,12.90,22.66,2.54,12.0%,-34.0%,-6.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-02-23,76.67,125.22,13.24,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-02-23,15.14,19.41,3.38,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-02-23,13.96,38.59,1.75,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-02-23,27.36,47.58,2.89,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-02-23,26.98,87.93,1.01,18.0%,25.0%,29.0%,36.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-02-23,10.90,30.08,7.09,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-02-23,12.25,15.38,1.93,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-02-23,33.55,48.49,4.96,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-02-23,NA,NA,9.05,43.0%,45.0%,53.0%,44.0%
TMT - cons disc - social,RDDT,2026-02-23,54.07,53.53,12.36,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-02-23,25.78,27.33,2.63,14.0%,18.0%,15.0%,-85.0%
TMT - cons disc - social,SNAP,2026-02-23,NA,NA,1.40,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-02-23,10.46,12.94,2.09,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-02-23,29.45,40.29,22.12,21.0%,143.0%,75.0%,84.0%
TMT - cons disc - adtech,TTD,2026-02-23,16.70,27.58,4.19,18.0%,41.0%,50.0%,23.0%
TMT - cons disc - adtech,ROKU,2026-02-23,32.84,146.89,2.63,16.0%,-455.0%,229.0%,-326.0%
TMT - cons disc - adtech,U,2026-02-23,825.85,NA,4.01,10.0%,-19.0%,-34140.0%,-27.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-02-23,30.82,13.49,5.08,41.0%,83.0%,155.0%,1151.0%
TMT - cons disc - edu,COUR,2026-02-23,NA,NA,1.33,10.0%,4.0%,61.0%,24.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-02-23,60.86,215.24,8.83,39.0%,-63.0%,N/A,463.0%
TMT - cons disc - realestate,Z,2026-02-23,36.14,475.36,3.98,18.0%,-106.0%,,-106.0%
,,,,,,,,,
TMT - cons disc - misc,IOT,2026-02-23,180.62,NA,9.38,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,,
TMT - cybersecurity,PANW,2026-02-23,52.99,79.76,11.89,15.0%,69.0%,36.0%,62.0%
TMT - cybersecurity,CRWD,2026-02-23,43946.42,NA,19.35,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-02-23,20.93,31.16,8.27,15.0%,5.0%,64.0%,-4.0%
TMT - cybersecurity,ZS,2026-02-23,1301.76,NA,8.06,26.0%,90.0%,-240.0%,-4.0%
TMT - cybersecurity,NET,2026-02-23,603.25,NA,25.85,34.0%,-3.0%,52.0%,-6.0%
TMT - cybersecurity,OKTA,2026-02-23,47.15,63.82,4.34,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-02-23,NA,NA,7.90,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-02-23,33.14,44.06,3.26,19.0%,79.0%,56.0%,61.0%
TMT - cybersecurity,NTNX,2026-02-23,33.80,49.91,3.86,13.0%,78.0%,29.0%,107.0%
,,,,,,,,,
TMT - Data/Infra/Observability,SNOW,2026-02-23,NA,NA,12.29,29.0%,-12.0%,-15.0%,-9.0%
TMT - Data/Infra/Observability,MDB,2026-02-23,NA,NA,10.73,19.0%,-119.0%,-58.0%,-79.0%
TMT - Data/Infra/Observability,DDOG,2026-02-23,422.41,346.44,10.56,29.0%,-1.0%,14.0%,2.0%
TMT - Data/Infra/Observability,DT,2026-02-23,32.42,55.42,5.19,18.0%,48.0%,29.0%,-89.0%
,,,,,,,,,
TMT - devops,GTLB,2026-02-23,NA,NA,4.47,25.0%,-37.0%,-72.0%,-128.0%
TMT - devops,FROG,2026-02-23,NA,NA,7.82,25.0%,-27.0%,6.0%,-34.0%
TMT - devops,DBX,2026-02-23,10.22,13.19,2.43,-1.0%,55.0%,58.0%,6.0%
,,,,,,,,,
data center,NOK,2026-02-23,13.50,57.70,1.87,12.0%,-31.0%,-2.0%,-27.0%
,,,,,,,,,
data center - hyper scaler,ORCL,2026-02-23,19.48,26.56,6.66,14.0%,86.0%,25.0%,95.0%
data center - hyper scaler,CRWV,2026-02-23,29.52,NA,11.00,134.0%,-26.0%,84.0%,-72.0%
data center - hyper scaler,NBIS,2026-02-23,NA,NA,47.41,501.0%,72.0%,-53.0%,83.0%
data center - hyper scaler,IREN,2026-02-23,116.43,48.53,28.84,60.0%,-1655.0%,-66.0%,-929.0%
data center - hyper scaler,WULF,2026-02-23,NA,NA,39.17,87.0%,2170.0%,-3378.0%,1876.0%
data center - hyper scaler,CIFR,2026-02-23,156.76,NA,29.13,198.0%,-96.0%,-260.0%,-96.0%
