sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-04-02,NA,NA,86.69,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-04-02,NA,NA,1228.93,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-04-02,NA,NA,8.00,77.0%,1252.0%,655.0%,2912.0%
crypto,DJT,2026-04-02,NA,NA,693.71,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-04-02,NA,NA,6.65,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-04-02,24.68,32.32,8.61,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-04-02,15.15,23.31,9.06,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-04-02,22.84,27.22,8.87,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-04-02,15.26,29.20,3.14,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-04-02,14.29,24.45,7.23,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-04-02,120.55,335.53,14.29,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-04-02,47.76,57.41,17.16,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-04-02,21.98,15.15,2.83,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-04-02,41.11,73.35,4.94,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-04-02,12.03,24.47,2.50,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-04-02,77.26,126.15,13.33,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-04-02,16.71,21.63,3.77,15.0%,1.0%,12.0%,-22.0%
