sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-04-08,NA,NA,92.53,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-04-08,NA,NA,1348.73,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-04-08,NA,NA,8.46,77.0%,1252.0%,655.0%,2912.0%
crypto,DJT,2026-04-08,NA,NA,714.01,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-04-08,NA,NA,6.63,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-04-08,24.94,32.66,8.70,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-04-08,15.15,23.30,9.05,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-04-08,24.46,29.18,9.49,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-04-08,16.11,30.86,3.31,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-04-08,15.25,26.10,7.72,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-04-08,113.97,317.60,13.52,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-04-08,50.93,61.21,18.29,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-04-08,22.17,15.28,2.86,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-04-08,42.29,75.37,5.08,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-04-08,12.31,25.00,2.56,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-04-08,78.60,128.25,13.56,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-04-08,17.10,22.18,3.86,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-04-08,14.39,40.12,1.82,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-04-08,19.30,33.28,2.05,38.0%,90.0%,,67.0%
TMT - cons disc - E-comm,CPNG,2026-04-08,33.70,175.60,1.04,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-04-08,14.14,39.25,9.25,19.0%,30.0%,22.0%,29.0%
