sector	ticker	date	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
data center - hyper scaler	WULF	2026-01-16	NA	34.14	87.0%	2170.0%	-3378.0%	1876.0%
data center - hyper scaler	CIFR	2026-01-16	NA	35.58	198.0%	-96.0%	-260.0%	-96.0%
								
data center - semi chip	NVDA	2026-01-16	46.45	24.35	62.0%	70.0%	65.0%	65.0%
data center - semi chip	MU	2026-01-16	34.16	9.56	57.0%	182.0%	97.0%	180.0%
data center - semi chip	AVGO	2026-01-16	73.95	26.13	28.0%	83.0%	30.0%	97.0%
data center - semi chip	AMD	2026-01-16	114.67	11.79	36.0%	78.0%	30.0%	61.0%
								
data center - semi equip	ASML	2026-01-16	50.83	14.81	7.0%	8.0%	9.0%	9.0%
data center - semi equip	LRCX	2026-01-16	48.96	14.25	28.0%	44.0%	42.0%	41.0%
data center - semi equip	AMAT	2026-01-16	37.64	9.13	-3.0%	20.0%	-7.0%	10.0%
data center - semi equip	KLAC	2026-01-16	49.38	16.51	13.0%	21.0%	13.0%	19.0%
								
data center - package	TSM	2026-01-16	32.10	14.48	25.0%	38.0%	27.0%	41.0%
data center - package	ASX	2026-01-16	38.68	2.12	14.0%	25.0%	23.0%	21.0%
data center - package	AMKR	2026-01-16	38.63	1.84	7.0%	9.0%	8.0%	3.0%
								
data center - test	TER	2026-01-16	83.31	12.54	4.0%	-7.0%	-3.0%	-18.0%
								
data center - PCB	TTMI	2026-01-16	80.67	3.76	22.0%	147.0%	22.0%	271.0%
								
data center - rack manufacture	CLS	2026-01-16	50.90	3.20	28.0%	151.0%	45.0%	199.0%
								
data center - router	ANET	2026-01-16	49.42	19.36	27.0%	22.0%	25.0%	14.0%
data center - router	MRVL	2026-01-16	28.19	8.76	37.0%	-395.0%	-22877.0%	-381.0%
								
data center - optics	CRDO	2026-01-16	131.35	34.14	272.0%	-2230.0%	-2601.0%	-2058.0%
data center - optics	MTSI	2026-01-16	NA	17.07	30.0%	72.0%	25.0%	53.0%
data center - optics	SMTC	2026-01-16	256.18	7.02	13.0%	-225.0%	45.0%	-62.0%
data center - optics	LITE	2026-01-16	217.74	12.54	58.0%	-107.0%	1279.0%	-105.0%
data center - optics	COHR	2026-01-16	275.68	4.97	17.0%	1024.0%	20.0%	-3342.0%
data center - optics	FN	2026-01-16	50.91	4.92	22.0%	26.0%	18.0%	24.0%
data center - optics	CIEN	2026-01-16	286.21	7.18	26.0%	-96.0%	35.0%	-56.0%
data center - optics	CSCO	2026-01-16	28.35	5.15	8.0%	50.0%	7.0%	5.0%
data center - optics	ADI	2026-01-16	65.78	13.36	26.0%	72.0%	32.0%	65.0%
data center - optics	APH	2026-01-16	51.26	8.97	53.0%	112.0%	81.0%	106.0%
data center - optics	GLW	2026-01-16	59.73	5.41	21.0%	-698.0%	20.0%	-468.0%
								
data center - NAND/SSD	STX	2026-01-16	42.05	7.32	21.0%	94.0%	66.0%	80.0%
data center - NAND/SSD	WDC	2026-01-16	32.40	6.33	-31.0%	113.0%	-11.0%	140.0%
data center - NAND/SSD	SNDK	2026-01-16	NA	7.74	23.0%	-54.0%	-38.0%	-47.0%
								
data center - server	DELL	2026-01-16	16.10	0.77	11.0%	39.0%	15.0%	37.0%
data center - server	SMCI	2026-01-16	26.25	0.93	-15.0%	-58.0%	-61.0%	-60.0%
								
data center - 板级DC-DC(最贴近 GPU/CPU)	MPWR	2026-01-16	26.38	18.60	19.0%	18.0%	20.0%	23.0%
								
data center - 服务器电源(PowerShelf/Front-End PSU/48V架构)	AEIS	2026-01-16	66.60	5.54	24.0%	-459.0%	97.0%	-410.0%
								
