sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-02-27	NA	NA	90.32	2.0%	1601.0%	-31.0%	1781.0%
crypto	BMNR	2026-02-27	NA	NA	1202.95	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-02-27	NA	NA	7.16	77.0%	1252.0%	629.0%	2912.0%
crypto	DJT	2026-02-27	NA	NA	805.83	-4.0%	184.0%	72.0%	185.0%
									
misc	TEM	2026-02-27	NA	NA	7.36	83.0%	450.0%	-17.0%	316.0%
									
TMT - mag7	AAPL	2026-02-27	25.59	33.52	8.93	16.0%	20.0%	18.0%	16.0%
TMT - mag7	MSFT	2026-02-27	16.00	24.62	9.56	17.0%	64.0%	23.0%	60.0%
TMT - mag7	GOOG	2026-02-27	23.78	28.45	9.23	18.0%	21.0%	20.0%	30.0%
TMT - mag7	AMZN	2026-02-27	15.21	29.09	3.12	14.0%	19.0%	23.0%	6.0%
TMT - mag7	META	2026-02-27	15.92	27.25	8.06	24.0%	8.0%	8.0%	9.0%
									
TMT - tsla	TSLA	2026-02-27	133.88	371.83	15.83	-3.0%	-57.0%	4.0%	-64.0%
									
TMT - e-commerce	UI	2026-02-27	43.09	51.82	15.49	36.0%	74.0%	62.0%	71.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-02-27	22.90	15.81	2.95	20.0%	-68.0%	44.0%	-96.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-02-27	46.60	82.75	5.57	38.0%	26.0%	81.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-02-27	13.40	23.46	2.63	12.0%	-34.0%	-6.0%	-47.0%
									
TMT - cons disc - E-comm	SHOP	2026-02-27	78.43	127.98	13.53	31.0%	-37.0%	36.0%	-43.0%
TMT - cons disc - E-comm	EBAY	2026-02-27	16.14	20.82	3.63	15.0%	1.0%	12.0%	-22.0%
TMT - cons disc - E-comm	ETSY	2026-02-27	14.47	40.42	1.83	3.0%	-23.0%	-25.0%	-15.0%
TMT - cons disc - E-comm	SE	2026-02-27	26.61	46.43	2.82	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-02-27	27.56	89.71	1.03	18.0%	25.0%	29.0%	36.0%
									
TMT - cons disc - entertain	NFLX	2026-02-27	13.72	38.05	8.97	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-02-27	12.40	15.62	1.96	6.0%	1.0%	0.0%	-6.0%
TMT - cons disc - entertain	SPOT	2026-02-27	37.13	53.17	5.44	17.0%	123.0%	56.0%	249.0%
									
TMT - cons disc - social	RBLX	2026-02-27	NA	NA	9.96	43.0%	45.0%	53.0%	44.0%
TMT - cons disc - social	RDDT	2026-02-27	54.80	54.19	12.51	70.0%	264.0%	314.0%	254.0%
TMT - cons disc - social	PINS	2026-02-27	26.58	28.01	2.69	14.0%	18.0%	15.0%	-85.0%
TMT - cons disc - social	SNAP	2026-02-27	NA	NA	1.47	10.0%	166.0%	633.0%	397.0%
TMT - cons disc - social	MTCH	2026-02-27	10.60	13.19	2.13	2.0%	29.0%	20.0%	32.0%
									
TMT - cons disc - adtech	APP	2026-02-27	33.31	45.60	25.04	21.0%	143.0%	75.0%	84.0%
TMT - cons disc - adtech	TTD	2026-02-27	15.12	26.36	3.98	14.0%	22.0%	32.0%	3.0%
TMT - cons disc - adtech	ROKU	2026-02-27	38.85	169.90	3.04	16.0%	-455.0%	229.0%	-326.0%
TMT - cons disc - adtech	U	2026-02-27	873.11	NA	4.26	10.0%	-19.0%	-34140.0%	-27.0%
									
TMT - cons disc - edu	DUOL	2026-02-27	28.48	12.69	4.77	41.0%	83.0%	155.0%	1151.0%
TMT - cons disc - edu	COUR	2026-02-27	NA	NA	1.41	10.0%	4.0%	-15.0%	24.0%
									
TMT - cons disc - realestate	RKT	2026-02-27	63.90	229.66	9.42	39.0%	-63.0%	N/A	463.0%
TMT - cons disc - realestate	Z	2026-02-27	38.18	500.22	4.18	18.0%	-106.0%		-106.0%
									
TMT - cons disc - misc	IOT	2026-02-27	210.77	NA	10.87	29.0%	-124.0%	-653.0%	-121.0%
									
TMT - cybersecurity	PANW	2026-02-27	54.45	81.87	12.20	15.0%	69.0%	36.0%	62.0%
TMT - cybersecurity	CRWD	2026-02-27	46347.92	NA	20.36	22.0%	121.0%	2.0%	102.0%
TMT - cybersecurity	FTNT	2026-02-27	25.01	32.42	8.56	15.0%	5.0%	9.0%	-4.0%
TMT - cybersecurity	ZS	2026-02-27	1318.08	NA	8.16	26.0%	90.0%	-240.0%	-4.0%
TMT - cybersecurity	NET	2026-02-27	642.79	NA	27.52	34.0%	-3.0%	52.0%	-6.0%
TMT - cybersecurity	OKTA	2026-02-27	49.57	66.54	4.52	12.0%	100.0%	683.0%	169.0%
TMT - cybersecurity	RBRK	2026-02-27	NA	NA	8.64	48.0%	-53.0%	-44.0%	-51.0%
TMT - cybersecurity	CVLT	2026-02-27	33.24	44.20	3.27	19.0%	79.0%	56.0%	61.0%
TMT - cybersecurity	NTNX	2026-02-27	36.73	41.98	3.87	10.0%	50.0%	15.0%	83.0%
									
TMT - Data/Infra/Observability	SNOW	2026-02-27	NA	NA	12.15	30.0%	-9.0%	-24.0%	-5.0%
TMT - Data/Infra/Observability	MDB	2026-02-27	NA	NA	11.35	19.0%	-119.0%	-58.0%	-79.0%
TMT - Data/Infra/Observability	DDOG	2026-02-27	462.45	376.37	11.47	29.0%	-1.0%	14.0%	2.0%
TMT - Data/Infra/Observability	DT	2026-02-27	35.05	59.42	5.57	18.0%	48.0%	29.0%	-89.0%
									
TMT - devops	GTLB	2026-02-27	NA	NA	4.91	25.0%	-37.0%	-72.0%	-128.0%
TMT - devops	FROG	2026-02-27	NA	NA	8.89	25.0%	-27.0%	6.0%	-34.0%
TMT - devops	DBX	2026-02-27	9.83	13.39	2.30	-1.0%	55.0%	58.0%	6.0%
									
data center	NOK	2026-02-27	13.74	58.65	1.90	12.0%	-31.0%	-2.0%	-27.0%
									
data center - hyper scaler	ORCL	2026-02-27	19.80	27.12	6.80	14.0%	86.0%	25.0%	95.0%
data center - hyper scaler	CRWV	2026-02-27	26.58	NA	9.52	134.0%	-26.0%	84.0%	-72.0%
data center - hyper scaler	NBIS	2026-02-27	NA	NA	42.48	501.0%	72.0%	-53.0%	83.0%
data center - hyper scaler	IREN	2026-02-27	111.37	46.36	27.55	60.0%	-1655.0%	-66.0%	-929.0%
data center - hyper scaler	WULF	2026-02-27	NA	NA	40.72	87.0%	2170.0%	-3378.0%	1876.0%
data center - hyper scaler	CIFR	2026-02-27	227.89	NA	28.16	41.0%	-4851.0%	410.0%	-4293.0%
									
data center - semi chip	NVDA	2026-02-27	32.08	36.31	20.03	73.0%	100.0%	84.0%	94.0%
data center - semi chip	MU	2026-02-27	20.66	39.01	10.92	57.0%	182.0%	97.0%	180.0%
data center - semi chip	AVGO	2026-02-27	44.73	66.98	23.66	28.0%	83.0%	30.0%	97.0%
data center - semi chip	AMD	2026-02-27	47.57	75.46	9.39	34.0%	133.0%	33.0%	213.0%
									
data center - semi equip	ASML	2026-02-27	39.57	51.88	15.20	14.0%	12.0%	12.0%	15.0%
data center - semi equip	LRCX	2026-02-27	40.16	48.68	14.43	22.0%	36.0%	34.0%	34.0%
data center - semi equip	AMAT	2026-02-27	33.46	38.38	10.54	-2.0%	10.0%	-2.0%	71.0%
data center - semi equip	KLAC	2026-02-27	34.76	44.55	15.78	7.0%	37.0%	4.0%	39.0%
									
data center - semi equip for test	TER	2026-02-27	60.74	91.36	15.62	44.0%	84.0%	81.0%	76.0%
data center - semi equip for test	COHU	2026-02-27	NA	NA	3.12	30.0%	-29.0%	-65.0%	5.0%
data center - semi equip for test	KLIC	2026-02-27	NA	NA	5.31	20.0%	-76.0%	52.0%	-79.0%
									
data center - package	TSM	2026-02-27	22.23	35.08	15.83	25.0%	38.0%	27.0%	41.0%
data center - package	ASX	2026-02-27	15.57	41.30	2.56	14.0%	63.0%	39.0%	63.0%
data center - package	AMKR	2026-02-27	10.32	31.55	1.75	16.0%	34.0%	24.0%	63.0%
									
