sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-04-16,NA,NA,107.33,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-04-16,NA,NA,717.95,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-04-16,NA,NA,9.66,77.0%,1252.0%,655.0%,2912.0%
crypto,DJT,2026-04-16,NA,NA,746.72,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-04-16,NA,NA,7.62,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-04-16,25.49,33.39,8.89,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-04-16,17.07,26.29,10.21,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-04-16,25.89,30.80,10.03,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-04-16,18.12,34.78,3.73,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-04-16,16.79,28.74,8.50,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-04-16,130.27,361.99,15.41,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-04-16,59.00,70.87,21.18,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-04-16,23.24,16.22,3.00,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-04-16,47.74,84.75,5.71,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-04-16,12.96,26.22,2.68,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-04-16,83.47,135.93,14.37,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-04-16,18.05,23.51,4.09,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-04-16,15.49,44.08,2.00,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-04-16,20.55,35.01,2.15,38.0%,90.0%,,67.0%
TMT - cons disc - E-comm,CPNG,2026-04-16,37.05,192.19,1.14,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-04-16,15.30,42.53,10.02,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-04-16,12.23,15.36,1.93,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-04-16,38.83,55.41,5.66,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-04-16,NA,NA,8.79,43.0%,45.0%,53.0%,44.0%
TMT - cons disc - social,RDDT,2026-04-16,62.30,60.94,14.07,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-04-16,31.02,32.98,3.06,14.0%,18.0%,15.0%,-85.0%
TMT - cons disc - social,SNAP,2026-04-16,NA,NA,1.72,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-04-16,11.39,14.54,2.32,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-04-16,36.02,49.37,27.10,21.0%,143.0%,75.0%,84.0%
TMT - cons disc - adtech,TTD,2026-04-16,14.25,25.35,3.77,14.0%,22.0%,32.0%,3.0%
TMT - cons disc - adtech,ROKU,2026-04-16,45.11,193.89,3.47,16.0%,-455.0%,229.0%,-326.0%
TMT - cons disc - adtech,U,2026-04-16,1231.03,NA,6.12,10.0%,-19.0%,-34140.0%,-27.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-04-16,24.62,12.31,4.69,35.0%,144.0%,170.0%,202.0%
TMT - cons disc - edu,COUR,2026-04-16,NA,NA,1.44,10.0%,4.0%,-15.0%,24.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-04-16,69.16,NA,6.44,133.0%,-75.0%,N/A,101.0%
TMT - cons disc - realestate,Z,2026-04-16,37.36,489.83,4.10,18.0%,-106.0%,,-106.0%
,,,,,,,,,
TMT - cons disc - misc,IOT,2026-04-16,148.80,NA,10.66,28.0%,-419.0%,196.0%,-297.0%
,,,,,,,,,
TMT - cybersecurity,PANW,2026-04-16,61.41,91.98,13.71,15.0%,69.0%,36.0%,62.0%
TMT - cybersecurity,CRWD,2026-04-16,1027.94,NA,21.96,23.0%,-180.0%,-2446.0%,-142.0%
TMT - cybersecurity,FTNT,2026-04-16,26.15,33.83,8.93,15.0%,5.0%,9.0%,-4.0%
TMT - cybersecurity,ZS,2026-04-16,1153.62,NA,7.17,26.0%,29.0%,-10.0%,344.0%
TMT - cybersecurity,NET,2026-04-16,814.28,NA,32.06,34.0%,-3.0%,45.0%,-6.0%
TMT - cybersecurity,OKTA,2026-04-16,43.32,54.75,4.34,12.0%,126.0%,58.0%,174.0%
TMT - cybersecurity,RBRK,2026-04-16,NA,NA,8.02,46.0%,-38.0%,-34.0%,-24.0%
TMT - cybersecurity,CVLT,2026-04-16,37.20,49.30,3.65,19.0%,79.0%,56.0%,61.0%
TMT - cybersecurity,NTNX,2026-04-16,34.24,43.14,3.89,10.0%,50.0%,15.0%,83.0%
,,,,,,,,,
TMT - Data/Infra/Observability,SNOW,2026-04-16,NA,NA,10.60,30.0%,-9.0%,-24.0%,-5.0%
TMT - Data/Infra/Observability,MDB,2026-04-16,NA,NA,8.16,27.0%,367.0%,-172.0%,-2.0%
TMT - Data/Infra/Observability,DDOG,2026-04-16,516.33,416.54,12.70,29.0%,-1.0%,14.0%,2.0%
TMT - Data/Infra/Observability,DT,2026-04-16,34.52,58.62,5.49,18.0%,48.0%,29.0%,-89.0%
,,,,,,,,,
TMT - devops,GTLB,2026-04-16,NA,NA,3.89,23.0%,-134.0%,-98.0%,-124.0%
TMT - devops,FROG,2026-04-16,NA,NA,9.93,25.0%,-27.0%,6.0%,-34.0%
TMT - devops,DBX,2026-04-16,9.78,12.97,2.28,-1.0%,55.0%,58.0%,6.0%
,,,,,,,,,
data center,NOK,2026-04-16,18.60,78.32,2.54,12.0%,-31.0%,-2.0%,-27.0%
,,,,,,,,,
data center - hyper scaler,ORCL,2026-04-16,22.26,32.03,8.01,22.0%,28.0%,37.0%,26.0%
data center - hyper scaler,CRWV,2026-04-16,36.76,NA,12.22,110.0%,1492.0%,53.0%,460.0%
data center - hyper scaler,NBIS,2026-04-16,NA,323.72,77.75,501.0%,72.0%,-53.0%,83.0%
data center - hyper scaler,IREN,2026-04-16,130.42,54.53,32.40,60.0%,-1655.0%,-66.0%,-929.0%
data center - hyper scaler,WULF,2026-04-16,NA,NA,48.18,2.0%,136.0%,198.0%,333.0%
data center - hyper scaler,CIFR,2026-04-16,251.85,NA,31.31,41.0%,-4851.0%,410.0%,-4293.0%
,,,,,,,,,
data center - semi chip,NVDA,2026-04-16,35.80,40.47,22.33,73.0%,100.0%,84.0%,94.0%
data center - semi chip,MU,2026-04-16,13.78,21.51,8.84,196.0%,819.0%,374.0%,771.0%
