sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
TMT - mag7,AAPL,2026-01-12,34.89,9.24,8.0%,11.0%,9.0%,86.0%
TMT - mag7,MSFT,2026-01-12,33.95,12.07,18.0%,13.0%,34.0%,12.0%
TMT - mag7,GOOG,2026-01-12,32.82,10.40,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-12,34.82,3.81,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-12,28.37,8.54,26.0%,22.0%,19.0%,-83.0%
TMT - mag7,TSLA,2026-01-12,299.99,15.61,12.0%,-30.0%,-15.0%,-37.0%
,,,,,,,,
TMT - e-commerce,UI,2026-01-12,44.38,12.74,33.0%,63.0%,52.0%,62.0%
TMT - e-commerce,SE,2026-01-12,56.28,3.42,38.0%,118.0%,112.0%,150.0%
TMT - e-commerce,CPNG,2026-01-12,104.92,1.20,18.0%,25.0%,29.0%,36.0%
,,,,,,,,
,,,,,,,,
TMT - consumer discretionary,UBER,2026-01-12,10.86,3.55,20.0%,-5.0%,43.0%,154.0%
TMT - consumer discretionary,DASH,2026-01-12,109.01,7.33,27.0%,60.0%,82.0%,51.0%
TMT - consumer discretionary,CART,2026-01-12,23.02,3.03,10.0%,18.0%,24.0%,20.0%
TMT - consumer discretionary,SHOP,2026-01-12,122.98,20.44,32.0%,-64.0%,43.0%,-68.0%
TMT - consumer discretionary,EBAY,2026-01-12,20.30,3.91,11.0%,-28.0%,-9.0%,0.0%
TMT - consumer discretionary,ETSY,2026-01-12,42.22,2.09,2.0%,25.0%,-6.0%,32.0%
TMT - consumer discretionary,NFLX,2026-01-12,37.35,9.43,19.0%,15.0%,12.0%,8.0%
TMT - consumer discretionary,DIS,2026-01-12,16.46,2.14,0.0%,116.0%,3.0%,185.0%
TMT - consumer discretionary,SPOT,2026-01-12,82.70,5.84,14.0%,121.0%,33.0%,219.0%
TMT - consumer discretionary,RBLX,2026-01-12,NA,12.06,48.0%,7.0%,15.0%,7.0%
TMT - consumer discretionary,RDDT,2026-01-12,134.40,24.28,68.0%,438.0%,1216.0%,445.0%
TMT - consumer discretionary,PINS,2026-01-12,9.29,4.47,17.0%,193.0%,-13512.0%,201.0%
TMT - consumer discretionary,SNAP,2026-01-12,NA,2.44,10.0%,-29.0%,-36.0%,-32.0%
TMT - consumer discretionary,MTCH,2026-01-12,14.93,2.18,2.0%,9.0%,-12.0%,18.0%
TMT - consumer discretionary,APP,2026-01-12,83.01,40.32,17.0%,118.0%,76.0%,92.0%
TMT - consumer discretionary,TTD,2026-01-12,42.10,6.39,18.0%,41.0%,50.0%,23.0%
TMT - consumer discretionary,ROKU,2026-01-12,NA,3.60,14.0%,-879.0%,50.0%,-375.0%
TMT - consumer discretionary,U,2026-01-12,NA,11.22,5.0%,0.0%,-232.0%,1.0%
TMT - consumer discretionary,DUOL,2026-01-12,20.56,7.74,41.0%,83.0%,155.0%,1151.0%
TMT - consumer discretionary,COUR,2026-01-12,NA,1.66,10.0%,-36.0%,-47.0%,-37.0%
TMT - consumer discretionary,RKT,2026-01-12,291.94,11.97,39.0%,-63.0%,N/A,463.0%
TMT - consumer discretionary,Z,2026-01-12,NA,6.61,16.0%,-160.0%,185.0%,-150.0%
TMT - consumer discretionary,IOT,2026-01-12,NA,12.70,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,
TMT - cybersecurity,PANW,2026-01-12,119.80,13.78,16.0%,12.0%,-5.0%,-5.0%
TMT - cybersecurity,CRWD,2026-01-12,NA,25.79,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-01-12,32.39,8.92,14.0%,-5.0%,17.0%,-12.0%
TMT - cybersecurity,ZS,2026-01-12,NA,12.19,26.0%,90.0%,-289.0%,-4.0%
TMT - cybersecurity,NET,2026-01-12,NA,32.43,31.0%,-114.0%,88.0%,-92.0%
TMT - cybersecurity,CYBR,2026-01-12,NA,17.70,43.0%,-338.0%,-163.0%,-554.0%
TMT - cybersecurity,OKTA,2026-01-12,85.91,5.84,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-01-12,NA,11.94,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-01-12,71.65,5.12,18.0%,-9.0%,-18.0%,-5.0%
TMT - cybersecurity,NTNX,2026-01-12,71.10,5.50,13.0%,78.0%,29.0%,107.0%
TMT - cybersecurity,SNOW,2026-01-12,NA,17.18,29.0%,-12.0%,-15.0%,-9.0%
TMT - cybersecurity,MDB,2026-01-12,NA,14.69,19.0%,-119.0%,-58.0%,-79.0%
TMT - cybersecurity,DDOG,2026-01-12,428.76,13.82,28.0%,-36.0%,-22.0%,-34.0%
TMT - cybersecurity,DT,2026-01-12,25.37,6.88,18.0%,51.0%,29.0%,30.0%
,,,,,,,,
TMT - devops,GTLB,2026-01-12,NA,6.63,25.0%,-37.0%,-72.0%,-128.0%
TMT - devops,FROG,2026-01-12,NA,13.60,26.0%,-38.0%,-17.0%,-28.0%
TMT - devops,DBX,2026-01-12,15.49,2.71,-1.0%,18.0%,31.0%,16.0%
,,,,,,,,
TPU,WULF,2026-01-12,NA,34.50,87.0%,2170.0%,-3378.0%,1876.0%
TPU,CIFR,2026-01-12,NA,33.83,198.0%,-96.0%,-260.0%,-96.0%
TPU,GOOG,2026-01-12,32.82,10.40,16.0%,39.0%,25.0%,33.0%
TPU,AVGO,2026-01-12,73.98,26.14,28.0%,83.0%,30.0%,97.0%
TPU,TSM,2026-01-12,34.00,14.87,41.0%,48.0%,36.0%,50.0%
TPU,TTMI,2026-01-12,62.08,2.89,22.0%,147.0%,22.0%,271.0%
TPU,FLEX,2026-01-12,27.43,0.87,4.0%,-1.0%,6.0%,-7.0%
TPU,CLS,2026-01-12,51.07,3.21,28.0%,151.0%,45.0%,199.0%
TPU,MRVL,2026-01-12,29.02,9.02,37.0%,-395.0%,-22877.0%,-381.0%
TPU,APH,2026-01-12,48.37,8.47,53.0%,112.0%,81.0%,106.0%
TPU,LITE,2026-01-12,227.20,13.08,58.0%,-107.0%,1279.0%,-105.0%
TPU,ADI,2026-01-12,64.31,13.06,26.0%,72.0%,32.0%,65.0%
TPU,FN,2026-01-12,47.72,4.62,22.0%,26.0%,18.0%,24.0%
TPU,VICR,2026-01-12,76.21,15.66,19.0%,156.0%,158.0%,145.0%
,,,,,,,,
data center,NOK,2026-01-12,37.60,1.68,19.0%,10.0%,24.0%,-51.0%
,,,,,,,,
data center - hyper scaler,ORCL,2026-01-12,38.47,9.64,14.0%,86.0%,25.0%,95.0%
data center - hyper scaler,CRWV,2026-01-12,NA,10.41,134.0%,-26.0%,84.0%,-72.0%
data center - hyper scaler,NBIS,2026-01-12,NA,78.47,237.0%,118.0%,-51.0%,27.0%
data center - hyper scaler,IREN,2026-01-12,25.66,24.05,355.0%,-1241.0%,-444.0%,-844.0%
data center - hyper scaler,CIFR,2026-01-12,NA,33.83,198.0%,-96.0%,-260.0%,-96.0%
,,,,,,,,
data center - semi,NVDA,2026-01-12,45.81,24.01,62.0%,70.0%,65.0%,65.0%
data center - semi,MU,2026-01-12,32.88,9.20,57.0%,182.0%,97.0%,180.0%
data center - semi,AVGO,2026-01-12,73.98,26.14,28.0%,83.0%,30.0%,97.0%
data center - semi,AMD,2026-01-12,102.64,10.56,36.0%,78.0%,30.0%,61.0%
,,,,,,,,
data center - package,TSM,2026-01-12,34.00,14.87,41.0%,48.0%,36.0%,50.0%
data center - package,ASX,2026-01-12,36.37,1.99,14.0%,25.0%,23.0%,21.0%
data center - package,AMKR,2026-01-12,41.57,1.98,7.0%,9.0%,8.0%,3.0%
,,,,,,,,
data center - test,TER,2026-01-12,81.66,12.29,4.0%,-7.0%,-3.0%,-18.0%
,,,,,,,,
data center - router,ANET,2026-01-12,46.97,18.40,27.0%,22.0%,25.0%,14.0%
data center - router,MRVL,2026-01-12,29.02,9.02,37.0%,-395.0%,-22877.0%,-381.0%
,,,,,,,,
data center - optics,CRDO,2026-01-12,136.23,35.41,272.0%,-2230.0%,-2601.0%,-2058.0%
data center - optics,MTSI,2026-01-12,NA,15.30,30.0%,72.0%,25.0%,53.0%
data center - optics,SMTC,2026-01-12,261.93,7.18,13.0%,-225.0%,45.0%,-62.0%
data center - optics,COHR,2026-01-12,266.87,4.82,17.0%,1024.0%,20.0%,-3342.0%
data center - optics,CIEN,2026-01-12,275.79,6.92,26.0%,-96.0%,35.0%,-56.0%
data center - optics,CSCO,2026-01-12,27.91,5.07,8.0%,50.0%,7.0%,5.0%
data center - optics,GLW,2026-01-12,55.73,5.05,21.0%,-698.0%,20.0%,-468.0%
,,,,,,,,
data center - NAND/SSD,STX,2026-01-12,41.27,7.18,21.0%,94.0%,66.0%,80.0%
data center - NAND/SSD,WDC,2026-01-12,30.93,6.04,-31.0%,113.0%,-11.0%,140.0%
data center - NAND/SSD,SNDK,2026-01-12,NA,7.33,23.0%,-54.0%,-38.0%,-47.0%
,,,,,,,,
data center - semi equip,ASML,2026-01-12,47.97,13.97,7.0%,8.0%,9.0%,9.0%
data center - semi equip,LRCX,2026-01-12,48.57,14.13,28.0%,44.0%,42.0%,41.0%
data center - semi equip,KLAC,2026-01-12,44.84,14.99,13.0%,21.0%,13.0%,19.0%
,,,,,,,,
data center - server,DELL,2026-01-12,16.07,0.77,11.0%,39.0%,15.0%,37.0%
data center - server,SMCI,2026-01-12,24.14,0.85,-15.0%,-58.0%,-61.0%,-60.0%
,,,,,,,,
data center - PDU,MPWR,2026-01-12,24.70,17.41,19.0%,18.0%,20.0%,23.0%
data center - PDU,NVT,2026-01-12,29.31,4.80,35.0%,42.0%,32.0%,15.0%
data center - PDU,VRT,2026-01-12,64.09,6.70,29.0%,83.0%,39.0%,126.0%
data center - PDU,ETN,2026-01-12,32.91,4.80,10.0%,6.0%,16.0%,0.0%
,,,,,,,,
data center - onsite power generator,CAT,2026-01-12,32.32,4.56,10.0%,1.0%,-3.0%,-7.0%
data center - onsite power generator,CMI,2026-01-12,29.18,2.31,-2.0%,-20.0%,0.0%,-34.0%
data center - onsite power generator,BE,2026-01-12,NA,17.80,57.0%,56.0%,144.0%,57.0%
,,,,,,,,
data center - construction builder,EME,2026-01-12,26.57,1.82,16.0%,10.0%,14.0%,9.0%
data center - construction builder,FIX,2026-01-12,43.96,4.40,35.0%,97.0%,74.0%,99.0%
,,,,,,,,
data center - medium volt transformer,POWL,2026-01-12,26.03,4.25,8.0%,12.0%,15.0%,12.0%
data center - medium volt transformer,GEV,2026-01-12,103.68,4.61,12.0%,-711.0%,180.0%,-571.0%
data center - medium volt transformer,PWR,2026-01-12,64.19,2.37,18.0%,21.0%,24.0%,16.0%
,,,,,,,,
data center - new IPP,TLN,2026-01-12,80.16,4.15,35.0%,70.0%,43.0%,23.0%
data center - new IPP,BWXT,2026-01-12,61.80,6.18,29.0%,19.0%,19.0%,18.0%
data center - new IPP,OKLO,2026-01-12,NA,NA,,200.0%,196.0%,198.0%
data center - new IPP,SMR,2026-01-12,NA,93.42,1653.0%,1070.0%,1226.0%,1465.0%
,,,,,,,,
data center - IPP,CEG,2026-01-12,38.46,3.91,23.0%,-15.0%,23.0%,-22.0%
data center - IPP,VST,2026-01-12,61.65,2.66,-3.0%,-64.0%,-20.0%,-67.0%
data center - IPP,NRG,2026-01-12,21.76,0.96,5.0%,-123.0%,-68.0%,-117.0%
,,,,,,,,
data center - uranium,URI,2026-01-12,24.40,3.78,6.0%,-1.0%,2.0%,-1.0%
data center - uranium,CCJ,2026-01-12,126.73,19.31,-16.0%,-58.0%,-20.0%,-102.0%
data center - uranium,UEC,2026-01-12,NA,154.97,-100.0%,-49.0%,120.0%,-49.0%
data center - uranium,LEU,2026-01-12,47.00,12.40,30.0%,36.0%,208.0%,-178.0%
,,,,,,,,
data center - HVAC,TT,2026-01-12,29.67,4.06,6.0%,13.0%,14.0%,10.0%
data center - HVAC,CARR,2026-01-12,22.22,2.11,-7.0%,-44.0%,-17.0%,-28.0%
data center - HVAC,JCI,2026-01-12,21.87,2.88,3.0%,-45.0%,1.0%,167.0%
data center - HVAC,SPXC,2026-01-12,44.49,4.81,23.0%,23.0%,32.0%,24.0%
,,,,,,,,
chips,QCOM,2026-01-12,34.61,4.09,10.0%,14.0%,6.0%,-207.0%
chips,INTC,2026-01-12,4156.60,4.11,3.0%,-150.0%,2075.0%,-124.0%
chips,ARM,2026-01-12,142.73,26.73,34.0%,372.0%,102.0%,122.0%
,,,,,,,,
robotic,PH,2026-01-12,33.09,5.85,4.0%,19.0%,8.0%,16.0%
robotic,ALNT,2026-01-12,54.51,1.94,11.0%,207.0%,46.0%,209.0%
robotic,ROK,2026-01-12,54.07,5.58,14.0%,-77.0%,38.0%,-42.0%
robotic,SNPS,2026-01-12,66.48,14.47,38.0%,60.0%,38.0%,-60.0%
robotic,SYM,2026-01-12,NA,19.55,7.0%,-142.0%,-115.0%,-173.0%
robotic,ATI,2026-01-12,39.81,3.66,7.0%,26.0%,15.0%,33.0%
,,,,,,,,
rare earth,MP,2026-01-12,NA,49.76,-15.0%,68.0%,82.0%,64.0%
rare earth,CRML,2026-01-12,NA,NA,N/A,N/A,N/A,N/A
,,,,,,,,
material,AA,2026-01-12,14.92,1.30,3.0%,-9.0%,-51.0%,158.0%
material,ALB,2026-01-12,NA,4.03,-3.0%,-80.0%,-215.0%,-82.0%
material,LAC,2026-01-12,NA,NA,,2371.0%,69.0%,2353.0%
material,FLNC,2026-01-12,NA,1.88,-15.0%,-39.0%,-5.0%,-62.0%
,,,,,,,,
quatum,IBM,2026-01-12,37.34,4.46,9.0%,-403.0%,26.0%,-628.0%
quatum,IONQ,2026-01-12,NA,226.08,222.0%,1920.0%,166.0%,1909.0%
quatum,RGTI,2026-01-12,NA,1124.91,-18.0%,1255.0%,19.0%,1255.0%
,,,,,,,,
TMT - SAAS,ORCL,2026-01-12,38.47,9.64,14.0%,86.0%,25.0%,95.0%
TMT - SAAS,SAP,2026-01-12,37.27,7.02,14.0%,36.0%,19.0%,46.0%
TMT - SAAS,CRM,2026-01-12,34.61,6.03,9.0%,44.0%,17.0%,37.0%
TMT - SAAS,NOW,2026-01-12,86.24,11.69,22.0%,34.0%,37.0%,16.0%
TMT - SAAS,ADBE,2026-01-12,19.61,5.77,10.0%,14.0%,8.0%,10.0%
TMT - SAAS,INTU,2026-01-12,43.52,9.10,18.0%,163.0%,54.0%,126.0%
TMT - SAAS,ADP,2026-01-12,25.92,5.08,7.0%,6.0%,5.0%,6.0%
TMT - SAAS,WDAY,2026-01-12,87.29,5.94,13.0%,49.0%,48.0%,31.0%
TMT - SAAS,ADSK,2026-01-12,53.95,8.58,18.0%,33.0%,3.0%,25.0%
