sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
data center - hyper scaler,CRWV,2026-01-20,NA,11.02,134.0%,-26.0%,84.0%,-72.0%
data center - hyper scaler,NBIS,2026-01-20,NA,72.60,237.0%,118.0%,-51.0%,27.0%
data center - hyper scaler,IREN,2026-01-20,27.67,25.93,355.0%,-1241.0%,-444.0%,-844.0%
data center - hyper scaler,WULF,2026-01-20,NA,33.30,87.0%,2170.0%,-3378.0%,1876.0%
data center - hyper scaler,CIFR,2026-01-20,NA,34.29,198.0%,-96.0%,-260.0%,-96.0%
,,,,,,,,
data center - semi chip,NVDA,2026-01-20,44.11,23.12,62.0%,70.0%,65.0%,65.0%
data center - semi chip,MU,2026-01-20,34.70,9.71,57.0%,182.0%,97.0%,180.0%
data center - semi chip,AVGO,2026-01-20,69.86,24.68,28.0%,83.0%,30.0%,97.0%
data center - semi chip,AMD,2026-01-20,114.62,11.79,36.0%,78.0%,30.0%,61.0%
,,,,,,,,
data center - semi equip,ASML,2026-01-20,49.65,14.46,7.0%,8.0%,9.0%,9.0%
data center - semi equip,LRCX,2026-01-20,49.01,14.26,28.0%,44.0%,42.0%,41.0%
data center - semi equip,AMAT,2026-01-20,36.69,8.90,-3.0%,20.0%,-7.0%,10.0%
data center - semi equip,KLAC,2026-01-20,46.66,15.60,13.0%,21.0%,13.0%,19.0%
,,,,,,,,
data center - package,TSM,2026-01-20,30.68,13.84,25.0%,38.0%,27.0%,41.0%
data center - package,ASX,2026-01-20,37.63,2.06,14.0%,25.0%,23.0%,21.0%
data center - package,AMKR,2026-01-20,39.53,1.88,7.0%,9.0%,8.0%,3.0%
,,,,,,,,
data center - test,TER,2026-01-20,81.52,12.27,4.0%,-7.0%,-3.0%,-18.0%
,,,,,,,,
data center - PCB,TTMI,2026-01-20,77.97,3.63,22.0%,147.0%,22.0%,271.0%
,,,,,,,,
data center - rack manufacture,CLS,2026-01-20,50.43,3.17,28.0%,151.0%,45.0%,199.0%
,,,,,,,,
data center - router,ANET,2026-01-20,48.53,19.01,27.0%,22.0%,25.0%,14.0%
data center - router,MRVL,2026-01-20,27.94,8.68,37.0%,-395.0%,-22877.0%,-381.0%
,,,,,,,,
data center - optics,CRDO,2026-01-20,133.75,34.76,272.0%,-2230.0%,-2601.0%,-2058.0%
data center - optics,MTSI,2026-01-20,NA,17.17,30.0%,72.0%,25.0%,53.0%
data center - optics,SMTC,2026-01-20,253.09,6.94,13.0%,-225.0%,45.0%,-62.0%
data center - optics,LITE,2026-01-20,238.54,13.74,58.0%,-107.0%,1279.0%,-105.0%
data center - optics,COHR,2026-01-20,278.80,5.03,17.0%,1024.0%,20.0%,-3342.0%
data center - optics,FN,2026-01-20,49.74,4.81,22.0%,26.0%,18.0%,24.0%
data center - optics,CIEN,2026-01-20,283.98,7.12,26.0%,-96.0%,35.0%,-56.0%
data center - optics,CSCO,2026-01-20,27.66,5.02,8.0%,50.0%,7.0%,5.0%
data center - optics,ADI,2026-01-20,64.71,13.14,26.0%,72.0%,32.0%,65.0%
data center - optics,APH,2026-01-20,50.78,8.89,53.0%,112.0%,81.0%,106.0%
data center - optics,GLW,2026-01-20,58.71,5.32,21.0%,-698.0%,20.0%,-468.0%
,,,,,,,,
data center - NAND/SSD,STX,2026-01-20,41.85,7.28,21.0%,94.0%,66.0%,80.0%
data center - NAND/SSD,WDC,2026-01-20,32.51,6.35,-31.0%,113.0%,-11.0%,140.0%
data center - NAND/SSD,SNDK,2026-01-20,NA,8.54,23.0%,-54.0%,-38.0%,-47.0%
,,,,,,,,
data center - server,DELL,2026-01-20,14.81,0.71,11.0%,39.0%,15.0%,37.0%
data center - server,SMCI,2026-01-20,25.17,0.89,-15.0%,-58.0%,-61.0%,-60.0%
,,,,,,,,
data center - 板级DC-DC(最贴近 GPU/CPU),MPWR,2026-01-20,26.42,18.62,19.0%,18.0%,20.0%,23.0%
,,,,,,,,
data center - 服务器电源(PowerShelf/Front-End PSU/12V/48V架构),AEIS,2026-01-20,66.02,5.49,24.0%,-459.0%,97.0%,-410.0%
,,,,,,,,
data center - 机房配电UPS/PDU(480V->120V),NVT,2026-01-20,30.28,4.96,35.0%,42.0%,32.0%,15.0%
data center - 机房配电UPS/PDU(480V->120V),ETN,2026-01-20,33.76,4.92,10.0%,6.0%,16.0%,0.0%
data center - 机房配电UPS/PDU(480V->120V),VRT,2026-01-20,66.03,6.91,29.0%,83.0%,39.0%,126.0%
data center - 机房配电UPS/PDU(480V->120V),FLEX,2026-01-20,28.42,0.90,4.0%,-1.0%,6.0%,-7.0%
data center - 机房配电UPS/PDU(480V->120V),POWL,2026-01-20,28.84,4.71,8.0%,12.0%,15.0%,12.0%
,,,,,,,,
data center - (34.5/13.8/4.16kV->480V,ETN,2026-01-20,33.76,4.92,10.0%,6.0%,16.0%,0.0%
data center - (34.5/13.8/4.16kV->480V,HUBB,2026-01-20,29.31,4.42,4.0%,11.0%,9.0%,16.0%
,,,,,,,,
data center - UPS battery,ENS,2026-01-20,19.69,1.67,8.0%,-9.0%,15.0%,-17.0%
data center - UPS battery,FLNC,2026-01-20,NA,2.06,-15.0%,-39.0%,-5.0%,-62.0%
,,,,,,,,
data center - onsite power generator,CAT,2026-01-20,32.28,4.55,10.0%,1.0%,-3.0%,-7.0%
data center - onsite power generator,FTAI,2026-01-20,64.09,12.22,42.0%,54.0%,20.0%,46.0%
data center - onsite power generator,CMI,2026-01-20,29.37,2.33,-2.0%,-20.0%,0.0%,-34.0%
data center - onsite power generator,BE,2026-01-20,NA,19.73,57.0%,56.0%,144.0%,57.0%
,,,,,,,,
data center - construction builder,EME,2026-01-20,27.66,1.90,16.0%,10.0%,14.0%,9.0%
data center - construction builder,FIX,2026-01-20,48.05,4.81,35.0%,97.0%,74.0%,99.0%
data center - construction builder,URI,2026-01-20,23.43,3.62,6.0%,-1.0%,2.0%,-1.0%
,,,,,,,,
"data center - 电网侧≥115kV, 115kV->34.5kV",GEV,2026-01-20,110.99,4.93,12.0%,-711.0%,180.0%,-571.0%
"data center - 电网侧≥115kV, 115kV->34.5kV",PWR,2026-01-20,68.76,2.54,18.0%,21.0%,24.0%,16.0%
,,,,,,,,
data center - new IPP,TLN,2026-01-20,77.48,4.02,35.0%,70.0%,43.0%,23.0%
data center - new IPP,OKLO,2026-01-20,NA,NA,,200.0%,196.0%,198.0%
data center - new IPP,SMR,2026-01-20,NA,90.01,1653.0%,1070.0%,1226.0%,1465.0%
,,,,,,,,
data center - IPP,CEG,2026-01-20,33.83,3.44,23.0%,-15.0%,23.0%,-22.0%
data center - IPP,VST,2026-01-20,56.02,2.42,-3.0%,-64.0%,-20.0%,-67.0%
data center - IPP,NRG,2026-01-20,21.76,0.96,5.0%,-123.0%,-68.0%,-117.0%
,,,,,,,,
data center - uranium,CCJ,2026-01-20,133.67,20.36,-16.0%,-58.0%,-20.0%,-102.0%
data center - uranium,UEC,2026-01-20,NA,175.57,-100.0%,-49.0%,120.0%,-49.0%
data center - uranium,LEU,2026-01-20,48.02,12.67,30.0%,36.0%,208.0%,-178.0%
,,,,,,,,
data center - HVAC,TT,2026-01-20,29.81,4.08,6.0%,13.0%,14.0%,10.0%
data center - HVAC,CARR,2026-01-20,22.16,2.11,-7.0%,-44.0%,-17.0%,-28.0%
