sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-04-13	NA	NA	95.43	2.0%	1601.0%	-31.0%	1781.0%
crypto	BMNR	2026-04-13	NA	NA	1365.54	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-04-13	NA	NA	8.77	77.0%	1252.0%	655.0%	2912.0%
crypto	DJT	2026-04-13	NA	NA	716.36	1.0%	1508.0%	0.0%	1508.0%
									
misc	TEM	2026-04-13	NA	NA	6.44	83.0%	450.0%	-17.0%	316.0%
									
TMT - mag7	AAPL	2026-04-13	24.90	32.60	8.68	16.0%	20.0%	18.0%	16.0%
TMT - mag7	MSFT	2026-04-13	15.57	23.96	9.31	17.0%	64.0%	23.0%	60.0%
TMT - mag7	GOOG	2026-04-13	24.73	29.49	9.59	18.0%	21.0%	20.0%	30.0%
TMT - mag7	AMZN	2026-04-13	17.37	33.32	3.58	14.0%	19.0%	23.0%	6.0%
TMT - mag7	META	2026-04-13	15.74	26.95	7.97	24.0%	8.0%	8.0%	9.0%
									
TMT - tsla	TSLA	2026-04-13	117.08	326.08	13.88	-3.0%	-57.0%	4.0%	-64.0%
									
TMT - e-commerce	UI	2026-04-13	53.53	64.32	19.22	36.0%	74.0%	62.0%	71.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-04-13	22.17	15.29	2.86	20.0%	-68.0%	44.0%	-96.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-04-13	41.59	74.17	4.99	38.0%	26.0%	81.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-04-13	12.39	25.14	2.57	12.0%	-34.0%	16.0%	-47.0%
									
TMT - cons disc - E-comm	SHOP	2026-04-13	74.68	122.09	12.90	31.0%	-37.0%	36.0%	-43.0%
TMT - cons disc - E-comm	EBAY	2026-04-13	17.37	22.56	3.93	15.0%	1.0%	12.0%	-22.0%
TMT - cons disc - E-comm	ETSY	2026-04-13	14.51	40.55	1.84	3.0%	-23.0%	-25.0%	-15.0%
TMT - cons disc - E-comm	SE	2026-04-13	19.43	33.46	2.06	38.0%	90.0%		67.0%
TMT - cons disc - E-comm	CPNG	2026-04-13	34.51	179.58	1.07	11.0%	-92.0%	-52.0%	-117.0%
									
TMT - cons disc - entertain	NFLX	2026-04-13	14.67	40.76	9.61	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-04-13	11.92	14.87	1.87	6.0%	1.0%	0.0%	-6.0%
TMT - cons disc - entertain	SPOT	2026-04-13	36.21	51.97	5.31	17.0%	123.0%	56.0%	249.0%
									
TMT - cons disc - social	RBLX	2026-04-13	NA	NA	8.30	43.0%	45.0%	53.0%	44.0%
TMT - cons disc - social	RDDT	2026-04-13	56.50	55.71	12.86	70.0%	264.0%	314.0%	254.0%
TMT - cons disc - social	PINS	2026-04-13	27.05	29.48	2.73	14.0%	18.0%	15.0%	-85.0%
TMT - cons disc - social	SNAP	2026-04-13	NA	NA	1.46	10.0%	166.0%	633.0%	397.0%
TMT - cons disc - social	MTCH	2026-04-13	11.01	13.88	2.21	2.0%	29.0%	20.0%	32.0%
									
TMT - cons disc - adtech	APP	2026-04-13	32.04	43.89	24.09	21.0%	143.0%	75.0%	84.0%
TMT - cons disc - adtech	TTD	2026-04-13	13.10	23.47	3.49	14.0%	22.0%	32.0%	3.0%
TMT - cons disc - adtech	ROKU	2026-04-13	41.46	179.90	3.22	16.0%	-455.0%	229.0%	-326.0%
TMT - cons disc - adtech	U	2026-04-13	1079.08	NA	5.33	10.0%	-19.0%	-34140.0%	-27.0%
									
TMT - cons disc - edu	DUOL	2026-04-13	21.45	11.07	4.22	35.0%	144.0%	170.0%	202.0%
TMT - cons disc - edu	COUR	2026-04-13	NA	NA	1.28	10.0%	4.0%	-15.0%	24.0%
									
TMT - cons disc - realestate	RKT	2026-04-13	67.98	NA	6.25	133.0%	-75.0%	N/A	101.0%
TMT - cons disc - realestate	Z	2026-04-13	33.81	447.06	3.74	18.0%	-106.0%		-106.0%
									
TMT - cons disc - misc	IOT	2026-04-13	132.21	NA	9.52	28.0%	-419.0%	196.0%	-297.0%
									
TMT - cybersecurity	PANW	2026-04-13	59.73	89.54	13.35	15.0%	69.0%	36.0%	62.0%
TMT - cybersecurity	CRWD	2026-04-13	985.51	NA	21.09	23.0%	-180.0%	-2446.0%	-142.0%
TMT - cybersecurity	FTNT	2026-04-13	24.92	32.30	8.53	15.0%	5.0%	9.0%	-4.0%
TMT - cybersecurity	ZS	2026-04-13	1041.67	NA	6.53	26.0%	29.0%	-10.0%	344.0%
TMT - cybersecurity	NET	2026-04-13	751.91	NA	29.62	34.0%	-3.0%	45.0%	-6.0%
TMT - cybersecurity	OKTA	2026-04-13	38.63	49.82	3.95	12.0%	126.0%	58.0%	174.0%
TMT - cybersecurity	RBRK	2026-04-13	NA	NA	7.43	46.0%	-38.0%	-34.0%	-24.0%
TMT - cybersecurity	CVLT	2026-04-13	35.07	46.56	3.44	19.0%	79.0%	56.0%	61.0%
TMT - cybersecurity	NTNX	2026-04-13	32.24	40.70	3.67	10.0%	50.0%	15.0%	83.0%
									
TMT - Data/Infra/Observability	SNOW	2026-04-13	NA	NA	9.79	30.0%	-9.0%	-24.0%	-5.0%
TMT - Data/Infra/Observability	MDB	2026-04-13	NA	NA	7.66	27.0%	367.0%	-172.0%	-2.0%
TMT - Data/Infra/Observability	DDOG	2026-04-13	455.29	370.91	11.31	29.0%	-1.0%	14.0%	2.0%
TMT - Data/Infra/Observability	DT	2026-04-13	32.51	55.56	5.21	18.0%	48.0%	29.0%	-89.0%
									
TMT - devops	GTLB	2026-04-13	NA	NA	3.56	23.0%	-134.0%	-98.0%	-124.0%
TMT - devops	FROG	2026-04-13	NA	NA	10.11	25.0%	-27.0%	6.0%	-34.0%
TMT - devops	DBX	2026-04-13	9.36	12.18	2.14	-1.0%	55.0%	58.0%	6.0%
									
data center	NOK	2026-04-13	18.72	78.81	2.56	12.0%	-31.0%	-2.0%	-27.0%
									
data center - hyper scaler	ORCL	2026-04-13	19.91	27.80	6.95	22.0%	28.0%	37.0%	26.0%
data center - hyper scaler	CRWV	2026-04-13	34.90	NA	11.35	110.0%	1492.0%	53.0%	460.0%
data center - hyper scaler	NBIS	2026-04-13	NA	303.36	72.86	501.0%	72.0%	-53.0%	83.0%
data center - hyper scaler	IREN	2026-04-13	118.27	49.32	29.31	60.0%	-1655.0%	-66.0%	-929.0%
data center - hyper scaler	WULF	2026-04-13	NA	NA	49.45	2.0%	136.0%	198.0%	333.0%
data center - hyper scaler	CIFR	2026-04-13	257.66	NA	32.07	41.0%	-4851.0%	410.0%	-4293.0%
									
data center - semi chip	NVDA	2026-04-13	34.03	38.49	21.23	73.0%	100.0%	84.0%	94.0%
data center - semi chip	MU	2026-04-13	12.81	20.02	8.23	196.0%	819.0%	374.0%	771.0%
data center - semi chip	AVGO	2026-04-13	49.72	73.93	26.28	29.0%	49.0%	26.0%	34.0%
data center - semi chip	AMD	2026-04-13	58.96	93.15	11.60	34.0%	133.0%	33.0%	213.0%
									
data center - semi equip	ASML	2026-04-13	40.56	53.44	15.57	14.0%	12.0%	12.0%	15.0%
data center - semi equip	LRCX	2026-04-13	44.97	54.48	16.15	22.0%	36.0%	34.0%	34.0%
data center - semi equip	AMAT	2026-04-13	35.14	40.30	11.07	-2.0%	10.0%	-2.0%	71.0%
data center - semi equip	KLAC	2026-04-13	39.89	51.16	18.12	7.0%	37.0%	4.0%	39.0%
									
data center - semi equip for test	TER	2026-04-13	70.01	105.29	18.00	44.0%	84.0%	81.0%	76.0%
data center - semi equip for test	COHU	2026-04-13	NA	NA	3.88	30.0%	-29.0%	-65.0%	5.0%
data center - semi equip for test	KLIC	2026-04-13	NA	NA	5.91	20.0%	-76.0%	52.0%	-79.0%
									
data center - package	TSM	2026-04-13	21.99	34.68	15.65	25.0%	38.0%	27.0%	41.0%
data center - package	ASX	2026-04-13	16.84	45.69	2.79	14.0%	61.0%	39.0%	63.0%
data center - package	AMKR	2026-04-13	13.15	39.98	2.22	16.0%	34.0%	24.0%	63.0%
									
data center - PCB	TTMI	2026-04-13	32.27	73.21	4.38	19.0%	333.0%	36.0%	880.0%
									
data center - rack manufacture	CLS	2026-04-13	36.02	51.19	3.41	44.0%	59.0%	24.0%	76.0%
data center - rack manufacture	FLEX	2026-04-13	15.73	34.95	1.07	8.0%	11.0%	-1.0%	-9.0%
									
data center - router	ANET	2026-04-13	45.74	55.05	21.15	29.0%	28.0%	30.0%	19.0%
data center - router	MRVL	2026-04-13	44.65	42.54	14.03	22.0%	91.0%	33.0%	98.0%
									
data center - optics	CRDO	2026-04-13	67.35	74.77	23.28	201.0%	428.0%	400.0%	435.0%
data center - optics	MTSI	2026-04-13	89.18	123.16	19.25	25.0%	-129.0%	44.0%	-129.0%
data center - optics	SMTC	2026-04-13	50.74	NA	8.07	9.0%	-568.0%	1.0%	-176.0%
data center - optics	LITE	2026-04-13	247.18	265.52	29.45	65.0%	-328.0%	818.0%	-228.0%
data center - optics	COHR	2026-04-13	48.28	304.09	9.15	17.0%	31.0%	21.0%	104.0%
data center - optics	FN	2026-04-13	54.17	66.17	6.35	36.0%	26.0%	52.0%	30.0%
data center - optics	CIEN	2026-04-13	119.99	306.14	13.30	27.0%	852.0%	242.0%	1575.0%
data center - optics	CSCO	2026-04-13	20.56	28.77	5.47	10.0%	26.0%	15.0%	31.0%
data center - optics	ADI	2026-04-13	31.91	63.65	14.47	30.0%	117.0%	44.0%	112.0%
data center - optics	TXN	2026-04-13	25.41	39.71	11.13	10.0%	1.0%	14.0%	-4.0%
data center - optics	APH	2026-04-13	26.50	43.35	7.70	49.0%	81.0%	82.0%	60.0%
data center - optics	TEL	2026-04-13	15.99	33.59	3.78	22.0%	36.0%	34.0%	42.0%
data center - optics	GLW	2026-04-13	42.46	95.07	9.61	20.0%	55.0%	48.0%	74.0%
									
data center - NAND/SSD	STX	2026-04-13	40.50	57.67	11.06	22.0%	102.0%	66.0%	76.0%
data center - NAND/SSD	WDC	2026-04-13	35.35	34.99	11.01	-30.0%	165.0%	18.0%	209.0%
data center - NAND/SSD	SNDK	2026-04-13	97.49	NA	15.62	61.0%	442.0%	404.0%	672.0%
									
data center - server	DELL	2026-04-13	11.89	21.59	1.07	40.0%	42.0%	35.0%	47.0%
data center - server	SMCI	2026-04-13	14.73	19.12	0.55	123.0%	33.0%	30.0%	25.0%
									
data center - 板级DC-DC(48VDC->6VDC->VRM->1VDC for GPU/CPU)	MPWR	2026-04-13	84.35	107.24	24.05	21.0%	24.0%	24.0%	-88.0%
data center - 板级DC-DC(48VDC->6VDC->VRM->1VDC for GPU/CPU)	VICR	2026-04-13	139.67	71.44	20.71	12.0%	64.0%	51.0%	354.0%
									
data center - 服务器电源(PowerShelf/Front-End PSU/415VAC->48VDC架构)	AEIS	2026-04-13	52.77	98.98	7.93	18.0%	41.0%	56.0%	7.0%
									
data center - 机房配电UPS/PDU(415VAC->415VAC)	NVT	2026-04-13	27.24	30.94	5.49	42.0%	58.0%	26.0%	982.0%
data center - 机房配电UPS/PDU(415VAC->415VAC)	ETN	2026-04-13	25.73	38.45	5.68	13.0%	11.0%	6.0%	17.0%
data center - 机房配电UPS/PDU(415VAC->415VAC)	VRT	2026-04-13	52.85	87.80	11.20	23.0%	130.0%	28.0%	203.0%
data center - 机房配电UPS/PDU(415VAC->415VAC)	POWL	2026-04-13	33.28	44.36	7.44	4.0%	19.0%	20.0%	19.0%
									
data center - (34.5/13.8/4.16kVAC->415VAC	ETN	2026-04-13	25.73	38.45	5.68	13.0%	11.0%	6.0%	17.0%
data center - (34.5/13.8/4.16kVAC->415VAC	HUBB	2026-04-13	21.16	32.24	4.87	12.0%	15.0%	19.0%	14.0%
									
data center - UPS battery	ENS	2026-04-13	13.24	24.02	1.91	1.0%	-16.0%	-7.0%	-21.0%
data center - UPS battery	FLNC	2026-04-13	NA	NA	0.99	154.0%	20.0%	4.0%	9.0%
									
data center - onsite power generator	CAT	2026-04-13	28.91	41.85	5.42	18.0%	-7.0%	2.0%	-14.0%
data center - onsite power generator	GEV	2026-04-13	95.72	55.54	7.00	4.0%	-1.0%	48.0%	657.0%
data center - onsite power generator	CMI	2026-04-13	18.18	30.09	2.53	1.0%	19.0%	-2.0%	42.0%
data center - onsite power generator	FTAI	2026-04-13	30.10	56.93	10.73	32.0%	24.0%	18.0%	29.0%
data center - onsite power generator	BE	2026-04-13	311.13	NA	24.49	36.0%	-98.0%	-15.0%	-99.0%
									
data center - construction builder	EME	2026-04-13	20.11	28.65	2.13	20.0%	45.0%	13.0%	49.0%
data center - construction builder	FIX	2026-04-13	39.09	56.44	6.30	42.0%	125.0%	78.0%	127.0%
data center - construction builder	URI	2026-04-13	9.05	20.08	3.04	3.0%	-4.0%	0.0%	-5.0%
									
data center - 电网侧≥115kV, 115kV->34.5kV	PWR	2026-04-13	36.62	87.39	3.12	20.0%	1.0%	15.0%	3.0%
data center - 电网侧≥115kV, 115kV->34.5kV	MYRG	2026-04-13	21.56	42.56	1.36	17.0%	72.0%	41.0%	129.0%
									
data center - new IPP	TLN	2026-04-13	10.22	NA	3.38	74.0%	1362.0%	-338.0%	-543.0%
data center - new IPP	OKLO	2026-04-13	NA	NA	NA		326.0%	272.0%	303.0%
data center - new IPP	SMR	2026-04-13	NA	NA	103.24	-95.0%	-64.0%	534.0%	-32.0%
									
data center - IPP	CEG	2026-04-13	16.82	39.42	3.93	0.0%	-19.0%	-24.0%	-49.0%
data center - IPP	VST	2026-04-13	17.51	72.25	3.15	-68.0%	-32.0%	-122.0%	-53.0%
data center - IPP	NRG	2026-04-13	16.83	42.97	1.18	13.0%	-91.0%	-11.0%	-92.0%
									
data center - uranium	CCJ	2026-04-13	79.77	119.71	20.32	2.0%	158.0%	-4.0%	47.0%
data center - uranium	UEC	2026-04-13	NA	NA	338.91	-59.0%	19.0%	730.0%	36.0%
data center - uranium	LEU	2026-04-13	50.33	45.93	8.39	-4.0%	-55.0%	-67.0%	-67.0%
									
data center - HVAC	TT	2026-04-13	24.85	36.26	4.89	6.0%	-1.0%	2.0%	-2.0%
data center - HVAC	CARR	2026-04-13	18.74	37.52	2.46	-6.0%	-99.0%	-54.0%	-93.0%
data center - HVAC	JCI	2026-04-13	24.18	26.69	3.62	7.0%	74.0%	40.0%	25.0%
data center - HVAC	SPXC	2026-04-13	22.12	43.58	4.84	19.0%	35.0%	23.0%	38.0%
									
material - steel/copper/aluminum/lithium	NUE	2026-04-13	11.71	25.06	1.32	9.0%	28.0%	17.0%	32.0%
material - steel/copper/aluminum/lithium	STLD	2026-04-13	15.66	24.30	1.55	14.0%	27.0%	26.0%	28.0%
material - steel/copper/aluminum/lithium	CLF	2026-04-13	NA	NA	0.28	0.0%	-23.0%	-118.0%	-46.0%
material - steel/copper/aluminum/lithium	BHP	2026-04-13	7.78	19.36	3.67	2.0%	190.0%	49.0%	505.0%
material - steel/copper/aluminum/lithium	RIO	2026-04-13	6.54	16.27	2.15				
material - steel/copper/aluminum/lithium	VALE	2026-04-13	6.22	32.28	1.94	9.0%	66.0%	41.0%	387.0%
material - steel/copper/aluminum/lithium	SCCO	2026-04-13	20.63	37.64	11.93	39.0%	64.0%	54.0%	65.0%
material - steel/copper/aluminum/lithium	FCX	2026-04-13	14.59	45.03	3.90	-11.0%	-38.0%	-49.0%	48.0%
material - steel/copper/aluminum/lithium	TMQ	2026-04-13	NA	NA	NA		95.0%	44.0%	95.0%
material - steel/copper/aluminum/lithium	AA	2026-04-13	9.06	16.26	1.46	2.0%	-74.0%	-22.0%	12.0%
material - steel/copper/aluminum/lithium	CENX	2026-04-13	27.86	168.93	2.62	0.0%	-137.0%	4.0%	-96.0%
material - steel/copper/aluminum/lithium	ALB	2026-04-13	34.45	NA	4.21	16.0%	-471.0%	44.0%	-1457.0%
material - steel/copper/aluminum/lithium	LAC	2026-04-13	NA	NA	NA		-747.0%	227.0%	-564.0%
									
aerospace - & defense	RKLB	2026-04-13	NA	NA	66.58	36.0%	-19.0%	-15.0%	1.0%
aerospace - & defense	DXYZ	2026-04-13	5.09	8.42	NA	436.0%	-2752.0%	N/A	-2752.0%
aerospace - & defense	FLY	2026-04-13	NA	NA	38.87	539.0%	-7.0%	-1.0%	-60.0%
aerospace - & defense	LUNR	2026-04-13	NA	NA	25.20	-18.0%	-66.0%	76.0%	-73.0%
aerospace - & defense	RDW	2026-04-13	NA	NA	5.68	56.0%	23.0%	182.0%	6.0%
aerospace - & defense	PL	2026-04-13	NA	NA	38.35	41.0%	340.0%	205.0%	334.0%
aerospace - & defense	PLTR	2026-04-13	214.69	208.82	70.62	70.0%	672.0%	3127.0%	670.0%
aerospace - & defense	KTOS	2026-04-13	153.09	557.07	10.20	22.0%	202.0%	33.0%	51.0%
aerospace - & defense	AVAV	2026-04-13	61.76	NA	6.01	143.0%	7347.0%	445.0%	8846.0%
aerospace - & defense	RTX	2026-04-13	22.93	40.49	3.04	12.0%	14.0%	15.0%	9.0%
aerospace - & defense	LMT	2026-04-13	17.30	28.74	1.90	9.0%	195.0%	142.0%	155.0%
aerospace - & defense	NOC	2026-04-13	19.16	23.35	2.31	10.0%	12.0%	12.0%	13.0%
aerospace - & defense	LHX	2026-04-13	21.69	42.05	3.06	2.0%	-22.0%	-7.0%	-34.0%
aerospace - & defense	MOG-A	2026-04-13	20.25	38.87	2.46	21.0%	48.0%	27.0%	48.0%
aerospace - & defense	ALNT	2026-04-13	18.41	53.13	2.15	17.0%	123.0%	37.0%	112.0%
aerospace - & defense	GD	2026-04-13	15.82	21.99	1.75	8.0%	2.0%	2.0%	0.0%
aerospace - & defense	HII	2026-04-13	18.88	25.59	1.24	16.0%	51.0%	43.0%	29.0%
aerospace - & defense	CW	2026-04-13	36.47	56.95	7.73	15.0%	16.0%	13.0%	16.0%
aerospace - & defense	BWXT	2026-04-13	52.71	64.86	6.64	19.0%	29.0%	-2.0%	31.0%
aerospace - & defense	LDOS	2026-04-13	10.05	14.14	1.15	-4.0%	14.0%	11.0%	15.0%
aerospace - & defense	BAH	2026-04-13	10.30	12.11	0.86	-10.0%	-25.0%	-11.0%	7.0%
aerospace - & defense	CACI	2026-04-13	14.31	23.13	1.33	6.0%	18.0%	13.0%	13.0%
aerospace - & defense	USAS	2026-04-13	NA	NA	15.86	39.0%	174.0%	-211.0%	226.0%
aerospace - & defense	ALM	2026-04-13	NA	NA	247.24	39.0%	1790.0%	344.0%	1800.0%
aerospace - & defense	UAMY	2026-04-13	NA	NA	33.94	90.0%	-73.0%	616.0%	-67.0%
									
aerospace - aftermarket	GE	2026-04-13	35.09	38.24	7.12	18.0%	24.0%	1.0%	33.0%
aerospace - aftermarket	FTAI	2026-04-13	30.11	56.95	10.73	32.0%	24.0%	18.0%	29.0%
aerospace - aftermarket	HEI	2026-04-13	30.39	57.81	7.53	14.0%	19.0%	13.0%	13.0%
aerospace - aftermarket	ATI	2026-04-13	29.51	57.35	4.88	0.0%	-30.0%	9.0%	-30.0%
