sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
TMT - mag7,AAPL,2026-01-13,35.00,9.27,8.0%,11.0%,9.0%,86.0%
TMT - mag7,MSFT,2026-01-13,33.49,11.91,18.0%,13.0%,34.0%,12.0%
TMT - mag7,GOOG,2026-01-13,33.19,10.52,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-13,34.27,3.75,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-13,27.88,8.40,26.0%,22.0%,19.0%,-83.0%
TMT - mag7,TSLA,2026-01-13,298.81,15.55,12.0%,-30.0%,-15.0%,-37.0%
,,,,,,,,
TMT - e-commerce,UI,2026-01-13,44.88,12.88,33.0%,63.0%,52.0%,62.0%
TMT - e-commerce,SE,2026-01-13,55.54,3.37,38.0%,118.0%,112.0%,150.0%
TMT - e-commerce,CPNG,2026-01-13,103.98,1.19,18.0%,25.0%,29.0%,36.0%
,,,,,,,,
,,,,,,,,
TMT - consumer discretionary,UBER,2026-01-13,10.96,3.58,20.0%,-5.0%,43.0%,154.0%
TMT - consumer discretionary,DASH,2026-01-13,110.29,7.42,27.0%,60.0%,82.0%,51.0%
TMT - consumer discretionary,CART,2026-01-13,22.67,2.98,10.0%,18.0%,24.0%,20.0%
TMT - consumer discretionary,SHOP,2026-01-13,122.62,20.38,32.0%,-64.0%,43.0%,-68.0%
TMT - consumer discretionary,EBAY,2026-01-13,20.54,3.95,11.0%,-28.0%,-9.0%,0.0%
TMT - consumer discretionary,ETSY,2026-01-13,43.04,2.13,2.0%,25.0%,-6.0%,32.0%
TMT - consumer discretionary,NFLX,2026-01-13,37.73,9.53,19.0%,15.0%,12.0%,8.0%
TMT - consumer discretionary,DIS,2026-01-13,16.49,2.14,0.0%,116.0%,3.0%,185.0%
TMT - consumer discretionary,SPOT,2026-01-13,83.42,5.89,14.0%,121.0%,33.0%,219.0%
TMT - consumer discretionary,RBLX,2026-01-13,NA,13.33,48.0%,7.0%,15.0%,7.0%
TMT - consumer discretionary,RDDT,2026-01-13,142.61,25.76,68.0%,438.0%,1216.0%,445.0%
TMT - consumer discretionary,PINS,2026-01-13,9.55,4.59,17.0%,193.0%,-13512.0%,201.0%
TMT - consumer discretionary,SNAP,2026-01-13,NA,2.38,10.0%,-29.0%,-36.0%,-32.0%
TMT - consumer discretionary,MTCH,2026-01-13,14.75,2.16,2.0%,9.0%,-12.0%,18.0%
TMT - consumer discretionary,APP,2026-01-13,84.27,40.93,17.0%,118.0%,76.0%,92.0%
TMT - consumer discretionary,TTD,2026-01-13,42.37,6.44,18.0%,41.0%,50.0%,23.0%
TMT - consumer discretionary,ROKU,2026-01-13,NA,3.59,14.0%,-879.0%,50.0%,-375.0%
TMT - consumer discretionary,U,2026-01-13,NA,10.84,5.0%,0.0%,-232.0%,1.0%
TMT - consumer discretionary,DUOL,2026-01-13,21.08,7.93,41.0%,83.0%,155.0%,1151.0%
TMT - consumer discretionary,COUR,2026-01-13,NA,1.49,10.0%,-36.0%,-47.0%,-37.0%
TMT - consumer discretionary,RKT,2026-01-13,286.65,11.75,39.0%,-63.0%,N/A,463.0%
TMT - consumer discretionary,Z,2026-01-13,NA,6.69,16.0%,-160.0%,185.0%,-150.0%
TMT - consumer discretionary,IOT,2026-01-13,NA,12.89,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,
TMT - cybersecurity,PANW,2026-01-13,121.05,13.92,16.0%,12.0%,-5.0%,-5.0%
TMT - cybersecurity,CRWD,2026-01-13,NA,25.85,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-01-13,32.25,8.89,14.0%,-5.0%,17.0%,-12.0%
TMT - cybersecurity,ZS,2026-01-13,NA,12.21,26.0%,90.0%,-289.0%,-4.0%
TMT - cybersecurity,NET,2026-01-13,NA,32.83,31.0%,-114.0%,88.0%,-92.0%
TMT - cybersecurity,CYBR,2026-01-13,NA,17.85,43.0%,-338.0%,-163.0%,-554.0%
TMT - cybersecurity,OKTA,2026-01-13,86.37,5.87,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-01-13,NA,11.85,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-01-13,70.76,5.05,18.0%,-9.0%,-18.0%,-5.0%
TMT - cybersecurity,NTNX,2026-01-13,70.25,5.43,13.0%,78.0%,29.0%,107.0%
TMT - cybersecurity,SNOW,2026-01-13,NA,16.33,29.0%,-12.0%,-15.0%,-9.0%
TMT - cybersecurity,MDB,2026-01-13,NA,14.44,19.0%,-119.0%,-58.0%,-79.0%
TMT - cybersecurity,DDOG,2026-01-13,425.14,13.70,28.0%,-36.0%,-22.0%,-34.0%
