sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-02-11,NA,NA,75.91,2.0%,1601.0%,,1781.0%
crypto,BMNR,2026-02-11,NA,NA,1231.74,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-02-11,NA,NA,5.65,72.0%,193.0%,51.0%,
crypto,DJT,2026-02-11,NA,NA,831.00,-4.0%,184.0%,72.0%,185.0%
,,,,,,,,,
misc,TEM,2026-02-11,NA,NA,8.63,85.0%,10.0%,-26.0%,5.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-02-11,26.61,34.86,9.28,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-02-11,16.43,25.30,9.83,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-02-11,24.08,28.81,9.34,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-02-11,14.86,28.45,3.06,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-02-11,16.63,28.47,8.42,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-02-11,143.50,398.02,16.95,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-02-11,40.40,48.59,14.52,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-02-11,22.27,15.04,2.84,20.0%,-68.0%,38.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-02-11,51.29,89.02,5.99,27.0%,60.0%,82.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-02-11,10.07,18.09,2.38,10.0%,18.0%,24.0%,20.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-02-11,86.83,86.94,14.48,32.0%,-64.0%,43.0%,-68.0%
TMT - cons disc - E-comm,EBAY,2026-02-11,15.29,18.04,3.47,11.0%,-28.0%,-9.0%,0.0%
TMT - cons disc - E-comm,ETSY,2026-02-11,12.05,33.18,1.64,2.0%,25.0%,-6.0%,32.0%
TMT - cons disc - E-comm,SE,2026-02-11,28.28,48.98,2.97,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-02-11,25.54,83.58,0.96,18.0%,25.0%,29.0%,36.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-02-11,11.40,31.51,7.43,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-02-11,12.60,15.93,2.00,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-02-11,35.09,50.49,5.16,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-02-11,NA,NA,10.85,48.0%,7.0%,15.0%,7.0%
TMT - cons disc - social,RDDT,2026-02-11,52.84,52.34,12.10,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-02-11,34.14,6.61,3.18,17.0%,193.0%,-13512.0%,201.0%
TMT - cons disc - social,SNAP,2026-02-11,NA,NA,1.42,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-02-11,10.58,13.16,2.13,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-02-11,40.79,57.57,27.96,17.0%,118.0%,76.0%,92.0%
TMT - cons disc - adtech,TTD,2026-02-11,19.03,31.07,4.72,18.0%,41.0%,50.0%,23.0%
TMT - cons disc - adtech,ROKU,2026-02-11,51.72,NA,2.86,14.0%,-879.0%,50.0%,-375.0%
TMT - cons disc - adtech,U,2026-02-11,NA,NA,5.08,5.0%,0.0%,-232.0%,1.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-02-11,31.98,13.90,5.23,41.0%,83.0%,155.0%,1151.0%
TMT - cons disc - edu,COUR,2026-02-11,NA,NA,1.27,10.0%,4.0%,61.0%,24.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-02-11,64.84,234.13,9.60,39.0%,-63.0%,N/A,463.0%
TMT - cons disc - realestate,Z,2026-02-11,13.64,506.77,4.27,18.0%,,,-106.0%
,,,,,,,,,
