sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-03-02,NA,NA,95.41,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-03-02,NA,NA,1297.46,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-03-02,NA,NA,7.97,77.0%,1252.0%,629.0%,2912.0%
crypto,DJT,2026-03-02,NA,NA,840.76,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-03-02,NA,NA,7.33,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-03-02,25.62,33.56,8.94,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-03-02,16.27,25.04,9.73,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-03-02,23.70,28.35,9.20,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-03-02,15.20,29.09,3.12,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-03-02,16.28,27.88,8.24,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-03-02,134.36,373.12,15.89,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-03-02,44.53,53.54,16.00,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-03-02,23.27,16.07,3.00,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-03-02,46.59,82.74,5.57,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-03-02,12.80,23.77,2.65,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-03-02,77.73,126.89,13.41,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-03-02,15.94,20.54,3.58,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-03-02,14.29,39.76,1.80,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-03-02,25.46,44.68,2.71,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-03-02,32.15,168.06,1.00,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-03-02,13.88,38.51,9.08,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-03-02,12.15,15.22,1.91,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-03-02,36.98,52.99,5.42,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-03-02,NA,NA,9.66,43.0%,45.0%,53.0%,44.0%
TMT - cons disc - social,RDDT,2026-03-02,55.80,55.09,12.72,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-03-02,26.78,28.18,2.71,14.0%,18.0%,15.0%,-85.0%
TMT - cons disc - social,SNAP,2026-03-02,NA,NA,1.50,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-03-02,10.64,13.22,2.11,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-03-02,33.46,45.81,25.16,21.0%,143.0%,75.0%,84.0%
TMT - cons disc - adtech,TTD,2026-03-02,15.35,26.74,4.04,14.0%,22.0%,32.0%,3.0%
TMT - cons disc - adtech,ROKU,2026-03-02,39.08,170.78,3.05,16.0%,-455.0%,229.0%,-326.0%
TMT - cons disc - adtech,U,2026-03-02,891.34,NA,4.35,10.0%,-19.0%,-34140.0%,-27.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-03-02,22.54,11.70,4.38,35.0%,144.0%,170.0%,202.0%
TMT - cons disc - edu,COUR,2026-03-02,NA,NA,1.41,10.0%,4.0%,-15.0%,24.0%
,,,,,,,,,
