sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-01-18,8.08,105.10,11.0%,-909.0%,-152.0%,-878.0%
crypto,BMNR,2026-01-18,NA,1971.28,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-01-18,NA,NA,72.0%,193.0%,51.0%,
crypto,DJT,2026-01-18,NA,1042.13,-4.0%,184.0%,72.0%,185.0%
,,,,,,,,
misc,TEM,2026-01-18,NA,11.32,85.0%,10.0%,-26.0%,5.0%
,,,,,,,,
TMT - mag7,AAPL,2026-01-18,34.26,9.02,8.0%,11.0%,9.0%,86.0%
TMT - mag7,MSFT,2026-01-18,32.72,11.63,18.0%,13.0%,34.0%,12.0%
TMT - mag7,GOOG,2026-01-18,32.59,10.33,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-18,33.78,3.70,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-18,27.41,8.25,26.0%,22.0%,19.0%,-83.0%
,,,,,,,,
TMT - tsla,TSLA,2026-01-18,292.33,15.21,12.0%,-30.0%,-15.0%,-37.0%
,,,,,,,,
TMT - e-commerce,UI,2026-01-18,42.09,12.08,33.0%,63.0%,52.0%,62.0%
,,,,,,,,
,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-01-18,10.89,3.55,20.0%,-5.0%,43.0%,154.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-01-18,104.17,7.00,27.0%,60.0%,82.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-01-18,21.64,2.85,10.0%,18.0%,24.0%,20.0%
,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-01-18,114.10,18.96,32.0%,-64.0%,43.0%,-68.0%
TMT - cons disc - E-comm,EBAY,2026-01-18,20.25,3.90,11.0%,-28.0%,-9.0%,0.0%
TMT - cons disc - E-comm,ETSY,2026-01-18,43.18,2.14,2.0%,25.0%,-6.0%,32.0%
TMT - cons disc - E-comm,SE,2026-01-18,51.93,3.15,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-01-18,100.00,1.15,18.0%,25.0%,29.0%,36.0%
,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-01-18,36.76,9.28,19.0%,15.0%,12.0%,8.0%
TMT - cons disc - entertain,DIS,2026-01-18,16.23,2.11,0.0%,116.0%,3.0%,185.0%
TMT - cons disc - entertain,SPOT,2026-01-18,78.72,5.56,14.0%,121.0%,33.0%,219.0%
,,,,,,,,
TMT - cons disc - social,RBLX,2026-01-18,NA,13.72,48.0%,7.0%,15.0%,7.0%
TMT - cons disc - social,RDDT,2026-01-18,127.24,22.98,68.0%,438.0%,1216.0%,445.0%
TMT - cons disc - social,PINS,2026-01-18,8.98,4.31,17.0%,193.0%,-13512.0%,201.0%
TMT - cons disc - social,SNAP,2026-01-18,NA,2.24,10.0%,-29.0%,-36.0%,-32.0%
TMT - cons disc - social,MTCH,2026-01-18,14.58,2.13,2.0%,9.0%,-12.0%,18.0%
,,,,,,,,
TMT - cons disc - adtech,APP,2026-01-18,71.68,34.82,17.0%,118.0%,76.0%,92.0%
TMT - cons disc - adtech,TTD,2026-01-18,40.48,6.15,18.0%,41.0%,50.0%,23.0%
TMT - cons disc - adtech,ROKU,2026-01-18,NA,3.37,14.0%,-879.0%,50.0%,-375.0%
TMT - cons disc - adtech,U,2026-01-18,NA,9.72,5.0%,0.0%,-232.0%,1.0%
,,,,,,,,
TMT - cons disc - edu,DUOL,2026-01-18,19.09,7.18,41.0%,83.0%,155.0%,1151.0%
TMT - cons disc - edu,COUR,2026-01-18,NA,1.43,10.0%,-36.0%,-47.0%,-37.0%
,,,,,,,,
TMT - cons disc - realestate,RKT,2026-01-18,292.70,12.00,39.0%,-63.0%,N/A,463.0%
TMT - cons disc - realestate,Z,2026-01-18,NA,6.66,16.0%,-160.0%,185.0%,-150.0%
,,,,,,,,
TMT - cons disc - misc,IOT,2026-01-18,NA,13.24,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,
TMT - cybersecurity,PANW,2026-01-18,119.03,13.69,16.0%,12.0%,-5.0%,-5.0%
TMT - cybersecurity,CRWD,2026-01-18,NA,25.06,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-01-18,31.04,8.55,14.0%,-5.0%,17.0%,-12.0%
TMT - cybersecurity,ZS,2026-01-18,NA,12.04,26.0%,90.0%,-289.0%,-4.0%
TMT - cybersecurity,NET,2026-01-18,NA,32.04,31.0%,-114.0%,88.0%,-92.0%
TMT - cybersecurity,CYBR,2026-01-18,NA,17.58,43.0%,-338.0%,-163.0%,-554.0%
TMT - cybersecurity,OKTA,2026-01-18,82.22,5.59,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-01-18,NA,11.22,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-01-18,68.83,4.92,18.0%,-9.0%,-18.0%,-5.0%
TMT - cybersecurity,NTNX,2026-01-18,61.08,4.73,13.0%,78.0%,29.0%,107.0%
,,,,,,,,
TMT - Data/Infra/Observability,SNOW,2026-01-18,NA,16.41,29.0%,-12.0%,-15.0%,-9.0%
TMT - Data/Infra/Observability,MDB,2026-01-18,NA,14.04,19.0%,-119.0%,-58.0%,-79.0%
TMT - Data/Infra/Observability,DDOG,2026-01-18,403.18,13.00,28.0%,-36.0%,-22.0%,-34.0%
TMT - Data/Infra/Observability,DT,2026-01-18,23.92,6.49,18.0%,51.0%,29.0%,30.0%
,,,,,,,,
