sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-01-29	NA	6.52	84.83	11.0%	-909.0%	-152.0%	-878.0%
crypto	BMNR	2026-01-29	NA	NA	1666.67	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-01-29	NA	NA	NA	72.0%	193.0%	51.0%	
crypto	DJT	2026-01-29	NA	NA	1009.46	-4.0%	184.0%	72.0%	185.0%
									
misc	TEM	2026-01-29	NA	NA	10.13	85.0%	10.0%	-26.0%	5.0%
									
TMT - mag7	AAPL	2026-01-29	26.65	34.66	9.13	8.0%	11.0%	9.0%	86.0%
TMT - mag7	MSFT	2026-01-29	17.27	26.58	10.34	17.0%	64.0%	23.0%	60.0%
TMT - mag7	GOOG	2026-01-29	27.22	33.17	10.52	16.0%	39.0%	25.0%	33.0%
TMT - mag7	AMZN	2026-01-29	18.47	33.85	3.71	13.0%	56.0%	19.0%	38.0%
TMT - mag7	META	2026-01-29	18.25	31.37	9.24	24.0%	8.0%	8.0%	9.0%
									
TMT - tsla	TSLA	2026-01-29	123.01	386.83	14.63	-3.0%	-57.0%	4.0%	-64.0%
									
TMT - e-commerce	UI	2026-01-29	36.01	43.22	12.40	33.0%	63.0%	52.0%	62.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-01-29	27.55	10.43	3.41	20.0%	-5.0%	43.0%	154.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-01-29	60.65	104.18	7.00	27.0%	60.0%	82.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-01-29	11.57	20.26	2.67	10.0%	18.0%	24.0%	20.0%
									
TMT - cons disc - E-comm	SHOP	2026-01-29	104.88	104.66	17.39	32.0%	-64.0%	43.0%	-68.0%
TMT - cons disc - E-comm	EBAY	2026-01-29	17.28	20.59	3.96	11.0%	-28.0%	-9.0%	0.0%
TMT - cons disc - E-comm	ETSY	2026-01-29	13.41	38.21	1.89	2.0%	25.0%	-6.0%	32.0%
TMT - cons disc - E-comm	SE	2026-01-29	30.24	51.96	3.16	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-01-29	28.92	93.81	1.08	18.0%	25.0%	29.0%	36.0%
									
TMT - cons disc - entertain	NFLX	2026-01-29	11.85	32.77	7.72	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-01-29	12.85	16.23	2.11	0.0%	116.0%	3.0%	185.0%
