sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
TMT - mag7,AAPL,2026-01-11,34.77,9.20,8.0%,11.0%,9.0%,86.0%
TMT - mag7,MSFT,2026-01-11,34.10,12.09,18.0%,13.0%,34.0%,12.0%
TMT - mag7,GOOG,2026-01-11,32.47,10.29,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-11,34.95,3.81,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-11,28.86,8.69,26.0%,22.0%,19.0%,-83.0%
TMT - mag7,TSLA,2026-01-11,297.35,15.16,12.0%,-30.0%,-15.0%,-37.0%
,,,,,,,,
TMT - e-commerce,UI,2026-01-11,42.81,12.05,33.0%,63.0%,52.0%,62.0%
TMT - e-commerce,SE,2026-01-11,57.10,3.47,38.0%,118.0%,112.0%,150.0%
TMT - e-commerce,CPNG,2026-01-11,107.62,1.22,18.0%,25.0%,29.0%,36.0%
,,,,,,,,
,,,,,,,,
TMT - consumer discretionary,UBER,2026-01-11,10.96,3.67,20.0%,-5.0%,43.0%,154.0%
TMT - consumer discretionary,DASH,2026-01-11,109.36,7.64,27.0%,60.0%,82.0%,51.0%
TMT - consumer discretionary,CART,2026-01-11,22.61,3.11,10.0%,18.0%,24.0%,20.0%
TMT - consumer discretionary,SHOP,2026-01-11,120.45,20.02,32.0%,-64.0%,43.0%,-68.0%
TMT - consumer discretionary,EBAY,2026-01-11,19.78,3.81,11.0%,-28.0%,-9.0%,0.0%
TMT - consumer discretionary,ETSY,2026-01-11,43.26,2.12,2.0%,25.0%,-6.0%,32.0%
TMT - consumer discretionary,NFLX,2026-01-11,37.37,9.55,19.0%,15.0%,12.0%,8.0%
TMT - consumer discretionary,DIS,2026-01-11,16.91,2.20,0.0%,116.0%,3.0%,185.0%
TMT - consumer discretionary,SPOT,2026-01-11,84.16,6.10,14.0%,121.0%,33.0%,219.0%
TMT - consumer discretionary,RBLX,2026-01-11,NA,11.62,48.0%,7.0%,15.0%,7.0%
TMT - consumer discretionary,RDDT,2026-01-11,134.70,25.27,68.0%,438.0%,1216.0%,445.0%
TMT - consumer discretionary,PINS,2026-01-11,9.40,4.46,17.0%,193.0%,-13512.0%,201.0%
TMT - consumer discretionary,SNAP,2026-01-11,NA,2.50,10.0%,-29.0%,-36.0%,-32.0%
TMT - consumer discretionary,MTCH,2026-01-11,15.00,2.19,2.0%,9.0%,-12.0%,18.0%
TMT - consumer discretionary,APP,2026-01-11,81.63,37.74,17.0%,118.0%,76.0%,92.0%
TMT - consumer discretionary,TTD,2026-01-11,42.54,6.46,18.0%,41.0%,50.0%,23.0%
TMT - consumer discretionary,ROKU,2026-01-11,NA,3.54,14.0%,-879.0%,50.0%,-375.0%
TMT - consumer discretionary,U,2026-01-11,NA,10.74,5.0%,0.0%,-232.0%,1.0%
