sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-04-15,NA,NA,103.10,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-04-15,NA,NA,1413.77,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-04-15,NA,NA,9.54,77.0%,1252.0%,655.0%,2912.0%
crypto,DJT,2026-04-15,NA,NA,762.64,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-04-15,NA,NA,7.87,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-04-15,25.68,33.63,8.96,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-04-15,16.74,25.78,10.02,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-04-15,25.93,30.87,10.05,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-04-15,18.07,34.68,3.72,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-04-15,16.74,28.66,8.47,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-04-15,131.99,366.68,15.61,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-04-15,56.60,68.00,20.32,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-04-15,23.57,16.45,3.04,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-04-15,47.85,84.94,5.72,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-04-15,12.82,25.97,2.66,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-04-15,83.31,135.67,14.34,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-04-15,17.78,23.14,4.03,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-04-15,15.13,42.79,1.94,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-04-15,20.67,35.19,2.16,38.0%,90.0%,,67.0%
TMT - cons disc - E-comm,CPNG,2026-04-15,36.87,191.26,1.14,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-04-15,15.28,42.47,10.01,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-04-15,12.15,15.23,1.92,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-04-15,38.64,55.16,5.64,17.0%,123.0%,56.0%,249.0%
,,,,,,,,,
TMT - cons disc - social,RBLX,2026-04-15,NA,NA,8.69,43.0%,45.0%,53.0%,44.0%
TMT - cons disc - social,RDDT,2026-04-15,60.89,59.67,13.77,70.0%,264.0%,314.0%,254.0%
TMT - cons disc - social,PINS,2026-04-15,31.67,33.56,3.11,14.0%,18.0%,15.0%,-85.0%
TMT - cons disc - social,SNAP,2026-04-15,NA,NA,1.72,10.0%,166.0%,633.0%,397.0%
TMT - cons disc - social,MTCH,2026-04-15,11.41,14.57,2.32,2.0%,29.0%,20.0%,32.0%
,,,,,,,,,
TMT - cons disc - adtech,APP,2026-04-15,35.81,49.08,26.94,21.0%,143.0%,75.0%,84.0%
TMT - cons disc - adtech,TTD,2026-04-15,13.92,24.81,3.69,14.0%,22.0%,32.0%,3.0%
TMT - cons disc - adtech,ROKU,2026-04-15,44.14,190.18,3.40,16.0%,-455.0%,229.0%,-326.0%
TMT - cons disc - adtech,U,2026-04-15,1202.59,NA,5.97,10.0%,-19.0%,-34140.0%,-27.0%
,,,,,,,,,
TMT - cons disc - edu,DUOL,2026-04-15,23.06,11.70,4.46,35.0%,144.0%,170.0%,202.0%
TMT - cons disc - edu,COUR,2026-04-15,NA,NA,1.38,10.0%,4.0%,-15.0%,24.0%
,,,,,,,,,
TMT - cons disc - realestate,RKT,2026-04-15,68.21,NA,6.29,133.0%,-75.0%,N/A,101.0%
TMT - cons disc - realestate,Z,2026-04-15,36.83,483.46,4.05,18.0%,-106.0%,,-106.0%
,,,,,,,,,
TMT - cons disc - misc,IOT,2026-04-15,143.35,NA,10.29,28.0%,-419.0%,196.0%,-297.0%
,,,,,,,,,
TMT - cybersecurity,PANW,2026-04-15,60.93,91.28,13.61,15.0%,69.0%,36.0%,62.0%
TMT - cybersecurity,CRWD,2026-04-15,1010.56,NA,21.60,23.0%,-180.0%,-2446.0%,-142.0%
TMT - cybersecurity,FTNT,2026-04-15,25.43,32.94,8.70,15.0%,5.0%,9.0%,-4.0%
TMT - cybersecurity,ZS,2026-04-15,1129.21,NA,7.03,26.0%,29.0%,-10.0%,344.0%
TMT - cybersecurity,NET,2026-04-15,778.32,NA,30.65,34.0%,-3.0%,45.0%,-6.0%
TMT - cybersecurity,OKTA,2026-04-15,40.42,51.70,4.09,12.0%,126.0%,58.0%,174.0%
TMT - cybersecurity,RBRK,2026-04-15,NA,NA,7.90,46.0%,-38.0%,-34.0%,-24.0%
TMT - cybersecurity,CVLT,2026-04-15,36.77,48.75,3.61,19.0%,79.0%,56.0%,61.0%
TMT - cybersecurity,NTNX,2026-04-15,33.49,42.21,3.81,10.0%,50.0%,15.0%,83.0%
,,,,,,,,,
TMT - Data/Infra/Observability,SNOW,2026-04-15,NA,NA,10.65,30.0%,-9.0%,-24.0%,-5.0%
TMT - Data/Infra/Observability,MDB,2026-04-15,NA,NA,7.94,27.0%,367.0%,-172.0%,-2.0%
TMT - Data/Infra/Observability,DDOG,2026-04-15,505.00,408.07,12.44,29.0%,-1.0%,14.0%,2.0%
TMT - Data/Infra/Observability,DT,2026-04-15,34.39,58.43,5.48,18.0%,48.0%,29.0%,-89.0%
,,,,,,,,,
TMT - devops,GTLB,2026-04-15,NA,NA,3.87,23.0%,-134.0%,-98.0%,-124.0%
TMT - devops,FROG,2026-04-15,NA,NA,9.64,25.0%,-27.0%,6.0%,-34.0%
TMT - devops,DBX,2026-04-15,9.73,12.89,2.27,-1.0%,55.0%,58.0%,6.0%
,,,,,,,,,
data center,NOK,2026-04-15,18.10,76.30,2.48,12.0%,-31.0%,-2.0%,-27.0%
,,,,,,,,,
data center - hyper scaler,ORCL,2026-04-15,21.51,30.67,7.67,22.0%,28.0%,37.0%,26.0%
data center - hyper scaler,CRWV,2026-04-15,36.78,NA,12.23,110.0%,1492.0%,53.0%,460.0%
data center - hyper scaler,NBIS,2026-04-15,NA,324.45,77.92,501.0%,72.0%,-53.0%,83.0%
data center - hyper scaler,IREN,2026-04-15,132.63,55.47,32.96,60.0%,-1655.0%,-66.0%,-929.0%
data center - hyper scaler,WULF,2026-04-15,NA,NA,49.47,2.0%,136.0%,198.0%,333.0%
data center - hyper scaler,CIFR,2026-04-15,260.96,NA,32.51,41.0%,-4851.0%,410.0%,-4293.0%
,,,,,,,,,
data center - semi chip,NVDA,2026-04-15,35.78,40.45,22.31,73.0%,100.0%,84.0%,94.0%
data center - semi chip,MU,2026-04-15,13.72,21.42,8.80,196.0%,819.0%,374.0%,771.0%
data center - semi chip,AVGO,2026-04-15,51.70,76.96,27.36,29.0%,49.0%,26.0%,34.0%
data center - semi chip,AMD,2026-04-15,61.50,97.11,12.09,34.0%,133.0%,33.0%,213.0%
,,,,,,,,,
data center - semi equip,ASML,2026-04-15,40.20,52.98,15.44,14.0%,12.0%,12.0%,15.0%
data center - semi equip,LRCX,2026-04-15,44.57,53.99,16.00,22.0%,36.0%,34.0%,34.0%
data center - semi equip,AMAT,2026-04-15,34.91,40.03,10.99,-2.0%,10.0%,-2.0%,71.0%
data center - semi equip,KLAC,2026-04-15,39.28,50.37,17.84,7.0%,37.0%,4.0%,39.0%
,,,,,,,,,
data center - semi equip for test,TER,2026-04-15,69.12,103.95,17.77,44.0%,84.0%,81.0%,76.0%
data center - semi equip for test,COHU,2026-04-15,NA,NA,4.04,30.0%,-29.0%,-65.0%,5.0%
data center - semi equip for test,KLIC,2026-04-15,NA,NA,6.04,20.0%,-76.0%,52.0%,-79.0%
,,,,,,,,,
data center - package,TSM,2026-04-15,22.36,35.24,15.90,25.0%,38.0%,27.0%,41.0%
data center - package,ASX,2026-04-15,17.25,46.92,2.86,14.0%,61.0%,39.0%,63.0%
data center - package,AMKR,2026-04-15,13.04,39.67,2.20,16.0%,34.0%,24.0%,63.0%
,,,,,,,,,
data center - PCB,TTMI,2026-04-15,30.41,68.52,4.11,19.0%,333.0%,36.0%,880.0%
,,,,,,,,,
data center - rack manufacture,CLS,2026-04-15,37.44,53.22,3.54,44.0%,59.0%,24.0%,76.0%
data center - rack manufacture,FLEX,2026-04-15,15.80,35.11,1.07,8.0%,11.0%,-1.0%,-9.0%
,,,,,,,,,
data center - router,ANET,2026-04-15,46.39,55.78,21.43,29.0%,28.0%,30.0%,19.0%
data center - router,MRVL,2026-04-15,45.47,43.34,14.30,22.0%,91.0%,33.0%,98.0%
,,,,,,,,,
data center - optics,CRDO,2026-04-15,85.14,93.49,29.11,201.0%,428.0%,400.0%,435.0%
data center - optics,MTSI,2026-04-15,88.98,122.89,19.21,25.0%,-129.0%,44.0%,-129.0%
data center - optics,SMTC,2026-04-15,51.53,NA,8.20,9.0%,-568.0%,1.0%,-176.0%
data center - optics,LITE,2026-04-15,234.53,251.46,27.89,65.0%,-328.0%,818.0%,-228.0%
data center - optics,COHR,2026-04-15,50.41,305.51,9.58,17.0%,31.0%,21.0%,104.0%
data center - optics,FN,2026-04-15,53.76,65.69,6.31,36.0%,26.0%,52.0%,30.0%
data center - optics,CIEN,2026-04-15,117.65,300.16,13.04,27.0%,852.0%,242.0%,1575.0%
data center - optics,CSCO,2026-04-15,20.72,29.00,5.51,10.0%,26.0%,15.0%,31.0%
data center - optics,ADI,2026-04-15,31.77,63.35,14.40,30.0%,117.0%,44.0%,112.0%
data center - optics,TXN,2026-04-15,25.32,39.57,11.09,10.0%,1.0%,14.0%,-4.0%
data center - optics,APH,2026-04-15,26.92,44.07,7.83,49.0%,81.0%,82.0%,60.0%
data center - optics,TEL,2026-04-15,16.10,33.83,3.80,22.0%,36.0%,34.0%,42.0%
data center - optics,GLW,2026-04-15,40.82,91.20,9.22,20.0%,55.0%,48.0%,74.0%
,,,,,,,,,
data center - NAND/SSD,STX,2026-04-15,41.12,58.59,11.23,22.0%,102.0%,66.0%,76.0%
data center - NAND/SSD,WDC,2026-04-15,36.84,36.48,11.48,-30.0%,165.0%,18.0%,209.0%
data center - NAND/SSD,SNDK,2026-04-15,92.06,NA,14.75,61.0%,442.0%,404.0%,672.0%
,,,,,,,,,
data center - server,DELL,2026-04-15,11.32,20.38,1.01,40.0%,42.0%,35.0%,47.0%
data center - server,SMCI,2026-04-15,15.53,20.22,0.58,123.0%,33.0%,30.0%,25.0%
,,,,,,,,,
data center - 板级DC-DC(48VDC->6VDC->VRM->1VDC for GPU/CPU),MPWR,2026-04-15,83.07,105.64,23.69,21.0%,24.0%,24.0%,-88.0%
data center - 板级DC-DC(48VDC->6VDC->VRM->1VDC for GPU/CPU),VICR,2026-04-15,145.28,74.17,21.50,12.0%,64.0%,51.0%,354.0%
,,,,,,,,,
data center - 服务器电源(PowerShelf/Front-End PSU/415VAC->48VDC架构),AEIS,2026-04-15,52.20,97.22,7.84,18.0%,41.0%,56.0%,7.0%
,,,,,,,,,
data center - 机房配电UPS/PDU(415VAC->415VAC),NVT,2026-04-15,27.12,30.80,5.47,42.0%,58.0%,26.0%,982.0%
data center - 机房配电UPS/PDU(415VAC->415VAC),ETN,2026-04-15,25.30,37.77,5.58,13.0%,11.0%,6.0%,17.0%
data center - 机房配电UPS/PDU(415VAC->415VAC),VRT,2026-04-15,53.01,88.07,11.23,23.0%,130.0%,28.0%,203.0%
